Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Guinea-Bissau,0,0,0,0,0,0
2020-01-23,Guinea-Bissau,0,0,0,0,0,0
2020-01-24,Guinea-Bissau,0,0,0,0,0,0
2020-01-25,Guinea-Bissau,0,0,0,0,0,0
2020-01-26,Guinea-Bissau,0,0,0,0,0,0
2020-01-27,Guinea-Bissau,0,0,0,0,0,0
2020-01-28,Guinea-Bissau,0,0,0,0,0,0
2020-01-29,Guinea-Bissau,0,0,0,0,0,0
2020-01-30,Guinea-Bissau,0,0,0,0,0,0
2020-01-31,Guinea-Bissau,0,0,0,0,0,0
2020-02-01,Guinea-Bissau,0,0,0,0,0,0
2020-02-02,Guinea-Bissau,0,0,0,0,0,0
2020-02-03,Guinea-Bissau,0,0,0,0,0,0
2020-02-04,Guinea-Bissau,0,0,0,0,0,0
2020-02-05,Guinea-Bissau,0,0,0,0,0,0
2020-02-06,Guinea-Bissau,0,0,0,0,0,0
2020-02-07,Guinea-Bissau,0,0,0,0,0,0
2020-02-08,Guinea-Bissau,0,0,0,0,0,0
2020-02-09,Guinea-Bissau,0,0,0,0,0,0
2020-02-10,Guinea-Bissau,0,0,0,0,0,0
2020-02-11,Guinea-Bissau,0,0,0,0,0,0
2020-02-12,Guinea-Bissau,0,0,0,0,0,0
2020-02-13,Guinea-Bissau,0,0,0,0,0,0
2020-02-14,Guinea-Bissau,0,0,0,0,0,0
2020-02-15,Guinea-Bissau,0,0,0,0,0,0
2020-02-16,Guinea-Bissau,0,0,0,0,0,0
2020-02-17,Guinea-Bissau,0,0,0,0,0,0
2020-02-18,Guinea-Bissau,0,0,0,0,0,0
2020-02-19,Guinea-Bissau,0,0,0,0,0,0
2020-02-20,Guinea-Bissau,0,0,0,0,0,0
2020-02-21,Guinea-Bissau,0,0,0,0,0,0
2020-02-22,Guinea-Bissau,0,0,0,0,0,0
2020-02-23,Guinea-Bissau,0,0,0,0,0,0
2020-02-24,Guinea-Bissau,0,0,0,0,0,0
2020-02-25,Guinea-Bissau,0,0,0,0,0,0
2020-02-26,Guinea-Bissau,0,0,0,0,0,0
2020-02-27,Guinea-Bissau,0,0,0,0,0,0
2020-02-28,Guinea-Bissau,0,0,0,0,0,0
2020-02-29,Guinea-Bissau,0,0,0,0,0,0
2020-03-01,Guinea-Bissau,0,0,0,0,0,0
2020-03-02,Guinea-Bissau,0,0,0,0,0,0
2020-03-03,Guinea-Bissau,0,0,0,0,0,0
2020-03-04,Guinea-Bissau,0,0,0,0,0,0
2020-03-05,Guinea-Bissau,0,0,0,0,0,0
2020-03-06,Guinea-Bissau,0,0,0,0,0,0
2020-03-07,Guinea-Bissau,0,0,0,0,0,0
2020-03-08,Guinea-Bissau,0,0,0,0,0,0
2020-03-09,Guinea-Bissau,0,0,0,0,0,0
2020-03-10,Guinea-Bissau,0,0,0,0,0,0
2020-03-11,Guinea-Bissau,0,0,0,0,0,0
2020-03-12,Guinea-Bissau,0,0,0,0,0,0
2020-03-13,Guinea-Bissau,0,0,0,0,0,0
2020-03-14,Guinea-Bissau,0,0,0,0,0,0
2020-03-15,Guinea-Bissau,0,0,0,0,0,0
2020-03-16,Guinea-Bissau,0,0,0,0,0,0
2020-03-17,Guinea-Bissau,0,0,0,0,0,0
2020-03-18,Guinea-Bissau,0,0,0,0,0,0
2020-03-19,Guinea-Bissau,0,0,0,0,0,0
2020-03-20,Guinea-Bissau,0,0,0,0,0,0
2020-03-21,Guinea-Bissau,0,0,0,0,0,0
2020-03-22,Guinea-Bissau,0,0,0,0,0,0
2020-03-23,Guinea-Bissau,0,0,0,0,0,0
2020-03-24,Guinea-Bissau,0,0,0,0,0,0
