Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Guinea,0,0,0,0,0,0
2020-01-23,Guinea,0,0,0,0,0,0
2020-01-24,Guinea,0,0,0,0,0,0
2020-01-25,Guinea,0,0,0,0,0,0
2020-01-26,Guinea,0,0,0,0,0,0
2020-01-27,Guinea,0,0,0,0,0,0
2020-01-28,Guinea,0,0,0,0,0,0
2020-01-29,Guinea,0,0,0,0,0,0
2020-01-30,Guinea,0,0,0,0,0,0
2020-01-31,Guinea,0,0,0,0,0,0
2020-02-01,Guinea,0,0,0,0,0,0
2020-02-02,Guinea,0,0,0,0,0,0
2020-02-03,Guinea,0,0,0,0,0,0
2020-02-04,Guinea,0,0,0,0,0,0
2020-02-05,Guinea,0,0,0,0,0,0
2020-02-06,Guinea,0,0,0,0,0,0
2020-02-07,Guinea,0,0,0,0,0,0
2020-02-08,Guinea,0,0,0,0,0,0
2020-02-09,Guinea,0,0,0,0,0,0
2020-02-10,Guinea,0,0,0,0,0,0
2020-02-11,Guinea,0,0,0,0,0,0
2020-02-12,Guinea,0,0,0,0,0,0
2020-02-13,Guinea,0,0,0,0,0,0
2020-02-14,Guinea,0,0,0,0,0,0
2020-02-15,Guinea,0,0,0,0,0,0
2020-02-16,Guinea,0,0,0,0,0,0
2020-02-17,Guinea,0,0,0,0,0,0
2020-02-18,Guinea,0,0,0,0,0,0
2020-02-19,Guinea,0,0,0,0,0,0
2020-02-20,Guinea,0,0,0,0,0,0
2020-02-21,Guinea,0,0,0,0,0,0
2020-02-22,Guinea,0,0,0,0,0,0
2020-02-23,Guinea,0,0,0,0,0,0
2020-02-24,Guinea,0,0,0,0,0,0
2020-02-25,Guinea,0,0,0,0,0,0
2020-02-26,Guinea,0,0,0,0,0,0
2020-02-27,Guinea,0,0,0,0,0,0
2020-02-28,Guinea,0,0,0,0,0,0
2020-02-29,Guinea,0,0,0,0,0,0
2020-03-01,Guinea,0,0,0,0,0,0
2020-03-02,Guinea,0,0,0,0,0,0
2020-03-03,Guinea,0,0,0,0,0,0
2020-03-04,Guinea,0,0,0,0,0,0
2020-03-05,Guinea,0,0,0,0,0,0
2020-03-06,Guinea,0,0,0,0,0,0
2020-03-07,Guinea,0,0,0,0,0,0
2020-03-08,Guinea,0,0,0,0,0,0
2020-03-09,Guinea,0,0,0,0,0,0
2020-03-10,Guinea,0,0,0,0,0,0
2020-03-11,Guinea,0,0,0,0,0,0
2020-03-12,Guinea,0,0,0,0,0,0
2020-03-13,Guinea,1,0,1,0,0,0
2020-03-14,Guinea,1,0,0,0,0,0
2020-03-15,Guinea,1,0,0,0,0,0
2020-03-16,Guinea,1,0,0,0,0,0
2020-03-17,Guinea,1,0,0,0,0,0
2020-03-18,Guinea,1,0,0,0,0,0
2020-03-19,Guinea,1,0,0,0,0,0
2020-03-20,Guinea,1,0,0,0,0,0
2020-03-21,Guinea,2,0,1,0,0,0
2020-03-22,Guinea,2,0,0,0,0,0
2020-03-23,Guinea,4,0,2,0,0,0
2020-03-24,Guinea,4,0,0,0,0,0
2020-03-25,Guinea,4,0,0,0,0,0
2020-03-26,Guinea,4,0,0,0,0,0
2020-03-27,Guinea,8,0,4,0,1,0
2020-03-28,Guinea,8,0,0,0,1,0
2020-03-29,Guinea,16,0,8,0,2,0
2020-03-30,Guinea,22,0,6,0,3,0
2020-03-31,Guinea,22,0,0,0,3,0
2020-04-01,Guinea,30,0,8,0,4,0
2020-04-02,Guinea,52,0,22,0,7,0
2020-04-03,Guinea,73,0,21,0,9,0
2020-04-04,Guinea,111,0,38,0,15,0
2020-04-05,Guinea,121,0,10,0,15,0
2020-04-06,Guinea,128,0,7,0,15,0
2020-04-07,Guinea,144,0,16,0,17,0
2020-04-08,Guinea,164,0,20,0,19,0
2020-04-09,Guinea,194,0,30,0,20,0
2020-04-10,Guinea,212,0,18,0,20,0
2020-04-11,Guinea,250,0,38,0,20,0
2020-04-12,Guinea,250,0,0,0,18,0
2020-04-13,Guinea,319,0,69,0,27,0
2020-04-14,Guinea,363,0,44,0,31,0
2020-04-15,Guinea,404,1,41,1,34,0
2020-04-16,Guinea,438,1,34,0,35,0
2020-04-17,Guinea,477,3,39,2,38,0
2020-04-18,Guinea,518,3,41,0,38,0
2020-04-19,Guinea,579,5,61,2,47,1
2020-04-20,Guinea,622,5,43,0,43,1
2020-04-21,Guinea,688,6,66,1,46,1
2020-04-22,Guinea,761,6,73,0,51,1
2020-04-23,Guinea,862,6,101,0,61,1
2020-04-24,Guinea,954,6,92,0,68,0
2020-04-25,Guinea,996,7,42,1,68,1
2020-04-26,Guinea,996,7,0,0,60,0
2020-04-27,Guinea,1163,7,167,0,77,0
2020-04-28,Guinea,1240,7,77,0,79,0
2020-04-29,Guinea,1351,7,111,0,84,0
2020-04-30,Guinea,1495,7,144,0,90,0
2020-05-01,Guinea,1537,7,42,0,83,0
2020-05-02,Guinea,1586,7,49,0,84,0
2020-05-03,Guinea,1586,7,0,0,84,0
2020-05-04,Guinea,1710,9,124,2,78,0
2020-05-05,Guinea,1811,10,101,1,82,0
2020-05-06,Guinea,1856,11,45,1,72,1
2020-05-07,Guinea,1927,11,71,0,62,1
2020-05-08,Guinea,2009,11,82,0,67,1
2020-05-09,Guinea,2042,11,33,0,65,1
2020-05-10,Guinea,2146,11,104,0,80,1
2020-05-11,Guinea,2146,11,0,0,62,0
2020-05-12,Guinea,2298,11,152,0,70,0
2020-05-13,Guinea,2374,14,76,3,74,0
2020-05-14,Guinea,2473,15,99,1,78,1
2020-05-15,Guinea,2473,15,0,0,66,1
2020-05-16,Guinea,2658,16,185,1,88,1
2020-05-17,Guinea,2658,16,0,0,73,1
2020-05-18,Guinea,2796,16,138,0,93,1
2020-05-19,Guinea,2863,18,67,2,81,1
2020-05-20,Guinea,2863,18,0,0,70,1
2020-05-21,Guinea,3067,18,204,0,85,0
2020-05-22,Guinea,3067,19,0,1,85,1
2020-05-23,Guinea,3176,20,109,1,74,1
2020-05-24,Guinea,3275,20,99,0,88,1
2020-05-25,Guinea,3275,20,0,0,68,1
2020-05-26,Guinea,3275,20,0,0,59,0
2020-05-27,Guinea,3275,20,0,0,59,0
2020-05-28,Guinea,3553,22,278,2,69,1
2020-05-29,Guinea,3656,22,103,0,84,0
2020-05-30,Guinea,3706,23,50,1,76,0
2020-05-31,Guinea,3706,23,0,0,62,0
2020-06-01,Guinea,3844,23,138,0,81,0
2020-06-02,Guinea,3886,23,42,0,87,0
2020-06-03,Guinea,3933,23,47,0,94,0
2020-06-04,Guinea,3991,23,58,0,63,0
2020-06-05,Guinea,4060,23,69,0,58,0
2020-06-06,Guinea,4117,23,57,0,59,0
2020-06-07,Guinea,4117,23,0,0,59,0
2020-06-08,Guinea,4216,23,99,0,53,0
2020-06-09,Guinea,4258,23,42,0,53,0
2020-06-10,Guinea,4258,23,0,0,46,0
2020-06-11,Guinea,4372,23,114,0,54,0
2020-06-12,Guinea,4426,24,54,1,52,0
2020-06-13,Guinea,4484,25,58,1,52,0
2020-06-14,Guinea,4532,25,48,0,59,0
2020-06-15,Guinea,4572,26,40,1,51,0
2020-06-16,Guinea,4639,26,67,0,54,0
2020-06-17,Guinea,4668,26,29,0,59,0
2020-06-18,Guinea,4841,26,173,0,67,0
2020-06-19,Guinea,4904,27,63,1,68,0
2020-06-20,Guinea,4960,27,56,0,68,0
2020-06-21,Guinea,4988,27,28,0,65,0
2020-06-22,Guinea,4988,27,0,0,59,0
2020-06-23,Guinea,5040,28,52,1,57,0
2020-06-24,Guinea,5174,29,134,1,72,0
2020-06-25,Guinea,5174,29,0,0,48,0
2020-06-26,Guinea,5260,29,86,0,51,0
2020-06-27,Guinea,5291,30,31,1,47,0
2020-06-28,Guinea,5342,31,51,1,51,1
2020-06-29,Guinea,5351,31,9,0,52,1
2020-06-30,Guinea,5391,33,40,2,50,1
2020-07-01,Guinea,5404,33,13,0,33,1
2020-07-02,Guinea,5450,33,46,0,39,1
2020-07-03,Guinea,5521,33,71,0,37,1
2020-07-04,Guinea,5570,34,49,1,40,1
2020-07-05,Guinea,5610,34,40,0,38,0
2020-07-06,Guinea,5610,34,0,0,37,0
2020-07-07,Guinea,5636,34,26,0,35,0
2020-07-08,Guinea,5697,34,61,0,42,0
2020-07-09,Guinea,5881,36,184,2,62,0
2020-07-10,Guinea,5969,37,88,1,64,1
2020-07-11,Guinea,6044,37,75,0,68,0
2020-07-12,Guinea,6141,37,97,0,76,0
2020-07-13,Guinea,6141,37,0,0,76,0
2020-07-14,Guinea,6200,38,59,1,81,1
2020-07-15,Guinea,6276,38,76,0,83,1
2020-07-16,Guinea,6359,39,83,1,68,0
2020-07-17,Guinea,6430,39,71,0,66,0
2020-07-18,Guinea,6491,39,61,0,64,0
2020-07-19,Guinea,6544,39,53,0,58,0
2020-07-20,Guinea,6590,40,46,1,64,0
2020-07-21,Guinea,6652,41,62,1,65,0
2020-07-22,Guinea,6747,41,95,0,67,0
2020-07-23,Guinea,6806,42,59,1,64,0
2020-07-24,Guinea,6867,42,61,0,62,0
2020-07-25,Guinea,6927,42,60,0,62,0
2020-07-26,Guinea,7008,43,81,1,66,1
2020-07-27,Guinea,7055,45,47,2,66,1
2020-07-28,Guinea,7126,46,71,1,68,1
2020-07-29,Guinea,7183,46,57,0,62,1
2020-07-30,Guinea,7242,46,59,0,62,1
2020-07-31,Guinea,7308,46,66,0,63,1
2020-08-01,Guinea,7308,46,0,0,54,1
2020-08-02,Guinea,7317,46,9,0,44,0
2020-08-03,Guinea,7364,46,47,0,44,0
2020-08-04,Guinea,7489,48,125,2,52,0
2020-08-05,Guinea,7575,49,86,1,56,0
2020-08-06,Guinea,7664,49,89,0,60,0
2020-08-07,Guinea,7777,50,113,1,67,1
2020-08-08,Guinea,7875,50,98,0,81,1
2020-08-09,Guinea,7930,50,55,0,88,1
2020-08-10,Guinea,7930,50,0,0,81,1
2020-08-11,Guinea,8018,50,88,0,76,0
2020-08-12,Guinea,8116,50,98,0,77,0
2020-08-13,Guinea,8198,50,82,0,76,0
2020-08-14,Guinea,8260,50,62,0,69,0
2020-08-15,Guinea,8343,50,83,0,67,0
2020-08-16,Guinea,8482,51,139,1,79,0
2020-08-17,Guinea,8620,51,138,0,99,0
2020-08-18,Guinea,8715,52,95,1,100,0
2020-08-19,Guinea,8792,53,77,1,97,0
2020-08-20,Guinea,8876,53,84,0,97,0
2020-08-21,Guinea,8932,53,56,0,96,0
2020-08-22,Guinea,8932,53,0,0,84,0
2020-08-23,Guinea,8967,53,35,0,69,0
2020-08-24,Guinea,9076,55,109,2,65,1
2020-08-25,Guinea,9128,57,52,2,59,1
2020-08-26,Guinea,9167,57,39,0,54,1
2020-08-27,Guinea,9213,58,46,1,48,1
2020-08-28,Guinea,9251,59,38,1,46,1
2020-08-29,Guinea,9251,59,0,0,46,1
2020-08-30,Guinea,9371,59,120,0,58,1
2020-08-31,Guinea,9409,59,38,0,48,1
2020-09-01,Guinea,9479,59,70,0,50,0
2020-09-02,Guinea,9479,59,0,0,45,0
2020-09-03,Guinea,9579,61,100,2,52,0
2020-09-04,Guinea,9649,61,70,0,57,0
2020-09-05,Guinea,9649,61,0,0,57,0
2020-09-06,Guinea,9798,61,149,0,61,0
2020-09-07,Guinea,9816,62,18,1,58,0
2020-09-08,Guinea,9848,63,32,1,53,1
2020-09-09,Guinea,9885,63,37,0,58,1
2020-09-10,Guinea,9946,63,61,0,52,0
2020-09-11,Guinea,9979,63,33,0,47,0
2020-09-12,Guinea,10020,63,41,0,53,0
2020-09-13,Guinea,10045,63,25,0,35,0
2020-09-14,Guinea,10061,63,16,0,35,0
2020-09-15,Guinea,10111,63,50,0,38,0
2020-09-16,Guinea,10154,63,43,0,38,0
2020-09-17,Guinea,10154,63,0,0,30,0
2020-09-18,Guinea,10231,63,77,0,36,0
2020-09-19,Guinea,10286,63,55,0,38,0
2020-09-20,Guinea,10325,64,39,1,40,0
2020-09-21,Guinea,10344,65,19,1,40,0
2020-09-22,Guinea,10387,65,43,0,39,0
2020-09-23,Guinea,10434,65,47,0,40,0
2020-09-24,Guinea,10434,65,0,0,40,0
2020-09-25,Guinea,10478,65,44,0,35,0
2020-09-26,Guinea,10512,65,34,0,32,0
2020-09-27,Guinea,10580,66,68,1,36,0
2020-09-28,Guinea,10598,66,18,0,36,0
2020-09-29,Guinea,10634,66,36,0,35,0
2020-09-30,Guinea,10652,66,18,0,31,0
2020-10-01,Guinea,10652,66,0,0,31,0
2020-10-02,Guinea,10735,66,83,0,37,0
2020-10-03,Guinea,10735,66,0,0,32,0
2020-10-04,Guinea,10754,66,19,0,25,0
2020-10-05,Guinea,10800,67,46,1,29,0
2020-10-06,Guinea,10863,68,63,1,33,0
2020-10-07,Guinea,10863,68,0,0,30,0
2020-10-08,Guinea,10901,68,38,0,36,0
2020-10-09,Guinea,10954,68,53,0,31,0
2020-10-10,Guinea,10996,69,42,1,37,0
2020-10-11,Guinea,11022,69,26,0,38,0
2020-10-12,Guinea,11062,70,40,1,37,0
2020-10-13,Guinea,11134,70,72,0,39,0
2020-10-14,Guinea,11188,70,54,0,46,0
2020-10-15,Guinea,11255,70,67,0,51,0
2020-10-16,Guinea,11362,70,107,0,58,0
2020-10-17,Guinea,11478,70,116,0,69,0
2020-10-18,Guinea,11518,70,40,0,71,0
2020-10-19,Guinea,11518,70,0,0,65,0
2020-10-20,Guinea,11538,70,20,0,58,0
2020-10-21,Guinea,11599,70,61,0,59,0
2020-10-22,Guinea,11635,71,36,1,54,0
2020-10-23,Guinea,11635,71,0,0,39,0
2020-10-24,Guinea,11635,71,0,0,22,0
2020-10-25,Guinea,11635,71,0,0,17,0
2020-10-26,Guinea,11635,71,0,0,17,0
2020-10-27,Guinea,11819,71,184,0,40,0
2020-10-28,Guinea,11819,71,0,0,31,0
2020-10-29,Guinea,12020,71,201,0,55,0
2020-10-30,Guinea,12072,72,52,1,62,0
2020-10-31,Guinea,12072,72,0,0,62,0
2020-11-01,Guinea,12195,73,123,1,80,0
2020-11-02,Guinea,12213,73,18,0,83,0
2020-11-03,Guinea,12213,73,0,0,56,0
2020-11-04,Guinea,12331,73,118,0,73,0
2020-11-05,Guinea,12363,73,32,0,49,0
2020-11-06,Guinea,12363,73,0,0,42,0
2020-11-07,Guinea,12400,73,37,0,47,0
2020-11-08,Guinea,12414,74,14,1,31,0
2020-11-09,Guinea,12459,74,45,0,35,0
2020-11-10,Guinea,12484,74,25,0,39,0
2020-11-11,Guinea,12516,74,32,0,26,0
2020-11-12,Guinea,12537,74,21,0,25,0
2020-11-13,Guinea,12537,74,0,0,25,0
2020-11-14,Guinea,12585,74,48,0,26,0
2020-11-15,Guinea,12611,75,26,1,28,0
2020-11-16,Guinea,12624,75,13,0,24,0
2020-11-17,Guinea,12654,75,30,0,24,0
2020-11-18,Guinea,12713,75,59,0,28,0
2020-11-19,Guinea,12713,75,0,0,25,0
2020-11-20,Guinea,12743,75,30,0,29,0
2020-11-21,Guinea,12798,75,55,0,30,0
2020-11-22,Guinea,12826,75,28,0,31,0
2020-11-23,Guinea,12841,75,15,0,31,0
2020-11-24,Guinea,12863,75,22,0,30,0
2020-11-25,Guinea,12929,76,66,1,31,0
2020-11-26,Guinea,12949,76,20,0,34,0
2020-11-27,Guinea,13039,76,90,0,42,0
2020-11-28,Guinea,13039,76,0,0,34,0
2020-11-29,Guinea,13039,76,0,0,30,0
2020-11-30,Guinea,13119,76,80,0,40,0
2020-12-01,Guinea,13119,76,0,0,37,0
2020-12-02,Guinea,13143,76,24,0,31,0
2020-12-03,Guinea,13167,76,24,0,31,0
2020-12-04,Guinea,13186,76,19,0,21,0
2020-12-05,Guinea,13233,76,47,0,28,0
2020-12-06,Guinea,13233,76,0,0,28,0
2020-12-07,Guinea,13264,79,31,3,21,0
2020-12-08,Guinea,13264,79,0,0,21,0
2020-12-09,Guinea,13325,79,61,0,26,0
2020-12-10,Guinea,13368,79,43,0,29,0
2020-12-11,Guinea,13398,79,30,0,30,0
2020-12-12,Guinea,13420,79,22,0,27,0
2020-12-13,Guinea,13420,79,0,0,27,0
2020-12-14,Guinea,13457,80,37,1,28,0
2020-12-15,Guinea,13457,80,0,0,28,0
2020-12-16,Guinea,13474,80,17,0,21,0
2020-12-17,Guinea,13485,80,11,0,17,0
2020-12-18,Guinea,13511,80,26,0,16,0
2020-12-19,Guinea,13532,80,21,0,16,0
2020-12-20,Guinea,13545,80,13,0,18,0
2020-12-21,Guinea,13578,80,33,0,17,0
2020-12-22,Guinea,13578,80,0,0,17,0
2020-12-23,Guinea,13598,80,20,0,18,0
2020-12-24,Guinea,13630,80,32,0,21,0
2020-12-25,Guinea,13646,80,16,0,19,0
2020-12-26,Guinea,13646,80,0,0,16,0
2020-12-27,Guinea,13674,80,28,0,18,0
2020-12-28,Guinea,13688,80,14,0,16,0
2020-12-29,Guinea,13688,80,0,0,16,0
2020-12-30,Guinea,13707,80,19,0,16,0
2020-12-31,Guinea,13722,81,15,1,13,0
2021-01-01,Guinea,13738,81,16,0,13,0
2021-01-02,Guinea,13784,81,46,0,20,0
2021-01-03,Guinea,13784,81,0,0,16,0
2021-01-04,Guinea,13799,81,15,0,16,0
2021-01-05,Guinea,13845,81,46,0,22,0
2021-01-06,Guinea,13845,81,0,0,20,0
2021-01-07,Guinea,13904,81,59,0,26,0
2021-01-08,Guinea,13904,81,0,0,24,0
2021-01-09,Guinea,13942,81,38,0,23,0
2021-01-10,Guinea,13942,81,0,0,23,0
2021-01-11,Guinea,13980,81,38,0,26,0
2021-01-12,Guinea,14025,81,45,0,26,0
2021-01-13,Guinea,14051,81,26,0,29,0
2021-01-14,Guinea,14051,81,0,0,21,0
2021-01-15,Guinea,14065,81,14,0,23,0
2021-01-16,Guinea,14098,81,33,0,22,0
2021-01-17,Guinea,14114,81,16,0,25,0
2021-01-18,Guinea,14165,81,51,0,26,0
2021-01-19,Guinea,14207,81,42,0,26,0
2021-01-20,Guinea,14207,81,0,0,22,0
2021-01-21,Guinea,14236,81,29,0,26,0
2021-01-22,Guinea,14262,81,26,0,28,0
2021-01-23,Guinea,14300,81,38,0,29,0
2021-01-24,Guinea,14319,81,19,0,29,0
2021-01-25,Guinea,14375,81,56,0,30,0
2021-01-26,Guinea,14379,82,4,1,25,0
2021-01-27,Guinea,14435,82,56,0,33,0
2021-01-28,Guinea,14435,82,0,0,28,0
2021-01-29,Guinea,14451,82,16,0,27,0
2021-01-30,Guinea,14475,82,24,0,25,0
2021-01-31,Guinea,14546,82,71,0,32,0
2021-02-01,Guinea,14555,83,9,1,26,0
2021-02-02,Guinea,14555,83,0,0,25,0
2021-02-03,Guinea,14555,83,0,0,17,0
2021-02-04,Guinea,14629,84,74,1,28,0
2021-02-05,Guinea,14629,84,0,0,25,0
2021-02-06,Guinea,14665,84,36,0,27,0
2021-02-07,Guinea,14687,84,22,0,20,0
2021-02-08,Guinea,14764,84,77,0,30,0
2021-02-09,Guinea,14791,84,27,0,34,0
2021-02-10,Guinea,14791,84,0,0,34,0
2021-02-11,Guinea,14860,84,69,0,33,0
2021-02-12,Guinea,14860,84,0,0,33,0
2021-02-13,Guinea,14895,84,35,0,33,0
2021-02-14,Guinea,14967,85,72,1,40,0
2021-02-15,Guinea,14967,85,0,0,29,0
2021-02-16,Guinea,15020,85,53,0,33,0
2021-02-17,Guinea,15088,85,68,0,42,0
2021-02-18,Guinea,15154,85,66,0,42,0
2021-02-19,Guinea,15216,86,62,1,51,0
2021-02-20,Guinea,15395,86,179,0,71,0
2021-02-21,Guinea,15395,86,0,0,61,0
2021-02-22,Guinea,15427,86,32,0,66,0
2021-02-23,Guinea,15487,87,60,1,67,0
2021-02-24,Guinea,15680,88,193,1,85,0
2021-02-25,Guinea,15789,88,109,0,91,0
2021-02-26,Guinea,15894,89,105,1,97,0
2021-02-27,Guinea,15894,89,0,0,71,0
2021-02-28,Guinea,15992,89,98,0,85,0
2021-03-01,Guinea,16005,89,13,0,83,0
2021-03-02,Guinea,16081,91,76,2,85,1
2021-03-03,Guinea,16291,92,210,1,87,1
2021-03-04,Guinea,16420,93,129,1,90,1
2021-03-05,Guinea,16420,93,0,0,75,1
2021-03-06,Guinea,16540,93,120,0,92,1
2021-03-07,Guinea,16670,95,130,2,97,1
2021-03-08,Guinea,16912,97,242,2,130,1
2021-03-09,Guinea,16912,97,0,0,119,1
2021-03-10,Guinea,17208,101,296,4,131,1
2021-03-11,Guinea,17372,101,164,0,136,1
2021-03-12,Guinea,17592,102,220,1,167,1
2021-03-13,Guinea,17592,102,0,0,150,1
2021-03-14,Guinea,17742,102,150,0,153,1
2021-03-15,Guinea,17851,103,109,1,134,1
2021-03-16,Guinea,17982,104,131,1,153,1
2021-03-17,Guinea,18285,106,303,2,154,1
2021-03-18,Guinea,18285,106,0,0,130,1
2021-03-19,Guinea,18562,108,277,2,139,1
2021-03-20,Guinea,18562,108,0,0,139,1
2021-03-21,Guinea,18877,111,315,3,162,1
2021-03-22,Guinea,18945,113,68,2,156,1
2021-03-23,Guinea,18945,113,0,0,138,1
2021-03-24,Guinea,19084,113,139,0,114,1
2021-03-25,Guinea,19232,113,148,0,135,1
2021-03-26,Guinea,19403,116,171,3,120,1
2021-03-27,Guinea,19501,116,98,0,134,1
2021-03-28,Guinea,19670,120,169,4,113,1
2021-03-29,Guinea,19773,123,103,3,118,1
2021-03-30,Guinea,19793,125,20,2,121,2
2021-03-31,Guinea,19908,125,115,0,118,2
2021-04-01,Guinea,20083,127,175,2,122,2
2021-04-02,Guinea,20228,128,145,1,118,2
2021-04-03,Guinea,20319,129,91,1,117,2
2021-04-04,Guinea,20405,130,86,1,105,1
2021-04-05,Guinea,20506,130,101,0,105,1
2021-04-06,Guinea,20510,130,4,0,102,1
2021-04-07,Guinea,20554,131,44,1,92,1
2021-04-08,Guinea,20554,131,0,0,67,1
2021-04-09,Guinea,20746,132,192,1,74,1
2021-04-10,Guinea,20807,133,61,1,70,1
2021-04-11,Guinea,20949,134,142,1,78,1
2021-04-12,Guinea,21032,136,83,2,75,1
2021-04-13,Guinea,21106,136,74,0,85,1
2021-04-14,Guinea,21299,136,193,0,106,1
2021-04-15,Guinea,21299,136,0,0,106,1
2021-04-16,Guinea,21392,138,93,2,92,1
2021-04-17,Guinea,21460,138,68,0,93,1
2021-04-18,Guinea,21460,138,0,0,73,1
2021-04-19,Guinea,21612,138,152,0,83,0
2021-04-20,Guinea,21633,139,21,1,75,0
2021-04-21,Guinea,21666,139,33,0,52,0
2021-04-22,Guinea,21745,139,79,0,64,0
2021-04-23,Guinea,21803,139,58,0,59,0
2021-04-24,Guinea,21885,140,82,1,61,0
2021-04-25,Guinea,21953,140,68,0,70,0
2021-04-26,Guinea,21985,141,32,1,53,0
2021-04-27,Guinea,22046,141,61,0,59,0
2021-04-28,Guinea,22087,141,41,0,60,0
2021-04-29,Guinea,22215,144,128,3,67,1
2021-04-30,Guinea,22215,144,0,0,59,1
2021-05-01,Guinea,22247,144,32,0,52,1
2021-05-02,Guinea,22304,145,57,1,50,1
2021-05-03,Guinea,22333,146,29,1,50,1
2021-05-04,Guinea,22368,146,35,0,46,1
2021-05-05,Guinea,22468,148,100,2,54,1
2021-05-06,Guinea,22505,148,37,0,41,1
2021-05-07,Guinea,22553,149,48,1,48,1
2021-05-08,Guinea,22602,150,49,1,51,1
2021-05-09,Guinea,22633,150,31,0,47,1
2021-05-10,Guinea,22633,150,0,0,43,1
2021-05-11,Guinea,22719,151,86,1,50,1
2021-05-12,Guinea,22719,151,0,0,36,0
2021-05-13,Guinea,22719,151,0,0,31,0
2021-05-14,Guinea,22746,151,27,0,28,0
2021-05-15,Guinea,22746,151,0,0,21,0
2021-05-16,Guinea,22746,151,0,0,16,0
2021-05-17,Guinea,22830,152,84,1,28,0
2021-05-18,Guinea,22853,153,23,1,19,0
2021-05-19,Guinea,22879,153,26,0,23,0
2021-05-20,Guinea,22963,155,84,2,35,1
2021-05-21,Guinea,22963,155,0,0,31,1
2021-05-22,Guinea,22988,158,25,3,35,1
2021-05-23,Guinea,22988,158,0,0,35,1
2021-05-24,Guinea,23052,159,64,1,32,1
2021-05-25,Guinea,23060,160,8,1,30,1
2021-05-26,Guinea,23080,160,20,0,29,1
