Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Guyana,0,0,0,0,0,0
2020-01-23,Guyana,0,0,0,0,0,0
2020-01-24,Guyana,0,0,0,0,0,0
2020-01-25,Guyana,0,0,0,0,0,0
2020-01-26,Guyana,0,0,0,0,0,0
2020-01-27,Guyana,0,0,0,0,0,0
2020-01-28,Guyana,0,0,0,0,0,0
2020-01-29,Guyana,0,0,0,0,0,0
2020-01-30,Guyana,0,0,0,0,0,0
2020-01-31,Guyana,0,0,0,0,0,0
2020-02-01,Guyana,0,0,0,0,0,0
2020-02-02,Guyana,0,0,0,0,0,0
2020-02-03,Guyana,0,0,0,0,0,0
2020-02-04,Guyana,0,0,0,0,0,0
2020-02-05,Guyana,0,0,0,0,0,0
2020-02-06,Guyana,0,0,0,0,0,0
2020-02-07,Guyana,0,0,0,0,0,0
2020-02-08,Guyana,0,0,0,0,0,0
2020-02-09,Guyana,0,0,0,0,0,0
2020-02-10,Guyana,0,0,0,0,0,0
2020-02-11,Guyana,0,0,0,0,0,0
2020-02-12,Guyana,0,0,0,0,0,0
2020-02-13,Guyana,0,0,0,0,0,0
2020-02-14,Guyana,0,0,0,0,0,0
2020-02-15,Guyana,0,0,0,0,0,0
2020-02-16,Guyana,0,0,0,0,0,0
2020-02-17,Guyana,0,0,0,0,0,0
2020-02-18,Guyana,0,0,0,0,0,0
2020-02-19,Guyana,0,0,0,0,0,0
2020-02-20,Guyana,0,0,0,0,0,0
2020-02-21,Guyana,0,0,0,0,0,0
2020-02-22,Guyana,0,0,0,0,0,0
2020-02-23,Guyana,0,0,0,0,0,0
2020-02-24,Guyana,0,0,0,0,0,0
2020-02-25,Guyana,0,0,0,0,0,0
2020-02-26,Guyana,0,0,0,0,0,0
2020-02-27,Guyana,0,0,0,0,0,0
2020-02-28,Guyana,0,0,0,0,0,0
2020-02-29,Guyana,0,0,0,0,0,0
2020-03-01,Guyana,0,0,0,0,0,0
2020-03-02,Guyana,0,0,0,0,0,0
2020-03-03,Guyana,0,0,0,0,0,0
2020-03-04,Guyana,0,0,0,0,0,0
2020-03-05,Guyana,0,0,0,0,0,0
2020-03-06,Guyana,0,0,0,0,0,0
2020-03-07,Guyana,0,0,0,0,0,0
2020-03-08,Guyana,0,0,0,0,0,0
2020-03-09,Guyana,0,0,0,0,0,0
2020-03-10,Guyana,0,0,0,0,0,0
2020-03-11,Guyana,0,0,0,0,0,0
2020-03-12,Guyana,1,1,1,1,0,0
2020-03-13,Guyana,1,1,0,0,0,0
2020-03-14,Guyana,1,1,0,0,0,0
2020-03-15,Guyana,4,1,3,0,1,0
2020-03-16,Guyana,4,1,0,0,1,0
2020-03-17,Guyana,7,1,3,0,1,0
2020-03-18,Guyana,7,1,0,0,1,0
2020-03-19,Guyana,7,1,0,0,1,0
2020-03-20,Guyana,7,1,0,0,1,0
2020-03-21,Guyana,7,1,0,0,1,0
2020-03-22,Guyana,19,1,12,0,2,0
2020-03-23,Guyana,20,1,1,0,2,0
2020-03-24,Guyana,5,1,-15,0,0,0
2020-03-25,Guyana,5,1,0,0,0,0
2020-03-26,Guyana,5,1,0,0,0,0
2020-03-27,Guyana,5,1,0,0,0,0
2020-03-28,Guyana,8,1,3,0,0,0
2020-03-29,Guyana,8,1,0,0,-2,0
2020-03-30,Guyana,8,1,0,0,-2,0
2020-03-31,Guyana,12,2,4,1,1,0
2020-04-01,Guyana,19,2,7,0,2,0
2020-04-02,Guyana,19,4,0,2,2,0
2020-04-03,Guyana,23,4,4,0,3,0
2020-04-04,Guyana,23,4,0,0,2,0
2020-04-05,Guyana,24,4,1,0,2,0
2020-04-06,Guyana,31,4,7,0,3,0
