Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Haiti,0,0,0,0,0,0
2020-01-23,Haiti,0,0,0,0,0,0
2020-01-24,Haiti,0,0,0,0,0,0
2020-01-25,Haiti,0,0,0,0,0,0
2020-01-26,Haiti,0,0,0,0,0,0
2020-01-27,Haiti,0,0,0,0,0,0
2020-01-28,Haiti,0,0,0,0,0,0
2020-01-29,Haiti,0,0,0,0,0,0
2020-01-30,Haiti,0,0,0,0,0,0
2020-01-31,Haiti,0,0,0,0,0,0
2020-02-01,Haiti,0,0,0,0,0,0
2020-02-02,Haiti,0,0,0,0,0,0
2020-02-03,Haiti,0,0,0,0,0,0
2020-02-04,Haiti,0,0,0,0,0,0
2020-02-05,Haiti,0,0,0,0,0,0
2020-02-06,Haiti,0,0,0,0,0,0
2020-02-07,Haiti,0,0,0,0,0,0
2020-02-08,Haiti,0,0,0,0,0,0
2020-02-09,Haiti,0,0,0,0,0,0
2020-02-10,Haiti,0,0,0,0,0,0
2020-02-11,Haiti,0,0,0,0,0,0
2020-02-12,Haiti,0,0,0,0,0,0
2020-02-13,Haiti,0,0,0,0,0,0
2020-02-14,Haiti,0,0,0,0,0,0
2020-02-15,Haiti,0,0,0,0,0,0
2020-02-16,Haiti,0,0,0,0,0,0
2020-02-17,Haiti,0,0,0,0,0,0
2020-02-18,Haiti,0,0,0,0,0,0
2020-02-19,Haiti,0,0,0,0,0,0
2020-02-20,Haiti,0,0,0,0,0,0
2020-02-21,Haiti,0,0,0,0,0,0
2020-02-22,Haiti,0,0,0,0,0,0
2020-02-23,Haiti,0,0,0,0,0,0
2020-02-24,Haiti,0,0,0,0,0,0
2020-02-25,Haiti,0,0,0,0,0,0
2020-02-26,Haiti,0,0,0,0,0,0
2020-02-27,Haiti,0,0,0,0,0,0
2020-02-28,Haiti,0,0,0,0,0,0
2020-02-29,Haiti,0,0,0,0,0,0
2020-03-01,Haiti,0,0,0,0,0,0
2020-03-02,Haiti,0,0,0,0,0,0
2020-03-03,Haiti,0,0,0,0,0,0
2020-03-04,Haiti,0,0,0,0,0,0
2020-03-05,Haiti,0,0,0,0,0,0
2020-03-06,Haiti,0,0,0,0,0,0
2020-03-07,Haiti,0,0,0,0,0,0
2020-03-08,Haiti,0,0,0,0,0,0
2020-03-09,Haiti,0,0,0,0,0,0
2020-03-10,Haiti,0,0,0,0,0,0
2020-03-11,Haiti,0,0,0,0,0,0
2020-03-12,Haiti,0,0,0,0,0,0
2020-03-13,Haiti,0,0,0,0,0,0
2020-03-14,Haiti,0,0,0,0,0,0
2020-03-15,Haiti,0,0,0,0,0,0
2020-03-16,Haiti,0,0,0,0,0,0
2020-03-17,Haiti,0,0,0,0,0,0
2020-03-18,Haiti,0,0,0,0,0,0
2020-03-19,Haiti,0,0,0,0,0,0
2020-03-20,Haiti,2,0,2,0,0,0
2020-03-21,Haiti,2,0,0,0,0,0
2020-03-22,Haiti,2,0,0,0,0,0
2020-03-23,Haiti,2,0,0,0,0,0
2020-03-24,Haiti,7,0,5,0,1,0
2020-03-25,Haiti,7,0,0,0,1,0
2020-03-26,Haiti,8,0,1,0,1,0
2020-03-27,Haiti,8,0,0,0,1,0
2020-03-28,Haiti,8,0,0,0,1,0
2020-03-29,Haiti,8,0,0,0,1,0
2020-03-30,Haiti,15,0,7,0,2,0
2020-03-31,Haiti,15,0,0,0,1,0
2020-04-01,Haiti,15,0,0,0,1,0
2020-04-02,Haiti,16,0,1,0,1,0
2020-04-03,Haiti,16,0,0,0,1,0
2020-04-04,Haiti,18,0,2,0,1,0
2020-04-05,Haiti,18,0,0,0,1,0
2020-04-06,Haiti,21,0,3,0,1,0
