Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Honduras,0,0,0,0,0,0
2020-01-23,Honduras,0,0,0,0,0,0
2020-01-24,Honduras,0,0,0,0,0,0
2020-01-25,Honduras,0,0,0,0,0,0
2020-01-26,Honduras,0,0,0,0,0,0
2020-01-27,Honduras,0,0,0,0,0,0
2020-01-28,Honduras,0,0,0,0,0,0
2020-01-29,Honduras,0,0,0,0,0,0
2020-01-30,Honduras,0,0,0,0,0,0
2020-01-31,Honduras,0,0,0,0,0,0
2020-02-01,Honduras,0,0,0,0,0,0
2020-02-02,Honduras,0,0,0,0,0,0
2020-02-03,Honduras,0,0,0,0,0,0
2020-02-04,Honduras,0,0,0,0,0,0
2020-02-05,Honduras,0,0,0,0,0,0
2020-02-06,Honduras,0,0,0,0,0,0
2020-02-07,Honduras,0,0,0,0,0,0
2020-02-08,Honduras,0,0,0,0,0,0
2020-02-09,Honduras,0,0,0,0,0,0
2020-02-10,Honduras,0,0,0,0,0,0
2020-02-11,Honduras,0,0,0,0,0,0
2020-02-12,Honduras,0,0,0,0,0,0
2020-02-13,Honduras,0,0,0,0,0,0
2020-02-14,Honduras,0,0,0,0,0,0
2020-02-15,Honduras,0,0,0,0,0,0
2020-02-16,Honduras,0,0,0,0,0,0
2020-02-17,Honduras,0,0,0,0,0,0
2020-02-18,Honduras,0,0,0,0,0,0
2020-02-19,Honduras,0,0,0,0,0,0
2020-02-20,Honduras,0,0,0,0,0,0
2020-02-21,Honduras,0,0,0,0,0,0
2020-02-22,Honduras,0,0,0,0,0,0
2020-02-23,Honduras,0,0,0,0,0,0
2020-02-24,Honduras,0,0,0,0,0,0
2020-02-25,Honduras,0,0,0,0,0,0
2020-02-26,Honduras,0,0,0,0,0,0
2020-02-27,Honduras,0,0,0,0,0,0
2020-02-28,Honduras,0,0,0,0,0,0
2020-02-29,Honduras,0,0,0,0,0,0
2020-03-01,Honduras,0,0,0,0,0,0
2020-03-02,Honduras,0,0,0,0,0,0
2020-03-03,Honduras,0,0,0,0,0,0
2020-03-04,Honduras,0,0,0,0,0,0
2020-03-05,Honduras,0,0,0,0,0,0
2020-03-06,Honduras,0,0,0,0,0,0
2020-03-07,Honduras,0,0,0,0,0,0
2020-03-08,Honduras,0,0,0,0,0,0
2020-03-09,Honduras,0,0,0,0,0,0
2020-03-10,Honduras,0,0,0,0,0,0
2020-03-11,Honduras,2,0,2,0,0,0
2020-03-12,Honduras,2,0,0,0,0,0
2020-03-13,Honduras,2,0,0,0,0,0
2020-03-14,Honduras,2,0,0,0,0,0
2020-03-15,Honduras,3,0,1,0,0,0
2020-03-16,Honduras,6,0,3,0,1,0
2020-03-17,Honduras,8,0,2,0,1,0
2020-03-18,Honduras,9,0,1,0,1,0
2020-03-19,Honduras,12,0,3,0,1,0
2020-03-20,Honduras,24,0,12,0,3,0
2020-03-21,Honduras,24,0,0,0,3,0
2020-03-22,Honduras,26,0,2,0,3,0
2020-03-23,Honduras,30,0,4,0,3,0
2020-03-24,Honduras,30,0,0,0,3,0
2020-03-25,Honduras,36,0,6,0,4,0
2020-03-26,Honduras,52,1,16,1,6,0
2020-03-27,Honduras,68,1,16,0,6,0
2020-03-28,Honduras,95,1,27,0,10,0
2020-03-29,Honduras,110,3,15,2,12,0
2020-03-30,Honduras,139,7,29,4,16,1
2020-03-31,Honduras,141,7,2,0,16,1
2020-04-01,Honduras,172,10,31,3,19,1
2020-04-02,Honduras,219,14,47,4,24,2
2020-04-03,Honduras,222,15,3,1,22,2
2020-04-04,Honduras,264,15,42,0,24,2
2020-04-05,Honduras,268,22,4,7,23,3
2020-04-06,Honduras,298,22,30,0,23,2
2020-04-07,Honduras,305,22,7,0,23,2
2020-04-08,Honduras,312,22,7,0,20,2
2020-04-09,Honduras,343,23,31,1,18,1
2020-04-10,Honduras,382,23,39,0,23,1
2020-04-11,Honduras,392,24,10,1,18,1
2020-04-12,Honduras,393,25,1,1,18,0
2020-04-13,Honduras,397,25,4,0,14,0
2020-04-14,Honduras,407,26,10,1,15,1
2020-04-15,Honduras,419,31,12,5,15,1
2020-04-16,Honduras,426,35,7,4,12,2
2020-04-17,Honduras,442,41,16,6,9,3
2020-04-18,Honduras,457,46,15,5,9,3
2020-04-19,Honduras,472,46,15,0,11,3
2020-04-20,Honduras,477,46,5,0,11,3
2020-04-21,Honduras,494,46,17,0,12,3
2020-04-22,Honduras,510,46,16,0,13,2
2020-04-23,Honduras,519,47,9,1,13,2
2020-04-24,Honduras,591,55,72,8,21,2
2020-04-25,Honduras,627,59,36,4,24,2
2020-04-26,Honduras,627,59,0,0,22,2
2020-04-27,Honduras,661,61,34,2,26,2
2020-04-28,Honduras,702,64,41,3,30,3
2020-04-29,Honduras,738,66,36,2,33,3
2020-04-30,Honduras,771,71,33,5,36,3
2020-05-01,Honduras,804,75,33,4,30,3
2020-05-02,Honduras,1010,76,206,1,55,2
2020-05-03,Honduras,1055,82,45,6,61,3
2020-05-04,Honduras,1178,83,123,1,74,3
2020-05-05,Honduras,1270,93,92,10,81,4
2020-05-06,Honduras,1461,99,191,6,103,5
2020-05-07,Honduras,1685,105,224,6,131,5
2020-05-08,Honduras,1771,107,86,2,138,5
2020-05-09,Honduras,1830,108,59,1,117,5
2020-05-10,Honduras,1972,108,142,0,131,4
2020-05-11,Honduras,2100,116,128,8,132,5
2020-05-12,Honduras,2080,121,-20,5,116,4
2020-05-13,Honduras,2255,123,175,2,113,3
2020-05-14,Honduras,2318,133,63,10,90,4
2020-05-15,Honduras,2460,134,142,1,98,4
2020-05-16,Honduras,2565,138,105,4,105,4
2020-05-17,Honduras,2646,142,81,4,96,5
2020-05-18,Honduras,2798,146,152,4,100,4
2020-05-19,Honduras,2955,147,157,1,125,4
2020-05-20,Honduras,2955,147,0,0,100,3
2020-05-21,Honduras,3204,156,249,9,127,3
2020-05-22,Honduras,3477,167,273,11,145,5
2020-05-23,Honduras,3477,167,0,0,130,4
2020-05-24,Honduras,3950,180,473,13,186,5
2020-05-25,Honduras,4189,182,239,2,199,5
