Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Hungary,0,0,0,0,0,0
2020-01-23,Hungary,0,0,0,0,0,0
2020-01-24,Hungary,0,0,0,0,0,0
2020-01-25,Hungary,0,0,0,0,0,0
2020-01-26,Hungary,0,0,0,0,0,0
2020-01-27,Hungary,0,0,0,0,0,0
2020-01-28,Hungary,0,0,0,0,0,0
2020-01-29,Hungary,0,0,0,0,0,0
2020-01-30,Hungary,0,0,0,0,0,0
2020-01-31,Hungary,0,0,0,0,0,0
2020-02-01,Hungary,0,0,0,0,0,0
2020-02-02,Hungary,0,0,0,0,0,0
2020-02-03,Hungary,0,0,0,0,0,0
2020-02-04,Hungary,0,0,0,0,0,0
2020-02-05,Hungary,0,0,0,0,0,0
2020-02-06,Hungary,0,0,0,0,0,0
2020-02-07,Hungary,0,0,0,0,0,0
2020-02-08,Hungary,0,0,0,0,0,0
2020-02-09,Hungary,0,0,0,0,0,0
2020-02-10,Hungary,0,0,0,0,0,0
2020-02-11,Hungary,0,0,0,0,0,0
2020-02-12,Hungary,0,0,0,0,0,0
2020-02-13,Hungary,0,0,0,0,0,0
2020-02-14,Hungary,0,0,0,0,0,0
2020-02-15,Hungary,0,0,0,0,0,0
2020-02-16,Hungary,0,0,0,0,0,0
2020-02-17,Hungary,0,0,0,0,0,0
2020-02-18,Hungary,0,0,0,0,0,0
2020-02-19,Hungary,0,0,0,0,0,0
2020-02-20,Hungary,0,0,0,0,0,0
2020-02-21,Hungary,0,0,0,0,0,0
2020-02-22,Hungary,0,0,0,0,0,0
2020-02-23,Hungary,0,0,0,0,0,0
2020-02-24,Hungary,0,0,0,0,0,0
2020-02-25,Hungary,0,0,0,0,0,0
2020-02-26,Hungary,0,0,0,0,0,0
2020-02-27,Hungary,0,0,0,0,0,0
2020-02-28,Hungary,0,0,0,0,0,0
2020-02-29,Hungary,0,0,0,0,0,0
2020-03-01,Hungary,0,0,0,0,0,0
2020-03-02,Hungary,0,0,0,0,0,0
2020-03-03,Hungary,0,0,0,0,0,0
2020-03-04,Hungary,2,0,2,0,0,0
2020-03-05,Hungary,2,0,0,0,0,0
2020-03-06,Hungary,2,0,0,0,0,0
2020-03-07,Hungary,4,0,2,0,1,0
2020-03-08,Hungary,7,0,3,0,1,0
2020-03-09,Hungary,9,0,2,0,1,0
2020-03-10,Hungary,9,0,0,0,1,0
2020-03-11,Hungary,13,0,4,0,2,0
2020-03-12,Hungary,13,0,0,0,2,0
2020-03-13,Hungary,19,0,6,0,2,0
2020-03-14,Hungary,30,0,11,0,4,0
2020-03-15,Hungary,32,1,2,1,4,0
2020-03-16,Hungary,39,1,7,0,4,0
2020-03-17,Hungary,50,1,11,0,6,0
2020-03-18,Hungary,58,1,8,0,6,0
2020-03-19,Hungary,73,1,15,0,9,0
2020-03-20,Hungary,85,3,12,2,9,0
2020-03-21,Hungary,103,4,18,1,10,1
2020-03-22,Hungary,131,6,28,2,14,1
2020-03-23,Hungary,167,7,36,1,18,1
2020-03-24,Hungary,187,9,20,2,20,1
2020-03-25,Hungary,226,10,39,1,24,1
2020-03-26,Hungary,261,10,35,0,27,1
2020-03-27,Hungary,300,10,39,0,31,1
2020-03-28,Hungary,343,11,43,1,34,1
2020-03-29,Hungary,408,13,65,2,40,1
2020-03-30,Hungary,447,15,39,2,40,1
2020-03-31,Hungary,492,16,45,1,44,1
2020-04-01,Hungary,525,20,33,4,43,1
2020-04-02,Hungary,585,21,60,1,46,2
2020-04-03,Hungary,623,26,38,5,46,2
2020-04-04,Hungary,678,32,55,6,48,3
2020-04-05,Hungary,733,34,55,2,46,3
2020-04-06,Hungary,744,38,11,4,42,3
2020-04-07,Hungary,817,47,73,9,46,4
2020-04-08,Hungary,895,58,78,11,53,5
2020-04-09,Hungary,980,66,85,8,56,6
2020-04-10,Hungary,1190,77,210,11,81,7
2020-04-11,Hungary,1310,85,120,8,90,8
2020-04-12,Hungary,1410,99,100,14,97,9
2020-04-13,Hungary,1458,109,48,10,102,10
2020-04-14,Hungary,1512,122,54,13,99,11
2020-04-15,Hungary,1579,134,67,12,98,11
2020-04-16,Hungary,1652,142,73,8,96,11
2020-04-17,Hungary,1763,156,111,14,82,11
2020-04-18,Hungary,1834,172,71,16,75,12
2020-04-19,Hungary,1916,189,82,17,72,13
2020-04-20,Hungary,1984,199,68,10,75,13
2020-04-21,Hungary,2098,213,114,14,84,13
2020-04-22,Hungary,2168,225,70,12,84,13
2020-04-23,Hungary,2284,239,116,14,90,14
2020-04-24,Hungary,2443,262,159,23,97,15
2020-04-25,Hungary,2443,262,0,0,87,13
2020-04-26,Hungary,2500,272,57,10,83,12
2020-04-27,Hungary,2583,280,83,8,86,12
2020-04-28,Hungary,2649,291,66,11,79,11
2020-04-29,Hungary,2727,300,78,9,80,11
2020-04-30,Hungary,2775,312,48,12,70,10
2020-05-01,Hungary,2863,323,88,11,60,9
2020-05-02,Hungary,2942,335,79,12,71,10
2020-05-03,Hungary,2998,340,56,5,71,10
2020-05-04,Hungary,3035,351,37,11,65,10
2020-05-05,Hungary,3065,363,30,12,59,10
2020-05-06,Hungary,3111,373,46,10,55,10
2020-05-07,Hungary,3150,383,39,10,54,10
2020-05-08,Hungary,3178,392,28,9,45,10
2020-05-09,Hungary,3213,405,35,13,39,10
2020-05-10,Hungary,3263,413,50,8,38,10
2020-05-11,Hungary,3284,421,21,8,36,10
2020-05-12,Hungary,3313,425,29,4,35,9
2020-05-13,Hungary,3341,430,28,5,33,8
2020-05-14,Hungary,3380,436,39,6,33,8
2020-05-15,Hungary,3417,442,37,6,34,7
2020-05-16,Hungary,3473,448,56,6,37,6
2020-05-17,Hungary,3509,451,36,3,35,5
2020-05-18,Hungary,3535,462,26,11,36,6
2020-05-19,Hungary,3556,467,21,5,35,6
2020-05-20,Hungary,3598,470,42,3,37,6
2020-05-21,Hungary,3641,473,43,3,37,5
2020-05-22,Hungary,3678,476,37,3,37,5
2020-05-23,Hungary,3713,482,35,6,34,5
2020-05-24,Hungary,3741,486,28,4,33,5
2020-05-25,Hungary,3756,491,15,5,32,4
2020-05-26,Hungary,3771,499,15,8,31,5
2020-05-27,Hungary,3793,505,22,6,28,5
2020-05-28,Hungary,3816,509,23,4,25,5
2020-05-29,Hungary,3841,517,25,8,23,6
2020-05-30,Hungary,3867,524,26,7,22,6
2020-05-31,Hungary,3876,526,9,2,19,6
2020-06-01,Hungary,3892,527,16,1,19,5
2020-06-02,Hungary,3921,532,29,5,21,5
2020-06-03,Hungary,3931,534,10,2,20,4
2020-06-04,Hungary,3954,539,23,5,20,4
2020-06-05,Hungary,3970,542,16,3,18,4
2020-06-06,Hungary,3990,545,20,3,18,3
2020-06-07,Hungary,4008,546,18,1,19,3
2020-06-08,Hungary,4014,548,6,2,17,3
2020-06-09,Hungary,4017,550,3,2,14,3
2020-06-10,Hungary,4027,551,10,1,14,2
2020-06-11,Hungary,4039,553,12,2,12,2
2020-06-12,Hungary,4053,555,14,2,12,2
2020-06-13,Hungary,4064,559,11,4,11,2
2020-06-14,Hungary,4069,562,5,3,9,2
2020-06-15,Hungary,4076,563,7,1,9,2
2020-06-16,Hungary,4077,565,1,2,9,2
2020-06-17,Hungary,4078,567,1,2,7,2
2020-06-18,Hungary,4079,568,1,1,6,2
2020-06-19,Hungary,4081,568,2,0,4,2
2020-06-20,Hungary,4086,570,5,2,3,2
2020-06-21,Hungary,4094,570,8,0,4,1
2020-06-22,Hungary,4102,572,8,2,4,1
2020-06-23,Hungary,4107,573,5,1,4,1
2020-06-24,Hungary,4114,576,7,3,5,1
2020-06-25,Hungary,4123,577,9,1,6,1
2020-06-26,Hungary,4127,578,4,1,7,1
2020-06-27,Hungary,4138,578,11,0,7,1
2020-06-28,Hungary,4142,581,4,3,7,2
2020-06-29,Hungary,4145,585,3,4,6,2
2020-06-30,Hungary,4155,585,10,0,7,2
2020-07-01,Hungary,4157,586,2,1,6,1
2020-07-02,Hungary,4166,587,9,1,6,1
2020-07-03,Hungary,4172,588,6,1,6,1
2020-07-04,Hungary,4174,589,2,1,5,2
2020-07-05,Hungary,4183,589,9,0,6,1
2020-07-06,Hungary,4189,589,6,0,6,1
2020-07-07,Hungary,4205,589,16,0,7,1
2020-07-08,Hungary,4210,589,5,0,8,0
2020-07-09,Hungary,4220,591,10,2,8,1
2020-07-10,Hungary,4223,593,3,2,7,1
2020-07-11,Hungary,4229,595,6,2,8,1
2020-07-12,Hungary,4234,595,5,0,7,1
2020-07-13,Hungary,4247,595,13,0,8,1
2020-07-14,Hungary,4258,595,11,0,8,1
2020-07-15,Hungary,4263,595,5,0,8,1
2020-07-16,Hungary,4279,595,16,0,8,1
2020-07-17,Hungary,4293,595,14,0,10,0
2020-07-18,Hungary,4315,596,22,1,12,0
2020-07-19,Hungary,4333,596,18,0,14,0
2020-07-20,Hungary,4339,596,6,0,13,0
2020-07-21,Hungary,4347,596,8,0,13,0
2020-07-22,Hungary,4366,596,19,0,15,0
2020-07-23,Hungary,4380,596,14,0,14,0
2020-07-24,Hungary,4398,596,18,0,15,0
2020-07-25,Hungary,4424,596,26,0,16,0
