Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Iceland,0,0,0,0,0,0
2020-01-23,Iceland,0,0,0,0,0,0
2020-01-24,Iceland,0,0,0,0,0,0
2020-01-25,Iceland,0,0,0,0,0,0
2020-01-26,Iceland,0,0,0,0,0,0
2020-01-27,Iceland,0,0,0,0,0,0
2020-01-28,Iceland,0,0,0,0,0,0
2020-01-29,Iceland,0,0,0,0,0,0
2020-01-30,Iceland,0,0,0,0,0,0
2020-01-31,Iceland,0,0,0,0,0,0
2020-02-01,Iceland,0,0,0,0,0,0
2020-02-02,Iceland,0,0,0,0,0,0
2020-02-03,Iceland,0,0,0,0,0,0
2020-02-04,Iceland,0,0,0,0,0,0
2020-02-05,Iceland,0,0,0,0,0,0
2020-02-06,Iceland,0,0,0,0,0,0
2020-02-07,Iceland,0,0,0,0,0,0
2020-02-08,Iceland,0,0,0,0,0,0
2020-02-09,Iceland,0,0,0,0,0,0
2020-02-10,Iceland,0,0,0,0,0,0
2020-02-11,Iceland,0,0,0,0,0,0
2020-02-12,Iceland,0,0,0,0,0,0
2020-02-13,Iceland,0,0,0,0,0,0
2020-02-14,Iceland,0,0,0,0,0,0
2020-02-15,Iceland,0,0,0,0,0,0
2020-02-16,Iceland,0,0,0,0,0,0
2020-02-17,Iceland,0,0,0,0,0,0
2020-02-18,Iceland,0,0,0,0,0,0
2020-02-19,Iceland,0,0,0,0,0,0
2020-02-20,Iceland,0,0,0,0,0,0
2020-02-21,Iceland,0,0,0,0,0,0
2020-02-22,Iceland,0,0,0,0,0,0
2020-02-23,Iceland,0,0,0,0,0,0
2020-02-24,Iceland,0,0,0,0,0,0
2020-02-25,Iceland,0,0,0,0,0,0
2020-02-26,Iceland,0,0,0,0,0,0
2020-02-27,Iceland,0,0,0,0,0,0
2020-02-28,Iceland,1,0,1,0,0,0
2020-02-29,Iceland,1,0,0,0,0,0
2020-03-01,Iceland,3,0,2,0,0,0
2020-03-02,Iceland,6,0,3,0,1,0
2020-03-03,Iceland,11,0,5,0,2,0
2020-03-04,Iceland,26,0,15,0,4,0
2020-03-05,Iceland,34,0,8,0,5,0
2020-03-06,Iceland,43,0,9,0,6,0
2020-03-07,Iceland,50,0,7,0,7,0
2020-03-08,Iceland,50,0,0,0,7,0
2020-03-09,Iceland,58,0,8,0,7,0
2020-03-10,Iceland,69,0,11,0,8,0
2020-03-11,Iceland,85,0,16,0,8,0
2020-03-12,Iceland,103,0,18,0,10,0
2020-03-13,Iceland,134,0,31,0,13,0
2020-03-14,Iceland,156,0,22,0,15,0
2020-03-15,Iceland,171,5,15,5,17,1
2020-03-16,Iceland,180,0,9,-5,17,0
2020-03-17,Iceland,220,1,40,1,22,0
2020-03-18,Iceland,250,1,30,0,24,0
2020-03-19,Iceland,330,1,80,0,32,0
2020-03-20,Iceland,409,0,79,-1,39,0
2020-03-21,Iceland,473,1,64,1,45,0
2020-03-22,Iceland,568,1,95,0,57,-1
2020-03-23,Iceland,588,1,20,0,58,0
2020-03-24,Iceland,648,2,60,1,61,0
2020-03-25,Iceland,737,2,89,0,70,0
2020-03-26,Iceland,802,2,65,0,67,0
2020-03-27,Iceland,890,2,88,0,69,0
2020-03-28,Iceland,963,2,73,0,70,0
2020-03-29,Iceland,1020,2,57,0,65,0
2020-03-30,Iceland,1086,2,66,0,71,0
2020-03-31,Iceland,1135,2,49,0,70,0
2020-04-01,Iceland,1220,2,85,0,69,0
2020-04-02,Iceland,1319,4,99,2,74,0
2020-04-03,Iceland,1364,4,45,0,68,0
2020-04-04,Iceland,1417,4,53,0,65,0
2020-04-05,Iceland,1486,4,69,0,67,0
2020-04-06,Iceland,1562,6,76,2,68,1
2020-04-07,Iceland,1586,6,24,0,64,1
2020-04-08,Iceland,1616,6,30,0,57,1
2020-04-09,Iceland,1648,6,32,0,47,0
2020-04-10,Iceland,1675,7,27,1,44,0
2020-04-11,Iceland,1689,8,14,1,39,1
2020-04-12,Iceland,1701,8,12,0,31,1
2020-04-13,Iceland,1711,8,10,0,21,0
2020-04-14,Iceland,1720,8,9,0,19,0
2020-04-15,Iceland,1727,8,7,0,16,0
2020-04-16,Iceland,1739,8,12,0,13,0
2020-04-17,Iceland,1754,9,15,1,11,0
2020-04-18,Iceland,1760,9,6,0,10,0
2020-04-19,Iceland,1771,9,11,0,10,0
2020-04-20,Iceland,1773,10,2,1,9,0
2020-04-21,Iceland,1778,10,5,0,8,0
2020-04-22,Iceland,1785,10,7,0,8,0
2020-04-23,Iceland,1789,10,4,0,7,0
2020-04-24,Iceland,1789,10,0,0,5,0
2020-04-25,Iceland,1790,10,1,0,4,0
2020-04-26,Iceland,1792,10,2,0,3,0
2020-04-27,Iceland,1792,10,0,0,3,0
2020-04-28,Iceland,1795,10,3,0,2,0
2020-04-29,Iceland,1797,10,2,0,2,0
2020-04-30,Iceland,1797,10,0,0,1,0
2020-05-01,Iceland,1798,10,1,0,1,0
2020-05-02,Iceland,1798,10,0,0,1,0
2020-05-03,Iceland,1799,10,1,0,1,0
2020-05-04,Iceland,1799,10,0,0,1,0
2020-05-05,Iceland,1799,10,0,0,1,0
2020-05-06,Iceland,1799,10,0,0,0,0
2020-05-07,Iceland,1801,10,2,0,1,0
2020-05-08,Iceland,1801,10,0,0,0,0
2020-05-09,Iceland,1801,10,0,0,0,0
2020-05-10,Iceland,1801,10,0,0,0,0
2020-05-11,Iceland,1801,10,0,0,0,0
2020-05-12,Iceland,1801,10,0,0,0,0
2020-05-13,Iceland,1802,10,1,0,0,0
2020-05-14,Iceland,1802,10,0,0,0,0
2020-05-15,Iceland,1802,10,0,0,0,0
2020-05-16,Iceland,1802,10,0,0,0,0
2020-05-17,Iceland,1802,10,0,0,0,0
2020-05-18,Iceland,1802,10,0,0,0,0
2020-05-19,Iceland,1802,10,0,0,0,0
2020-05-20,Iceland,1803,10,1,0,0,0
2020-05-21,Iceland,1803,10,0,0,0,0
2020-05-22,Iceland,1803,10,0,0,0,0
2020-05-23,Iceland,1804,10,1,0,0,0
2020-05-24,Iceland,1804,10,0,0,0,0
2020-05-25,Iceland,1804,10,0,0,0,0
2020-05-26,Iceland,1804,10,0,0,0,0
2020-05-27,Iceland,1805,10,1,0,0,0
2020-05-28,Iceland,1805,10,0,0,0,0
2020-05-29,Iceland,1805,10,0,0,0,0
2020-05-30,Iceland,1806,10,1,0,0,0
2020-05-31,Iceland,1806,10,0,0,0,0
2020-06-01,Iceland,1806,10,0,0,0,0
2020-06-02,Iceland,1806,10,0,0,0,0
2020-06-03,Iceland,1806,10,0,0,0,0
2020-06-04,Iceland,1806,10,0,0,0,0
2020-06-05,Iceland,1806,10,0,0,0,0
2020-06-06,Iceland,1806,10,0,0,0,0
2020-06-07,Iceland,1807,10,1,0,0,0
2020-06-08,Iceland,1807,10,0,0,0,0
2020-06-09,Iceland,1807,10,0,0,0,0
2020-06-10,Iceland,1807,10,0,0,0,0
2020-06-11,Iceland,1807,10,0,0,0,0
2020-06-12,Iceland,1807,10,0,0,0,0
2020-06-13,Iceland,1808,10,1,0,0,0
2020-06-14,Iceland,1810,10,2,0,0,0
2020-06-15,Iceland,1811,10,1,0,1,0
2020-06-16,Iceland,1812,10,1,0,1,0
2020-06-17,Iceland,1812,10,0,0,1,0
2020-06-18,Iceland,1814,10,2,0,1,0
2020-06-19,Iceland,1815,10,1,0,1,0
2020-06-20,Iceland,1815,10,0,0,1,0
2020-06-21,Iceland,1815,10,0,0,1,0
2020-06-22,Iceland,1815,10,0,0,1,0
2020-06-23,Iceland,1815,10,0,0,0,0
2020-06-24,Iceland,1817,10,2,0,1,0
2020-06-25,Iceland,1818,10,1,0,1,0
2020-06-26,Iceland,1820,10,2,0,1,0
2020-06-27,Iceland,1820,10,0,0,1,0
2020-06-28,Iceland,1821,10,1,0,1,0
2020-06-29,Iceland,1822,10,1,0,1,0
2020-06-30,Iceland,1824,10,2,0,1,0
2020-07-01,Iceland,1825,10,1,0,1,0
2020-07-02,Iceland,1830,10,5,0,2,0
2020-07-03,Iceland,1830,10,0,0,1,0
2020-07-04,Iceland,1830,10,0,0,1,0
2020-07-05,Iceland,1830,10,0,0,1,0
2020-07-06,Iceland,1832,10,2,0,1,0
2020-07-07,Iceland,1833,10,1,0,1,0
2020-07-08,Iceland,1833,10,0,0,1,0
2020-07-09,Iceland,1833,10,0,0,0,0
2020-07-10,Iceland,1833,10,0,0,0,0
2020-07-11,Iceland,1833,10,0,0,0,0
2020-07-12,Iceland,1833,10,0,0,0,0
2020-07-13,Iceland,1833,10,0,0,0,0
2020-07-14,Iceland,1835,10,2,0,0,0
2020-07-15,Iceland,1835,10,0,0,0,0
2020-07-16,Iceland,1836,10,1,0,0,0
2020-07-17,Iceland,1836,10,0,0,0,0
2020-07-18,Iceland,1838,10,2,0,1,0
2020-07-19,Iceland,1839,10,1,0,1,0
2020-07-20,Iceland,1839,10,0,0,1,0
2020-07-21,Iceland,1839,10,0,0,1,0
2020-07-22,Iceland,1840,10,1,0,1,0
2020-07-23,Iceland,1841,10,1,0,1,0
2020-07-24,Iceland,1843,10,2,0,1,0
2020-07-25,Iceland,1843,10,0,0,1,0
2020-07-26,Iceland,1847,10,4,0,1,0
2020-07-27,Iceland,1854,10,7,0,2,0
2020-07-28,Iceland,1857,10,3,0,3,0
