Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,India,0,0,0,0,0,0
2020-01-23,India,0,0,0,0,0,0
2020-01-24,India,0,0,0,0,0,0
2020-01-25,India,0,0,0,0,0,0
2020-01-26,India,0,0,0,0,0,0
2020-01-27,India,0,0,0,0,0,0
2020-01-28,India,0,0,0,0,0,0
2020-01-29,India,0,0,0,0,0,0
2020-01-30,India,1,0,1,0,0,0
2020-01-31,India,1,0,0,0,0,0
2020-02-01,India,1,0,0,0,0,0
2020-02-02,India,2,0,1,0,0,0
2020-02-03,India,3,0,1,0,0,0
2020-02-04,India,3,0,0,0,0,0
2020-02-05,India,3,0,0,0,0,0
2020-02-06,India,3,0,0,0,0,0
2020-02-07,India,3,0,0,0,0,0
2020-02-08,India,3,0,0,0,0,0
2020-02-09,India,3,0,0,0,0,0
2020-02-10,India,3,0,0,0,0,0
2020-02-11,India,3,0,0,0,0,0
2020-02-12,India,3,0,0,0,0,0
2020-02-13,India,3,0,0,0,0,0
2020-02-14,India,3,0,0,0,0,0
2020-02-15,India,3,0,0,0,0,0
2020-02-16,India,3,0,0,0,0,0
2020-02-17,India,3,0,0,0,0,0
2020-02-18,India,3,0,0,0,0,0
2020-02-19,India,3,0,0,0,0,0
2020-02-20,India,3,0,0,0,0,0
2020-02-21,India,3,0,0,0,0,0
2020-02-22,India,3,0,0,0,0,0
2020-02-23,India,3,0,0,0,0,0
2020-02-24,India,3,0,0,0,0,0
2020-02-25,India,3,0,0,0,0,0
2020-02-26,India,3,0,0,0,0,0
2020-02-27,India,3,0,0,0,0,0
2020-02-28,India,3,0,0,0,0,0
2020-02-29,India,3,0,0,0,0,0
2020-03-01,India,3,0,0,0,0,0
2020-03-02,India,5,0,2,0,0,0
2020-03-03,India,5,0,0,0,0,0
2020-03-04,India,28,0,23,0,4,0
2020-03-05,India,30,0,2,0,4,0
2020-03-06,India,31,0,1,0,4,0
2020-03-07,India,34,0,3,0,4,0
2020-03-08,India,39,0,5,0,5,0
2020-03-09,India,43,0,4,0,5,0
2020-03-10,India,56,0,13,0,7,0
2020-03-11,India,62,1,6,1,5,0
2020-03-12,India,73,1,11,0,6,0
2020-03-13,India,82,2,9,1,7,0
2020-03-14,India,102,2,20,0,10,0
2020-03-15,India,113,2,11,0,11,0
2020-03-16,India,119,2,6,0,11,0
2020-03-17,India,142,3,23,1,12,0
2020-03-18,India,156,3,14,0,13,0
2020-03-19,India,194,4,38,1,17,0
2020-03-20,India,244,5,50,1,23,0
2020-03-21,India,330,4,86,-1,33,0
2020-03-22,India,396,7,66,3,40,1
2020-03-23,India,499,10,103,3,54,1
2020-03-24,India,536,10,37,0,56,1
2020-03-25,India,657,12,121,2,72,1
2020-03-26,India,727,20,70,8,76,2
2020-03-27,India,887,20,160,0,92,2
2020-03-28,India,987,24,100,4,94,3
2020-03-29,India,1024,27,37,3,90,3
2020-03-30,India,1251,32,227,5,107,3
2020-03-31,India,1397,35,146,3,123,4
2020-04-01,India,1998,58,601,23,192,7
2020-04-02,India,2543,72,545,14,259,7
2020-04-03,India,2567,72,24,0,240,7
2020-04-04,India,3082,86,515,14,299,9
2020-04-05,India,3588,99,506,13,366,10
2020-04-06,India,4778,136,1190,37,504,15
2020-04-07,India,5311,150,533,14,559,16
2020-04-08,India,5916,178,605,28,560,17
2020-04-09,India,6725,226,809,48,597,22
2020-04-10,India,7598,246,873,20,719,25
2020-04-11,India,8446,288,848,42,766,29
2020-04-12,India,9205,331,759,43,802,33
2020-04-13,India,10453,358,1248,27,811,32
2020-04-14,India,11487,393,1034,35,882,35
2020-04-15,India,12322,405,835,12,915,32
2020-04-16,India,13430,448,1108,43,958,32
2020-04-17,India,14352,486,922,38,965,34
2020-04-18,India,15722,521,1370,35,1039,33
2020-04-19,India,17615,559,1893,38,1201,33
2020-04-20,India,18539,592,924,33,1155,33
2020-04-21,India,20080,645,1541,53,1228,36
2020-04-22,India,21370,681,1290,36,1293,39
2020-04-23,India,23077,721,1707,40,1378,39
2020-04-24,India,24530,780,1453,59,1454,42
2020-04-25,India,26283,825,1753,45,1509,43
2020-04-26,India,27890,881,1607,56,1468,46
2020-04-27,India,29451,939,1561,58,1559,50
2020-04-28,India,31324,1008,1873,69,1606,52
2020-04-29,India,33062,1079,1738,71,1670,57
2020-04-30,India,34863,1154,1801,75,1684,62
2020-05-01,India,37257,1223,2394,69,1818,63
2020-05-02,India,39699,1323,2442,100,1917,71
2020-05-03,India,42505,1391,2806,68,2088,73
2020-05-04,India,46437,1566,3932,175,2427,90
2020-05-05,India,49400,1693,2963,127,2582,98
2020-05-06,India,52987,1785,3587,92,2846,101
