Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Indonesia,0,0,0,0,0,0
2020-01-23,Indonesia,0,0,0,0,0,0
2020-01-24,Indonesia,0,0,0,0,0,0
2020-01-25,Indonesia,0,0,0,0,0,0
2020-01-26,Indonesia,0,0,0,0,0,0
2020-01-27,Indonesia,0,0,0,0,0,0
2020-01-28,Indonesia,0,0,0,0,0,0
2020-01-29,Indonesia,0,0,0,0,0,0
2020-01-30,Indonesia,0,0,0,0,0,0
2020-01-31,Indonesia,0,0,0,0,0,0
2020-02-01,Indonesia,0,0,0,0,0,0
2020-02-02,Indonesia,0,0,0,0,0,0
2020-02-03,Indonesia,0,0,0,0,0,0
2020-02-04,Indonesia,0,0,0,0,0,0
2020-02-05,Indonesia,0,0,0,0,0,0
2020-02-06,Indonesia,0,0,0,0,0,0
2020-02-07,Indonesia,0,0,0,0,0,0
2020-02-08,Indonesia,0,0,0,0,0,0
2020-02-09,Indonesia,0,0,0,0,0,0
2020-02-10,Indonesia,0,0,0,0,0,0
2020-02-11,Indonesia,0,0,0,0,0,0
2020-02-12,Indonesia,0,0,0,0,0,0
2020-02-13,Indonesia,0,0,0,0,0,0
2020-02-14,Indonesia,0,0,0,0,0,0
2020-02-15,Indonesia,0,0,0,0,0,0
2020-02-16,Indonesia,0,0,0,0,0,0
2020-02-17,Indonesia,0,0,0,0,0,0
2020-02-18,Indonesia,0,0,0,0,0,0
2020-02-19,Indonesia,0,0,0,0,0,0
2020-02-20,Indonesia,0,0,0,0,0,0
2020-02-21,Indonesia,0,0,0,0,0,0
2020-02-22,Indonesia,0,0,0,0,0,0
2020-02-23,Indonesia,0,0,0,0,0,0
2020-02-24,Indonesia,0,0,0,0,0,0
2020-02-25,Indonesia,0,0,0,0,0,0
2020-02-26,Indonesia,0,0,0,0,0,0
2020-02-27,Indonesia,0,0,0,0,0,0
2020-02-28,Indonesia,0,0,0,0,0,0
2020-02-29,Indonesia,0,0,0,0,0,0
2020-03-01,Indonesia,0,0,0,0,0,0
2020-03-02,Indonesia,2,0,2,0,0,0
2020-03-03,Indonesia,2,0,0,0,0,0
2020-03-04,Indonesia,2,0,0,0,0,0
2020-03-05,Indonesia,2,0,0,0,0,0
2020-03-06,Indonesia,4,0,2,0,1,0
2020-03-07,Indonesia,4,0,0,0,1,0
2020-03-08,Indonesia,6,0,2,0,1,0
2020-03-09,Indonesia,19,0,13,0,2,0
2020-03-10,Indonesia,27,0,8,0,4,0
2020-03-11,Indonesia,34,1,7,1,5,0
2020-03-12,Indonesia,34,1,0,0,5,0
2020-03-13,Indonesia,69,4,35,3,9,1
2020-03-14,Indonesia,96,5,27,1,13,1
2020-03-15,Indonesia,117,5,21,0,16,1
2020-03-16,Indonesia,134,5,17,0,16,1
2020-03-17,Indonesia,172,5,38,0,21,1
2020-03-18,Indonesia,227,19,55,14,28,3
2020-03-19,Indonesia,311,25,84,6,40,3
2020-03-20,Indonesia,369,32,58,7,43,4
2020-03-21,Indonesia,450,38,81,6,51,5
2020-03-22,Indonesia,514,48,64,10,57,6
2020-03-23,Indonesia,579,49,65,1,64,6
2020-03-24,Indonesia,686,55,107,6,73,7
2020-03-25,Indonesia,790,58,104,3,80,6
2020-03-26,Indonesia,893,78,103,20,83,8
2020-03-27,Indonesia,1046,87,153,9,97,8
2020-03-28,Indonesia,1155,102,109,15,101,9
2020-03-29,Indonesia,1285,114,130,12,110,9
2020-03-30,Indonesia,1414,122,129,8,119,10
2020-03-31,Indonesia,1528,136,114,14,120,12
2020-04-01,Indonesia,1677,157,149,21,127,14
