Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Iran,0,0,0,0,0,0
2020-01-23,Iran,0,0,0,0,0,0
2020-01-24,Iran,0,0,0,0,0,0
2020-01-25,Iran,0,0,0,0,0,0
2020-01-26,Iran,0,0,0,0,0,0
2020-01-27,Iran,0,0,0,0,0,0
2020-01-28,Iran,0,0,0,0,0,0
2020-01-29,Iran,0,0,0,0,0,0
2020-01-30,Iran,0,0,0,0,0,0
2020-01-31,Iran,0,0,0,0,0,0
2020-02-01,Iran,0,0,0,0,0,0
2020-02-02,Iran,0,0,0,0,0,0
2020-02-03,Iran,0,0,0,0,0,0
2020-02-04,Iran,0,0,0,0,0,0
2020-02-05,Iran,0,0,0,0,0,0
2020-02-06,Iran,0,0,0,0,0,0
2020-02-07,Iran,0,0,0,0,0,0
2020-02-08,Iran,0,0,0,0,0,0
2020-02-09,Iran,0,0,0,0,0,0
2020-02-10,Iran,0,0,0,0,0,0
2020-02-11,Iran,0,0,0,0,0,0
2020-02-12,Iran,0,0,0,0,0,0
2020-02-13,Iran,0,0,0,0,0,0
2020-02-14,Iran,0,0,0,0,0,0
2020-02-15,Iran,0,0,0,0,0,0
2020-02-16,Iran,0,0,0,0,0,0
2020-02-17,Iran,0,0,0,0,0,0
2020-02-18,Iran,0,0,0,0,0,0
2020-02-19,Iran,2,2,2,2,0,0
2020-02-20,Iran,5,2,3,0,1,0
2020-02-21,Iran,18,4,13,2,3,1
2020-02-22,Iran,28,5,10,1,4,1
2020-02-23,Iran,43,8,15,3,6,1
2020-02-24,Iran,61,12,18,4,9,2
2020-02-25,Iran,95,16,34,4,14,2
2020-02-26,Iran,139,19,44,3,20,2
2020-02-27,Iran,245,26,106,7,34,3
2020-02-28,Iran,388,34,143,8,53,4
2020-02-29,Iran,593,43,205,9,81,5
2020-03-01,Iran,978,54,385,11,134,7
2020-03-02,Iran,1501,66,523,12,206,8
2020-03-03,Iran,2336,77,835,11,320,9
2020-03-04,Iran,2922,92,586,15,398,10
2020-03-05,Iran,3513,107,591,15,467,12
2020-03-06,Iran,4747,124,1234,17,623,13
2020-03-07,Iran,5823,145,1076,21,747,15
2020-03-08,Iran,6566,194,743,49,798,20
2020-03-09,Iran,7161,237,595,43,809,24
2020-03-10,Iran,8042,291,881,54,815,31
2020-03-11,Iran,9000,354,958,63,868,37
2020-03-12,Iran,10075,429,1075,75,937,46
2020-03-13,Iran,11364,514,1289,85,945,56
2020-03-14,Iran,12729,611,1365,97,987,67
2020-03-15,Iran,13938,724,1209,113,1053,76
2020-03-16,Iran,14991,853,1053,129,1119,88
2020-03-17,Iran,16169,988,1178,135,1161,100
2020-03-18,Iran,17361,1135,1192,147,1194,112
2020-03-19,Iran,18407,1284,1046,149,1190,122
2020-03-20,Iran,19644,1433,1237,149,1183,131
2020-03-21,Iran,20610,1556,966,123,1126,135
2020-03-22,Iran,21638,1685,1028,129,1100,137
2020-03-23,Iran,23049,1812,1411,127,1151,137
2020-03-24,Iran,24811,1934,1762,122,1235,135
2020-03-25,Iran,27017,2077,2206,143,1379,135
2020-03-26,Iran,29406,2234,2389,157,1571,136
2020-03-27,Iran,32332,2378,2926,144,1813,135
2020-03-28,Iran,35408,2517,3076,139,2114,137
2020-03-29,Iran,38309,2640,2901,123,2382,136
2020-03-30,Iran,41495,2757,3186,117,2635,135
2020-03-31,Iran,44605,2898,3110,141,2828,138
2020-04-01,Iran,47593,3036,2988,138,2939,137
2020-04-02,Iran,50468,3160,2875,124,3009,132
2020-04-03,Iran,53183,3294,2715,134,2979,131
2020-04-04,Iran,55743,3452,2560,158,2905,134
2020-04-05,Iran,58226,3603,2483,151,2845,138
2020-04-06,Iran,60500,3739,2274,136,2715,140
2020-04-07,Iran,62589,3872,2089,133,2569,139
2020-04-08,Iran,64586,3993,1997,121,2428,137
2020-04-09,Iran,66220,4110,1634,117,2250,136
2020-04-10,Iran,68192,4232,1972,122,2144,134
2020-04-11,Iran,70029,4357,1837,125,2041,129
2020-04-12,Iran,71686,4474,1657,117,1923,124
2020-04-13,Iran,73303,4585,1617,111,1829,121
2020-04-14,Iran,74877,4683,1574,98,1755,116
2020-04-15,Iran,76389,4777,1512,94,1686,112
2020-04-16,Iran,77995,4869,1606,92,1682,108
2020-04-17,Iran,79494,4958,1499,89,1615,104
2020-04-18,Iran,80868,5031,1374,73,1548,96
2020-04-19,Iran,82211,5118,1343,87,1504,92
2020-04-20,Iran,83505,5209,1294,91,1457,89
2020-04-21,Iran,84802,5297,1297,88,1418,88
2020-04-22,Iran,85996,5391,1194,94,1372,88
2020-04-23,Iran,87026,5481,1030,90,1290,87
2020-04-24,Iran,88194,5574,1168,93,1243,88
2020-04-25,Iran,89328,5650,1134,76,1209,88
2020-04-26,Iran,90481,5710,1153,60,1181,85
2020-04-27,Iran,91472,5806,991,96,1138,85
2020-04-28,Iran,92584,5877,1112,71,1112,83
2020-04-29,Iran,93657,5957,1073,80,1094,81
2020-04-30,Iran,94640,6028,983,71,1088,78
2020-05-01,Iran,95646,6091,1006,63,1065,74
2020-05-02,Iran,96448,6156,802,65,1017,72
2020-05-03,Iran,97424,6203,976,47,992,70
2020-05-04,Iran,98647,6277,1223,74,1025,67
2020-05-05,Iran,99970,6340,1323,63,1055,66
2020-05-06,Iran,101650,6418,1680,78,1142,66
2020-05-07,Iran,103135,6486,1485,68,1214,65
2020-05-08,Iran,104691,6541,1556,55,1292,64
2020-05-09,Iran,106220,6589,1529,48,1396,62
2020-05-10,Iran,107603,6640,1383,51,1454,62
2020-05-11,Iran,109286,6685,1683,45,1520,58
2020-05-12,Iran,110767,6733,1481,48,1542,56
2020-05-13,Iran,112725,6783,1958,50,1582,52
2020-05-14,Iran,114533,6854,1808,71,1628,53
2020-05-15,Iran,116635,6902,2102,48,1706,52
2020-05-16,Iran,118392,6937,1757,35,1739,50
2020-05-17,Iran,120198,6988,1806,51,1799,50
2020-05-18,Iran,122492,7057,2294,69,1887,53
2020-05-19,Iran,124603,7119,2111,62,1977,55
2020-05-20,Iran,126949,7183,2346,64,2032,57
2020-05-21,Iran,129341,7249,2392,66,2115,56
2020-05-22,Iran,131652,7300,2311,51,2145,57
2020-05-23,Iran,133521,7359,1869,59,2161,60
2020-05-24,Iran,135701,7417,2180,58,2215,61
2020-05-25,Iran,137724,7451,2023,34,2176,56
2020-05-26,Iran,139511,7508,1787,57,2130,56
2020-05-27,Iran,141591,7564,2080,56,2092,54
2020-05-28,Iran,143849,7627,2258,63,2073,54
2020-05-29,Iran,146668,7677,2819,50,2145,54
2020-05-30,Iran,148950,7734,2282,57,2204,54
2020-05-31,Iran,151466,7797,2516,63,2252,54
2020-06-01,Iran,154445,7878,2979,81,2389,61
2020-06-02,Iran,157562,7942,3117,64,2579,62
2020-06-03,Iran,160696,8012,3134,70,2729,64
2020-06-04,Iran,164270,8071,3574,59,2917,63
2020-06-05,Iran,167156,8134,2886,63,2927,65
2020-06-06,Iran,169425,8209,2269,75,2925,68
2020-06-07,Iran,171789,8281,2364,72,2903,69
2020-06-08,Iran,173832,8351,2043,70,2770,68
