Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Iraq,0,0,0,0,0,0
2020-01-23,Iraq,0,0,0,0,0,0
2020-01-24,Iraq,0,0,0,0,0,0
2020-01-25,Iraq,0,0,0,0,0,0
2020-01-26,Iraq,0,0,0,0,0,0
2020-01-27,Iraq,0,0,0,0,0,0
2020-01-28,Iraq,0,0,0,0,0,0
2020-01-29,Iraq,0,0,0,0,0,0
2020-01-30,Iraq,0,0,0,0,0,0
2020-01-31,Iraq,0,0,0,0,0,0
2020-02-01,Iraq,0,0,0,0,0,0
2020-02-02,Iraq,0,0,0,0,0,0
2020-02-03,Iraq,0,0,0,0,0,0
2020-02-04,Iraq,0,0,0,0,0,0
2020-02-05,Iraq,0,0,0,0,0,0
2020-02-06,Iraq,0,0,0,0,0,0
2020-02-07,Iraq,0,0,0,0,0,0
2020-02-08,Iraq,0,0,0,0,0,0
2020-02-09,Iraq,0,0,0,0,0,0
2020-02-10,Iraq,0,0,0,0,0,0
2020-02-11,Iraq,0,0,0,0,0,0
2020-02-12,Iraq,0,0,0,0,0,0
2020-02-13,Iraq,0,0,0,0,0,0
2020-02-14,Iraq,0,0,0,0,0,0
2020-02-15,Iraq,0,0,0,0,0,0
2020-02-16,Iraq,0,0,0,0,0,0
2020-02-17,Iraq,0,0,0,0,0,0
2020-02-18,Iraq,0,0,0,0,0,0
2020-02-19,Iraq,0,0,0,0,0,0
2020-02-20,Iraq,0,0,0,0,0,0
2020-02-21,Iraq,0,0,0,0,0,0
2020-02-22,Iraq,0,0,0,0,0,0
2020-02-23,Iraq,0,0,0,0,0,0
2020-02-24,Iraq,1,0,1,0,0,0
2020-02-25,Iraq,1,0,0,0,0,0
2020-02-26,Iraq,5,0,4,0,1,0
2020-02-27,Iraq,7,0,2,0,1,0
2020-02-28,Iraq,7,0,0,0,1,0
2020-02-29,Iraq,13,0,6,0,2,0
2020-03-01,Iraq,19,0,6,0,3,0
2020-03-02,Iraq,26,0,7,0,4,0
2020-03-03,Iraq,32,0,6,0,4,0
2020-03-04,Iraq,35,2,3,2,4,0
2020-03-05,Iraq,35,2,0,0,4,0
2020-03-06,Iraq,40,3,5,1,5,0
2020-03-07,Iraq,54,4,14,1,6,1
2020-03-08,Iraq,60,6,6,2,6,1
2020-03-09,Iraq,60,6,0,0,5,1
2020-03-10,Iraq,71,7,11,1,6,1
2020-03-11,Iraq,71,7,0,0,5,1
2020-03-12,Iraq,71,8,0,1,5,1
2020-03-13,Iraq,101,9,30,1,9,1
2020-03-14,Iraq,110,10,9,1,8,1
2020-03-15,Iraq,116,10,6,0,8,1
2020-03-16,Iraq,124,10,8,0,9,1
2020-03-17,Iraq,154,11,30,1,12,1
2020-03-18,Iraq,164,12,10,1,13,1
2020-03-19,Iraq,192,13,28,1,17,1
2020-03-20,Iraq,208,17,16,4,15,1
2020-03-21,Iraq,214,17,6,0,15,1
2020-03-22,Iraq,233,20,19,3,17,1
2020-03-23,Iraq,266,23,33,3,20,2
2020-03-24,Iraq,316,27,50,4,23,2
2020-03-25,Iraq,346,29,30,2,26,2
