Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Israel,0,0,0,0,0,0
2020-01-23,Israel,0,0,0,0,0,0
2020-01-24,Israel,0,0,0,0,0,0
2020-01-25,Israel,0,0,0,0,0,0
2020-01-26,Israel,0,0,0,0,0,0
2020-01-27,Israel,0,0,0,0,0,0
2020-01-28,Israel,0,0,0,0,0,0
2020-01-29,Israel,0,0,0,0,0,0
2020-01-30,Israel,0,0,0,0,0,0
2020-01-31,Israel,0,0,0,0,0,0
2020-02-01,Israel,0,0,0,0,0,0
2020-02-02,Israel,0,0,0,0,0,0
2020-02-03,Israel,0,0,0,0,0,0
2020-02-04,Israel,0,0,0,0,0,0
2020-02-05,Israel,0,0,0,0,0,0
2020-02-06,Israel,0,0,0,0,0,0
2020-02-07,Israel,0,0,0,0,0,0
2020-02-08,Israel,0,0,0,0,0,0
2020-02-09,Israel,0,0,0,0,0,0
2020-02-10,Israel,0,0,0,0,0,0
2020-02-11,Israel,0,0,0,0,0,0
2020-02-12,Israel,0,0,0,0,0,0
2020-02-13,Israel,0,0,0,0,0,0
2020-02-14,Israel,0,0,0,0,0,0
2020-02-15,Israel,0,0,0,0,0,0
2020-02-16,Israel,0,0,0,0,0,0
2020-02-17,Israel,0,0,0,0,0,0
2020-02-18,Israel,0,0,0,0,0,0
2020-02-19,Israel,0,0,0,0,0,0
2020-02-20,Israel,0,0,0,0,0,0
2020-02-21,Israel,1,0,1,0,0,0
2020-02-22,Israel,1,0,0,0,0,0
2020-02-23,Israel,1,0,0,0,0,0
2020-02-24,Israel,1,0,0,0,0,0
2020-02-25,Israel,1,0,0,0,0,0
2020-02-26,Israel,2,0,1,0,0,0
2020-02-27,Israel,3,0,1,0,0,0
2020-02-28,Israel,6,0,3,0,1,0
2020-02-29,Israel,6,0,0,0,1,0
2020-03-01,Israel,7,0,1,0,1,0
2020-03-02,Israel,12,0,5,0,2,0
2020-03-03,Israel,15,0,3,0,2,0
2020-03-04,Israel,15,0,0,0,2,0
2020-03-05,Israel,21,0,6,0,3,0
2020-03-06,Israel,37,0,16,0,4,0
2020-03-07,Israel,47,0,10,0,6,0
2020-03-08,Israel,56,0,9,0,7,0
2020-03-09,Israel,60,0,4,0,7,0
2020-03-10,Israel,88,0,28,0,10,0
2020-03-11,Israel,60,0,-28,0,6,0
2020-03-12,Israel,81,0,21,0,9,0
2020-03-13,Israel,112,0,31,0,11,0
2020-03-14,Israel,138,0,26,0,13,0
2020-03-15,Israel,177,0,39,0,17,0
2020-03-16,Israel,251,0,74,0,27,0
2020-03-17,Israel,295,0,44,0,30,0
2020-03-18,Israel,371,0,76,0,44,0
2020-03-19,Israel,386,0,15,0,44,0
2020-03-20,Israel,628,1,242,1,74,0
2020-03-21,Israel,843,1,215,0,101,0
2020-03-22,Israel,1080,1,237,0,129,0
2020-03-23,Israel,1249,1,169,0,143,0
2020-03-24,Israel,1351,4,102,3,151,1
2020-03-25,Israel,2468,5,1117,1,300,1
2020-03-26,Israel,2988,10,520,5,372,1
2020-03-27,Israel,3421,12,433,2,399,2
2020-03-28,Israel,3901,13,480,1,437,2
2020-03-29,Israel,4433,16,532,3,479,2
2020-03-30,Israel,4979,17,546,1,533,2
2020-03-31,Israel,5717,21,738,4,624,2
2020-04-01,Israel,6413,29,696,8,564,3
2020-04-02,Israel,7132,38,719,9,592,4
2020-04-03,Israel,7729,43,597,5,615,4
2020-04-04,Israel,8157,49,428,6,608,5
