Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Italy,0,0,0,0,0,0
2020-01-23,Italy,0,0,0,0,0,0
2020-01-24,Italy,0,0,0,0,0,0
2020-01-25,Italy,0,0,0,0,0,0
2020-01-26,Italy,0,0,0,0,0,0
2020-01-27,Italy,0,0,0,0,0,0
2020-01-28,Italy,0,0,0,0,0,0
2020-01-29,Italy,0,0,0,0,0,0
2020-01-30,Italy,0,0,0,0,0,0
2020-01-31,Italy,2,0,2,0,0,0
2020-02-01,Italy,2,0,0,0,0,0
2020-02-02,Italy,2,0,0,0,0,0
2020-02-03,Italy,2,0,0,0,0,0
2020-02-04,Italy,2,0,0,0,0,0
2020-02-05,Italy,2,0,0,0,0,0
2020-02-06,Italy,2,0,0,0,0,0
2020-02-07,Italy,3,0,1,0,0,0
2020-02-08,Italy,3,0,0,0,0,0
2020-02-09,Italy,3,0,0,0,0,0
2020-02-10,Italy,3,0,0,0,0,0
2020-02-11,Italy,3,0,0,0,0,0
2020-02-12,Italy,3,0,0,0,0,0
2020-02-13,Italy,3,0,0,0,0,0
2020-02-14,Italy,3,0,0,0,0,0
2020-02-15,Italy,3,0,0,0,0,0
2020-02-16,Italy,3,0,0,0,0,0
2020-02-17,Italy,3,0,0,0,0,0
2020-02-18,Italy,3,0,0,0,0,0
2020-02-19,Italy,3,0,0,0,0,0
2020-02-20,Italy,3,0,0,0,0,0
2020-02-21,Italy,20,1,17,1,2,0
2020-02-22,Italy,62,2,42,1,8,0
2020-02-23,Italy,155,3,93,1,22,0
2020-02-24,Italy,229,7,74,4,32,1
2020-02-25,Italy,322,10,93,3,46,1
2020-02-26,Italy,453,12,131,2,64,2
2020-02-27,Italy,655,17,202,5,93,2
2020-02-28,Italy,888,21,233,4,124,3
2020-02-29,Italy,1128,29,240,8,152,4
2020-03-01,Italy,1694,34,566,5,220,4
2020-03-02,Italy,2036,52,342,18,258,6
2020-03-03,Italy,2502,79,466,27,311,10
2020-03-04,Italy,3089,107,587,28,377,14
2020-03-05,Italy,3858,148,769,41,458,19
2020-03-06,Italy,4636,197,778,49,535,25
2020-03-07,Italy,5883,233,1247,36,679,29
2020-03-08,Italy,7375,366,1492,133,812,47
2020-03-09,Italy,9172,463,1797,97,1019,59
2020-03-10,Italy,10149,631,977,168,1092,79
2020-03-11,Italy,12462,827,2313,196,1339,103
2020-03-12,Italy,15113,1016,2651,189,1608,124
2020-03-13,Italy,17660,1266,2547,250,1861,153
2020-03-14,Italy,21157,1441,3497,175,2182,173
2020-03-15,Italy,24747,1809,3590,368,2482,206
2020-03-16,Italy,27980,2158,3233,349,2687,242
2020-03-17,Italy,31506,2503,3526,345,3051,267
2020-03-18,Italy,35713,2978,4207,475,3322,307
2020-03-19,Italy,41035,3405,5322,427,3703,341
2020-03-20,Italy,47021,4032,5986,627,4194,395
2020-03-21,Italy,53578,4825,6557,793,4632,483
2020-03-22,Italy,59138,5476,5560,651,4913,524
2020-03-23,Italy,63927,6077,4789,601,5135,560
2020-03-24,Italy,69176,6820,5249,743,5381,617
2020-03-25,Italy,74386,7503,5210,683,5525,646
2020-03-26,Italy,80589,8215,6203,712,5651,687
2020-03-27,Italy,86498,9134,5909,919,5640,729
2020-03-28,Italy,92472,10023,5974,889,5556,743
2020-03-29,Italy,97689,10779,5217,756,5507,758
2020-03-30,Italy,101739,11591,4050,812,5402,788
2020-03-31,Italy,105792,12428,4053,837,5231,801
2020-04-01,Italy,110574,13155,4782,727,5170,807
2020-04-02,Italy,115242,13915,4668,760,4950,814
2020-04-03,Italy,119827,14681,4585,766,4761,792
2020-04-04,Italy,124632,15362,4805,681,4594,763
2020-04-05,Italy,128948,15887,4316,525,4466,730
2020-04-06,Italy,132547,16523,3599,636,4401,705
2020-04-07,Italy,135586,17127,3039,604,4256,671
2020-04-08,Italy,139422,17669,3836,542,4121,645
2020-04-09,Italy,143626,18279,4204,610,4055,623
2020-04-10,Italy,147577,18849,3951,570,3964,595
2020-04-11,Italy,152271,19468,4694,619,3948,587
2020-04-12,Italy,156363,19899,4092,431,3916,573
2020-04-13,Italy,159516,20465,3153,566,3853,563
2020-04-14,Italy,162488,21067,2972,602,3843,563
2020-04-15,Italy,165155,21645,2667,578,3676,568
2020-04-16,Italy,168941,22170,3786,525,3616,556
2020-04-17,Italy,172434,22745,3493,575,3551,557
2020-04-18,Italy,175925,23227,3491,482,3379,537
2020-04-19,Italy,178972,23660,3047,433,3230,537
2020-04-20,Italy,181228,24114,2256,454,3102,521
2020-04-21,Italy,183957,24648,2729,534,3067,512
2020-04-22,Italy,187327,25085,3370,437,3167,491
2020-04-23,Italy,189973,25549,2646,464,3005,483
2020-04-24,Italy,192994,25969,3021,420,2937,461
2020-04-25,Italy,195351,26384,2357,415,2775,451
2020-04-26,Italy,197675,26644,2324,260,2672,426
2020-04-27,Italy,199414,26977,1739,333,2598,409
2020-04-28,Italy,201505,27359,2091,382,2507,387
2020-04-29,Italy,203591,27682,2086,323,2323,371
2020-04-30,Italy,205463,27967,1872,285,2213,345
2020-05-01,Italy,207428,28236,1965,269,2062,324
2020-05-02,Italy,209328,28710,1900,474,1997,332
2020-05-03,Italy,210717,28884,1389,174,1863,320
2020-05-04,Italy,211938,29079,1221,195,1789,300
2020-05-05,Italy,213013,29315,1075,236,1644,279
2020-05-06,Italy,214457,29684,1444,369,1552,286
2020-05-07,Italy,215858,29958,1401,274,1485,284
2020-05-08,Italy,217185,30201,1327,243,1394,281
2020-05-09,Italy,218268,30395,1083,194,1277,241
2020-05-10,Italy,219070,30560,802,165,1193,239
2020-05-11,Italy,219814,30739,744,179,1125,237
2020-05-12,Italy,221216,30911,1402,172,1172,228
2020-05-13,Italy,222104,31106,888,195,1092,203
2020-05-14,Italy,223096,31368,992,262,1034,201
2020-05-15,Italy,223885,31610,789,242,957,201
2020-05-16,Italy,224760,31763,875,153,927,195
2020-05-17,Italy,225435,31908,675,145,909,193
2020-05-18,Italy,225886,32007,451,99,867,181
2020-05-19,Italy,226699,32169,813,162,783,180
2020-05-20,Italy,227364,32330,665,161,751,175
2020-05-21,Italy,228006,32486,642,156,701,160
2020-05-22,Italy,228658,32616,652,130,682,144
2020-05-23,Italy,229327,32735,669,119,652,139
2020-05-24,Italy,229858,32785,531,50,632,125
2020-05-25,Italy,230158,32877,300,92,610,124
2020-05-26,Italy,230555,32955,397,78,551,112
2020-05-27,Italy,231139,33072,584,117,539,106
2020-05-28,Italy,231732,33142,593,70,532,94
2020-05-29,Italy,232248,33229,516,87,513,88
2020-05-30,Italy,232664,33340,416,111,477,86
