Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Jamaica,0,0,0,0,0,0
2020-01-23,Jamaica,0,0,0,0,0,0
2020-01-24,Jamaica,0,0,0,0,0,0
2020-01-25,Jamaica,0,0,0,0,0,0
2020-01-26,Jamaica,0,0,0,0,0,0
2020-01-27,Jamaica,0,0,0,0,0,0
2020-01-28,Jamaica,0,0,0,0,0,0
2020-01-29,Jamaica,0,0,0,0,0,0
2020-01-30,Jamaica,0,0,0,0,0,0
2020-01-31,Jamaica,0,0,0,0,0,0
2020-02-01,Jamaica,0,0,0,0,0,0
2020-02-02,Jamaica,0,0,0,0,0,0
2020-02-03,Jamaica,0,0,0,0,0,0
2020-02-04,Jamaica,0,0,0,0,0,0
2020-02-05,Jamaica,0,0,0,0,0,0
2020-02-06,Jamaica,0,0,0,0,0,0
2020-02-07,Jamaica,0,0,0,0,0,0
2020-02-08,Jamaica,0,0,0,0,0,0
2020-02-09,Jamaica,0,0,0,0,0,0
2020-02-10,Jamaica,0,0,0,0,0,0
2020-02-11,Jamaica,0,0,0,0,0,0
2020-02-12,Jamaica,0,0,0,0,0,0
2020-02-13,Jamaica,0,0,0,0,0,0
2020-02-14,Jamaica,0,0,0,0,0,0
2020-02-15,Jamaica,0,0,0,0,0,0
2020-02-16,Jamaica,0,0,0,0,0,0
2020-02-17,Jamaica,0,0,0,0,0,0
2020-02-18,Jamaica,0,0,0,0,0,0
2020-02-19,Jamaica,0,0,0,0,0,0
2020-02-20,Jamaica,0,0,0,0,0,0
2020-02-21,Jamaica,0,0,0,0,0,0
2020-02-22,Jamaica,0,0,0,0,0,0
2020-02-23,Jamaica,0,0,0,0,0,0
2020-02-24,Jamaica,0,0,0,0,0,0
2020-02-25,Jamaica,0,0,0,0,0,0
2020-02-26,Jamaica,0,0,0,0,0,0
2020-02-27,Jamaica,0,0,0,0,0,0
2020-02-28,Jamaica,0,0,0,0,0,0
2020-02-29,Jamaica,0,0,0,0,0,0
2020-03-01,Jamaica,0,0,0,0,0,0
2020-03-02,Jamaica,0,0,0,0,0,0
2020-03-03,Jamaica,0,0,0,0,0,0
2020-03-04,Jamaica,0,0,0,0,0,0
2020-03-05,Jamaica,0,0,0,0,0,0
2020-03-06,Jamaica,0,0,0,0,0,0
2020-03-07,Jamaica,0,0,0,0,0,0
2020-03-08,Jamaica,0,0,0,0,0,0
2020-03-09,Jamaica,0,0,0,0,0,0
2020-03-10,Jamaica,0,0,0,0,0,0
2020-03-11,Jamaica,1,0,1,0,0,0
2020-03-12,Jamaica,2,0,1,0,0,0
2020-03-13,Jamaica,8,0,6,0,1,0
2020-03-14,Jamaica,8,0,0,0,1,0
2020-03-15,Jamaica,10,0,2,0,1,0
2020-03-16,Jamaica,10,0,0,0,1,0
2020-03-17,Jamaica,12,0,2,0,2,0
2020-03-18,Jamaica,13,0,1,0,2,0
2020-03-19,Jamaica,15,1,2,1,2,0
2020-03-20,Jamaica,16,1,1,0,1,0
2020-03-21,Jamaica,16,1,0,0,1,0
2020-03-22,Jamaica,19,1,3,0,1,0
2020-03-23,Jamaica,19,1,0,0,1,0
2020-03-24,Jamaica,21,1,2,0,1,0
2020-03-25,Jamaica,26,1,5,0,2,0
2020-03-26,Jamaica,26,1,0,0,2,0
2020-03-27,Jamaica,26,1,0,0,1,0
2020-03-28,Jamaica,30,1,4,0,2,0
2020-03-29,Jamaica,32,1,2,0,2,0
2020-03-30,Jamaica,36,1,4,0,2,0
2020-03-31,Jamaica,36,1,0,0,2,0
2020-04-01,Jamaica,44,3,8,2,3,0
2020-04-02,Jamaica,47,3,3,0,3,0
2020-04-03,Jamaica,47,3,0,0,3,0
2020-04-04,Jamaica,53,3,6,0,3,0
2020-04-05,Jamaica,58,3,5,0,4,0
2020-04-06,Jamaica,58,3,0,0,3,0
2020-04-07,Jamaica,63,3,5,0,4,0
2020-04-08,Jamaica,63,4,0,1,3,0
2020-04-09,Jamaica,63,4,0,0,2,0
2020-04-10,Jamaica,63,4,0,0,2,0
2020-04-11,Jamaica,65,4,2,0,2,0
2020-04-12,Jamaica,69,4,4,0,2,0
2020-04-13,Jamaica,73,4,4,0,2,0
2020-04-14,Jamaica,73,4,0,0,1,0
2020-04-15,Jamaica,125,5,52,1,9,0
2020-04-16,Jamaica,143,5,18,0,11,0
2020-04-17,Jamaica,143,5,0,0,11,0
2020-04-18,Jamaica,163,5,20,0,14,0
2020-04-19,Jamaica,173,5,10,0,15,0
2020-04-20,Jamaica,223,5,50,0,21,0
2020-04-21,Jamaica,223,6,0,1,21,0
2020-04-22,Jamaica,233,6,10,0,15,0
2020-04-23,Jamaica,257,6,24,0,16,0
2020-04-24,Jamaica,288,7,31,1,21,0
2020-04-25,Jamaica,305,7,17,0,20,0
2020-04-26,Jamaica,350,7,45,0,25,0
2020-04-27,Jamaica,364,7,14,0,20,0
2020-04-28,Jamaica,364,7,0,0,20,0
2020-04-29,Jamaica,396,7,32,0,23,0
2020-04-30,Jamaica,422,8,26,1,24,0
2020-05-01,Jamaica,432,8,10,0,21,0
2020-05-02,Jamaica,463,8,31,0,23,0
2020-05-03,Jamaica,469,9,6,1,17,0
2020-05-04,Jamaica,471,9,2,0,15,0
2020-05-05,Jamaica,473,9,2,0,16,0
2020-05-06,Jamaica,478,9,5,0,12,0
2020-05-07,Jamaica,488,9,10,0,9,0
2020-05-08,Jamaica,490,9,2,0,8,0
2020-05-09,Jamaica,490,9,0,0,4,0
2020-05-10,Jamaica,502,9,12,0,5,0
2020-05-11,Jamaica,505,9,3,0,5,0
2020-05-12,Jamaica,507,9,2,0,5,0
2020-05-13,Jamaica,509,9,2,0,4,0
2020-05-14,Jamaica,509,9,0,0,3,0
2020-05-15,Jamaica,511,9,2,0,3,0
2020-05-16,Jamaica,517,9,6,0,4,0
2020-05-17,Jamaica,520,9,3,0,3,0
2020-05-18,Jamaica,520,9,0,0,2,0
2020-05-19,Jamaica,520,9,0,0,2,0
2020-05-20,Jamaica,529,9,9,0,3,0
2020-05-21,Jamaica,534,9,5,0,4,0
2020-05-22,Jamaica,544,9,10,0,5,0
2020-05-23,Jamaica,550,9,6,0,5,0
2020-05-24,Jamaica,552,9,2,0,5,0
