Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Japan,2,0,0,0,0,0
2020-01-23,Japan,2,0,0,0,0,0
2020-01-24,Japan,2,0,0,0,0,0
2020-01-25,Japan,2,0,0,0,0,0
2020-01-26,Japan,4,0,2,0,0,0
2020-01-27,Japan,4,0,0,0,0,0
2020-01-28,Japan,7,0,3,0,1,0
2020-01-29,Japan,7,0,0,0,1,0
2020-01-30,Japan,11,0,4,0,1,0
2020-01-31,Japan,15,0,4,0,2,0
2020-02-01,Japan,20,0,5,0,3,0
2020-02-02,Japan,20,0,0,0,2,0
2020-02-03,Japan,20,0,0,0,2,0
2020-02-04,Japan,22,0,2,0,2,0
2020-02-05,Japan,23,0,1,0,2,0
2020-02-06,Japan,23,0,0,0,2,0
2020-02-07,Japan,23,0,0,0,1,0
2020-02-08,Japan,24,0,1,0,1,0
2020-02-09,Japan,24,0,0,0,1,0
2020-02-10,Japan,26,0,2,0,1,0
2020-02-11,Japan,27,0,1,0,1,0
2020-02-12,Japan,28,0,1,0,1,0
2020-02-13,Japan,33,1,5,1,1,0
2020-02-14,Japan,43,1,10,0,3,0
2020-02-15,Japan,54,1,11,0,4,0
2020-02-16,Japan,60,1,6,0,5,0
2020-02-17,Japan,67,1,7,0,6,0
2020-02-18,Japan,79,2,12,1,7,0
2020-02-19,Japan,85,2,6,0,8,0
2020-02-20,Japan,95,2,10,0,9,0
2020-02-21,Japan,112,2,17,0,10,0
2020-02-22,Japan,137,2,25,0,12,0
2020-02-23,Japan,149,2,12,0,13,0
2020-02-24,Japan,160,2,11,0,13,0
2020-02-25,Japan,173,3,13,1,13,0
2020-02-26,Japan,192,3,19,0,15,0
2020-02-27,Japan,218,4,26,1,18,0
2020-02-28,Japan,236,5,18,1,18,0
2020-02-29,Japan,245,6,9,1,15,1
2020-03-01,Japan,259,6,14,0,16,1
2020-03-02,Japan,278,6,19,0,17,1
2020-03-03,Japan,298,6,20,0,18,0
2020-03-04,Japan,333,7,35,1,20,1
2020-03-05,Japan,365,7,32,0,21,0
2020-03-06,Japan,420,7,55,0,26,0
2020-03-07,Japan,466,7,46,0,32,0
2020-03-08,Japan,499,8,33,1,34,0
2020-03-09,Japan,527,10,28,2,36,1
2020-03-10,Japan,585,13,58,3,41,1
2020-03-11,Japan,640,15,55,2,44,1
2020-03-12,Japan,696,19,56,4,47,2
2020-03-13,Japan,733,21,37,2,45,2
2020-03-14,Japan,795,22,62,1,47,2
2020-03-15,Japan,826,24,31,2,47,2
2020-03-16,Japan,843,30,17,6,45,3
2020-03-17,Japan,893,30,50,0,44,2
2020-03-18,Japan,928,32,35,2,41,2
2020-03-19,Japan,968,33,40,1,39,2
2020-03-20,Japan,1022,34,54,1,41,2
2020-03-21,Japan,1059,36,37,2,38,2
2020-03-22,Japan,1104,40,45,4,40,2
2020-03-23,Japan,1144,41,40,1,43,2
2020-03-24,Japan,1217,42,73,1,46,2
2020-03-25,Japan,1314,45,97,3,55,2
2020-03-26,Japan,1416,47,102,2,64,2
2020-03-27,Japan,1530,53,114,6,73,3
2020-03-28,Japan,1728,56,198,3,96,3
