Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Jordan,0,0,0,0,0,0
2020-01-23,Jordan,0,0,0,0,0,0
2020-01-24,Jordan,0,0,0,0,0,0
2020-01-25,Jordan,0,0,0,0,0,0
2020-01-26,Jordan,0,0,0,0,0,0
2020-01-27,Jordan,0,0,0,0,0,0
2020-01-28,Jordan,0,0,0,0,0,0
2020-01-29,Jordan,0,0,0,0,0,0
2020-01-30,Jordan,0,0,0,0,0,0
2020-01-31,Jordan,0,0,0,0,0,0
2020-02-01,Jordan,0,0,0,0,0,0
2020-02-02,Jordan,0,0,0,0,0,0
2020-02-03,Jordan,0,0,0,0,0,0
2020-02-04,Jordan,0,0,0,0,0,0
2020-02-05,Jordan,0,0,0,0,0,0
2020-02-06,Jordan,0,0,0,0,0,0
2020-02-07,Jordan,0,0,0,0,0,0
2020-02-08,Jordan,0,0,0,0,0,0
2020-02-09,Jordan,0,0,0,0,0,0
2020-02-10,Jordan,0,0,0,0,0,0
2020-02-11,Jordan,0,0,0,0,0,0
2020-02-12,Jordan,0,0,0,0,0,0
2020-02-13,Jordan,0,0,0,0,0,0
2020-02-14,Jordan,0,0,0,0,0,0
2020-02-15,Jordan,0,0,0,0,0,0
2020-02-16,Jordan,0,0,0,0,0,0
2020-02-17,Jordan,0,0,0,0,0,0
2020-02-18,Jordan,0,0,0,0,0,0
2020-02-19,Jordan,0,0,0,0,0,0
2020-02-20,Jordan,0,0,0,0,0,0
2020-02-21,Jordan,0,0,0,0,0,0
2020-02-22,Jordan,0,0,0,0,0,0
2020-02-23,Jordan,0,0,0,0,0,0
2020-02-24,Jordan,0,0,0,0,0,0
2020-02-25,Jordan,0,0,0,0,0,0
2020-02-26,Jordan,0,0,0,0,0,0
2020-02-27,Jordan,0,0,0,0,0,0
2020-02-28,Jordan,0,0,0,0,0,0
2020-02-29,Jordan,0,0,0,0,0,0
2020-03-01,Jordan,0,0,0,0,0,0
2020-03-02,Jordan,0,0,0,0,0,0
2020-03-03,Jordan,1,0,1,0,0,0
2020-03-04,Jordan,1,0,0,0,0,0
2020-03-05,Jordan,1,0,0,0,0,0
2020-03-06,Jordan,1,0,0,0,0,0
2020-03-07,Jordan,1,0,0,0,0,0
2020-03-08,Jordan,1,0,0,0,0,0
2020-03-09,Jordan,1,0,0,0,0,0
2020-03-10,Jordan,1,0,0,0,0,0
2020-03-11,Jordan,1,0,0,0,0,0
2020-03-12,Jordan,1,0,0,0,0,0
2020-03-13,Jordan,1,0,0,0,0,0
2020-03-14,Jordan,1,0,0,0,0,0
2020-03-15,Jordan,8,0,7,0,1,0
2020-03-16,Jordan,17,0,9,0,2,0
2020-03-17,Jordan,34,0,17,0,5,0
2020-03-18,Jordan,52,0,18,0,7,0
2020-03-19,Jordan,69,0,17,0,10,0
2020-03-20,Jordan,85,0,16,0,12,0
2020-03-21,Jordan,85,0,0,0,12,0
2020-03-22,Jordan,112,0,27,0,15,0
2020-03-23,Jordan,127,0,15,0,16,0
2020-03-24,Jordan,154,0,27,0,17,0
2020-03-25,Jordan,172,0,18,0,17,0
2020-03-26,Jordan,212,0,40,0,20,0
2020-03-27,Jordan,235,1,23,1,21,0
2020-03-28,Jordan,246,1,11,0,23,0
2020-03-29,Jordan,259,3,13,2,21,0
2020-03-30,Jordan,268,5,9,2,20,1
2020-03-31,Jordan,274,5,6,0,17,1
2020-04-01,Jordan,278,5,4,0,15,1
2020-04-02,Jordan,299,5,21,0,12,1
2020-04-03,Jordan,310,5,11,0,11,1
2020-04-04,Jordan,323,5,13,0,11,1
2020-04-05,Jordan,345,5,22,0,12,0
2020-04-06,Jordan,349,6,4,1,12,0
2020-04-07,Jordan,353,6,4,0,11,0
2020-04-08,Jordan,358,6,5,0,11,0
2020-04-09,Jordan,372,7,14,1,10,0
2020-04-10,Jordan,372,7,0,0,9,0
2020-04-11,Jordan,381,7,9,0,8,0
2020-04-12,Jordan,389,7,8,0,6,0
2020-04-13,Jordan,391,7,2,0,6,0
2020-04-14,Jordan,397,7,6,0,6,0
2020-04-15,Jordan,401,7,4,0,6,0
2020-04-16,Jordan,402,7,1,0,4,0
2020-04-17,Jordan,407,7,5,0,5,0
2020-04-18,Jordan,413,7,6,0,5,0
2020-04-19,Jordan,417,7,4,0,4,0
2020-04-20,Jordan,425,7,8,0,5,0
2020-04-21,Jordan,428,7,3,0,4,0
2020-04-22,Jordan,435,7,7,0,5,0
2020-04-23,Jordan,437,7,2,0,5,0
2020-04-24,Jordan,441,7,4,0,5,0
2020-04-25,Jordan,444,7,3,0,4,0
