Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Kazakhstan,0,0,0,0,0,0
2020-01-23,Kazakhstan,0,0,0,0,0,0
2020-01-24,Kazakhstan,0,0,0,0,0,0
2020-01-25,Kazakhstan,0,0,0,0,0,0
2020-01-26,Kazakhstan,0,0,0,0,0,0
2020-01-27,Kazakhstan,0,0,0,0,0,0
2020-01-28,Kazakhstan,0,0,0,0,0,0
2020-01-29,Kazakhstan,0,0,0,0,0,0
2020-01-30,Kazakhstan,0,0,0,0,0,0
2020-01-31,Kazakhstan,0,0,0,0,0,0
2020-02-01,Kazakhstan,0,0,0,0,0,0
2020-02-02,Kazakhstan,0,0,0,0,0,0
2020-02-03,Kazakhstan,0,0,0,0,0,0
2020-02-04,Kazakhstan,0,0,0,0,0,0
2020-02-05,Kazakhstan,0,0,0,0,0,0
2020-02-06,Kazakhstan,0,0,0,0,0,0
2020-02-07,Kazakhstan,0,0,0,0,0,0
2020-02-08,Kazakhstan,0,0,0,0,0,0
2020-02-09,Kazakhstan,0,0,0,0,0,0
2020-02-10,Kazakhstan,0,0,0,0,0,0
2020-02-11,Kazakhstan,0,0,0,0,0,0
2020-02-12,Kazakhstan,0,0,0,0,0,0
2020-02-13,Kazakhstan,0,0,0,0,0,0
2020-02-14,Kazakhstan,0,0,0,0,0,0
2020-02-15,Kazakhstan,0,0,0,0,0,0
2020-02-16,Kazakhstan,0,0,0,0,0,0
2020-02-17,Kazakhstan,0,0,0,0,0,0
2020-02-18,Kazakhstan,0,0,0,0,0,0
2020-02-19,Kazakhstan,0,0,0,0,0,0
2020-02-20,Kazakhstan,0,0,0,0,0,0
2020-02-21,Kazakhstan,0,0,0,0,0,0
2020-02-22,Kazakhstan,0,0,0,0,0,0
2020-02-23,Kazakhstan,0,0,0,0,0,0
2020-02-24,Kazakhstan,0,0,0,0,0,0
2020-02-25,Kazakhstan,0,0,0,0,0,0
2020-02-26,Kazakhstan,0,0,0,0,0,0
2020-02-27,Kazakhstan,0,0,0,0,0,0
2020-02-28,Kazakhstan,0,0,0,0,0,0
2020-02-29,Kazakhstan,0,0,0,0,0,0
2020-03-01,Kazakhstan,0,0,0,0,0,0
2020-03-02,Kazakhstan,0,0,0,0,0,0
2020-03-03,Kazakhstan,0,0,0,0,0,0
2020-03-04,Kazakhstan,0,0,0,0,0,0
2020-03-05,Kazakhstan,0,0,0,0,0,0
2020-03-06,Kazakhstan,0,0,0,0,0,0
2020-03-07,Kazakhstan,0,0,0,0,0,0
2020-03-08,Kazakhstan,0,0,0,0,0,0
2020-03-09,Kazakhstan,0,0,0,0,0,0
2020-03-10,Kazakhstan,0,0,0,0,0,0
2020-03-11,Kazakhstan,0,0,0,0,0,0
2020-03-12,Kazakhstan,0,0,0,0,0,0
2020-03-13,Kazakhstan,4,0,4,0,1,0
2020-03-14,Kazakhstan,6,0,2,0,1,0
2020-03-15,Kazakhstan,9,0,3,0,1,0
2020-03-16,Kazakhstan,10,0,1,0,1,0
2020-03-17,Kazakhstan,33,0,23,0,5,0
2020-03-18,Kazakhstan,35,0,2,0,5,0
2020-03-19,Kazakhstan,44,0,9,0,6,0
2020-03-20,Kazakhstan,49,0,5,0,6,0
2020-03-21,Kazakhstan,53,0,4,0,7,0
2020-03-22,Kazakhstan,61,0,8,0,7,0
2020-03-23,Kazakhstan,62,0,1,0,7,0
2020-03-24,Kazakhstan,72,0,10,0,6,0
2020-03-25,Kazakhstan,81,0,9,0,7,0
2020-03-26,Kazakhstan,111,0,30,0,10,0
2020-03-27,Kazakhstan,150,1,39,1,14,0
2020-03-28,Kazakhstan,228,1,78,0,25,0
2020-03-29,Kazakhstan,284,1,56,0,32,0
2020-03-30,Kazakhstan,302,1,18,0,34,0
2020-03-31,Kazakhstan,343,2,41,1,39,0
2020-04-01,Kazakhstan,380,3,37,1,43,0
2020-04-02,Kazakhstan,435,3,55,0,46,0
2020-04-03,Kazakhstan,464,3,29,0,45,0
2020-04-04,Kazakhstan,531,5,67,2,43,1
2020-04-05,Kazakhstan,584,5,53,0,43,1
2020-04-06,Kazakhstan,662,6,78,1,51,1
2020-04-07,Kazakhstan,697,6,35,0,51,1
2020-04-08,Kazakhstan,727,7,30,1,50,1
2020-04-09,Kazakhstan,781,9,54,2,49,1
2020-04-10,Kazakhstan,812,10,31,1,50,1
2020-04-11,Kazakhstan,865,10,53,0,48,1
2020-04-12,Kazakhstan,951,12,86,2,52,1
2020-04-13,Kazakhstan,1091,12,140,0,61,1
