Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,"Korea, South",1,0,0,0,0,0
2020-01-23,"Korea, South",1,0,0,0,0,0
2020-01-24,"Korea, South",2,0,1,0,0,0
2020-01-25,"Korea, South",2,0,0,0,0,0
2020-01-26,"Korea, South",3,0,1,0,0,0
2020-01-27,"Korea, South",4,0,1,0,0,0
2020-01-28,"Korea, South",4,0,0,0,0,0
2020-01-29,"Korea, South",4,0,0,0,0,0
2020-01-30,"Korea, South",4,0,0,0,0,0
2020-01-31,"Korea, South",11,0,7,0,1,0
2020-02-01,"Korea, South",12,0,1,0,1,0
2020-02-02,"Korea, South",15,0,3,0,2,0
2020-02-03,"Korea, South",15,0,0,0,2,0
2020-02-04,"Korea, South",16,0,1,0,2,0
2020-02-05,"Korea, South",19,0,3,0,2,0
2020-02-06,"Korea, South",23,0,4,0,3,0
2020-02-07,"Korea, South",24,0,1,0,2,0
2020-02-08,"Korea, South",24,0,0,0,2,0
2020-02-09,"Korea, South",25,0,1,0,1,0
2020-02-10,"Korea, South",27,0,2,0,2,0
2020-02-11,"Korea, South",28,0,1,0,2,0
2020-02-12,"Korea, South",28,0,0,0,1,0
2020-02-13,"Korea, South",28,0,0,0,1,0
2020-02-14,"Korea, South",28,0,0,0,1,0
2020-02-15,"Korea, South",28,0,0,0,1,0
2020-02-16,"Korea, South",29,0,1,0,1,0
2020-02-17,"Korea, South",30,0,1,0,0,0
2020-02-18,"Korea, South",31,0,1,0,0,0
2020-02-19,"Korea, South",31,0,0,0,0,0
2020-02-20,"Korea, South",104,1,73,1,11,0
2020-02-21,"Korea, South",204,2,100,1,25,0
2020-02-22,"Korea, South",433,2,229,0,58,0
2020-02-23,"Korea, South",602,6,169,4,82,1
2020-02-24,"Korea, South",833,8,231,2,115,1
2020-02-25,"Korea, South",977,10,144,2,135,1
2020-02-26,"Korea, South",1261,12,284,2,176,2
2020-02-27,"Korea, South",1766,13,505,1,237,2
2020-02-28,"Korea, South",2337,13,571,0,305,2
2020-02-29,"Korea, South",3150,16,813,3,388,2
2020-03-01,"Korea, South",3736,17,586,1,448,2
2020-03-02,"Korea, South",4335,28,599,11,500,3
2020-03-03,"Korea, South",5186,28,851,0,601,3
2020-03-04,"Korea, South",5621,35,435,7,623,3
2020-03-05,"Korea, South",6088,35,467,0,617,3
2020-03-06,"Korea, South",6593,42,505,7,608,4
2020-03-07,"Korea, South",7041,44,448,2,556,4
2020-03-08,"Korea, South",7314,50,273,6,511,5
2020-03-09,"Korea, South",7478,53,164,3,449,4
2020-03-10,"Korea, South",7513,54,35,1,332,4
2020-03-11,"Korea, South",7755,60,242,6,305,4
2020-03-12,"Korea, South",7869,66,114,6,254,4
2020-03-13,"Korea, South",7979,66,110,0,198,3
2020-03-14,"Korea, South",8086,72,107,6,149,4
2020-03-15,"Korea, South",8162,75,76,3,121,4
2020-03-16,"Korea, South",8236,75,74,0,108,3
2020-03-17,"Korea, South",8320,81,84,6,115,4
2020-03-18,"Korea, South",8413,84,93,3,94,3
2020-03-19,"Korea, South",8565,91,152,7,99,4
2020-03-20,"Korea, South",8652,94,87,3,96,4
2020-03-21,"Korea, South",8799,102,147,8,102,4
2020-03-22,"Korea, South",8961,111,162,9,114,5
2020-03-23,"Korea, South",8961,111,0,0,104,5
2020-03-24,"Korea, South",9037,120,76,9,102,6
2020-03-25,"Korea, South",9137,126,100,6,103,6
2020-03-26,"Korea, South",9241,131,104,5,97,6
2020-03-27,"Korea, South",9332,139,91,8,97,6
2020-03-28,"Korea, South",9478,144,146,5,97,6
2020-03-29,"Korea, South",9583,152,105,8,89,6
2020-03-30,"Korea, South",9661,158,78,6,100,7
2020-03-31,"Korea, South",9786,162,125,4,107,6
2020-04-01,"Korea, South",9887,165,101,3,107,6
2020-04-02,"Korea, South",9976,169,89,4,105,5
2020-04-03,"Korea, South",10062,174,86,5,104,5
2020-04-04,"Korea, South",10156,177,94,3,97,5
2020-04-05,"Korea, South",10237,183,81,6,93,4
2020-04-06,"Korea, South",10284,186,47,3,89,4
2020-04-07,"Korea, South",10331,192,47,6,78,4
2020-04-08,"Korea, South",10384,200,53,8,71,5
2020-04-09,"Korea, South",10423,204,39,4,64,5
2020-04-10,"Korea, South",10450,208,27,4,55,5
2020-04-11,"Korea, South",10480,211,30,3,46,5
2020-04-12,"Korea, South",10512,214,32,3,39,4
2020-04-13,"Korea, South",10537,217,25,3,36,4
2020-04-14,"Korea, South",10564,222,27,5,33,4
2020-04-15,"Korea, South",10591,225,27,3,30,4
2020-04-16,"Korea, South",10613,229,22,4,27,4
2020-04-17,"Korea, South",10635,230,22,1,26,3
2020-04-18,"Korea, South",10653,232,18,2,25,3
2020-04-19,"Korea, South",10661,234,8,2,21,3
2020-04-20,"Korea, South",10674,236,13,2,20,3
2020-04-21,"Korea, South",10683,237,9,1,17,2
2020-04-22,"Korea, South",10694,238,11,1,15,2
2020-04-23,"Korea, South",10708,240,14,2,14,2
2020-04-24,"Korea, South",10718,240,10,0,12,1
2020-04-25,"Korea, South",10728,242,10,2,11,1
