Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Kosovo,0,0,0,0,0,0
2020-01-23,Kosovo,0,0,0,0,0,0
2020-01-24,Kosovo,0,0,0,0,0,0
2020-01-25,Kosovo,0,0,0,0,0,0
2020-01-26,Kosovo,0,0,0,0,0,0
2020-01-27,Kosovo,0,0,0,0,0,0
2020-01-28,Kosovo,0,0,0,0,0,0
2020-01-29,Kosovo,0,0,0,0,0,0
2020-01-30,Kosovo,0,0,0,0,0,0
2020-01-31,Kosovo,0,0,0,0,0,0
2020-02-01,Kosovo,0,0,0,0,0,0
2020-02-02,Kosovo,0,0,0,0,0,0
2020-02-03,Kosovo,0,0,0,0,0,0
2020-02-04,Kosovo,0,0,0,0,0,0
2020-02-05,Kosovo,0,0,0,0,0,0
2020-02-06,Kosovo,0,0,0,0,0,0
2020-02-07,Kosovo,0,0,0,0,0,0
2020-02-08,Kosovo,0,0,0,0,0,0
2020-02-09,Kosovo,0,0,0,0,0,0
2020-02-10,Kosovo,0,0,0,0,0,0
2020-02-11,Kosovo,0,0,0,0,0,0
2020-02-12,Kosovo,0,0,0,0,0,0
2020-02-13,Kosovo,0,0,0,0,0,0
2020-02-14,Kosovo,0,0,0,0,0,0
2020-02-15,Kosovo,0,0,0,0,0,0
2020-02-16,Kosovo,0,0,0,0,0,0
2020-02-17,Kosovo,0,0,0,0,0,0
2020-02-18,Kosovo,0,0,0,0,0,0
2020-02-19,Kosovo,0,0,0,0,0,0
2020-02-20,Kosovo,0,0,0,0,0,0
2020-02-21,Kosovo,0,0,0,0,0,0
2020-02-22,Kosovo,0,0,0,0,0,0
2020-02-23,Kosovo,0,0,0,0,0,0
2020-02-24,Kosovo,0,0,0,0,0,0
2020-02-25,Kosovo,0,0,0,0,0,0
2020-02-26,Kosovo,0,0,0,0,0,0
2020-02-27,Kosovo,0,0,0,0,0,0
2020-02-28,Kosovo,0,0,0,0,0,0
2020-02-29,Kosovo,0,0,0,0,0,0
2020-03-01,Kosovo,0,0,0,0,0,0
2020-03-02,Kosovo,0,0,0,0,0,0
2020-03-03,Kosovo,0,0,0,0,0,0
2020-03-04,Kosovo,0,0,0,0,0,0
2020-03-05,Kosovo,0,0,0,0,0,0
2020-03-06,Kosovo,0,0,0,0,0,0
2020-03-07,Kosovo,0,0,0,0,0,0
2020-03-08,Kosovo,0,0,0,0,0,0
2020-03-09,Kosovo,0,0,0,0,0,0
2020-03-10,Kosovo,0,0,0,0,0,0
2020-03-11,Kosovo,0,0,0,0,0,0
2020-03-12,Kosovo,0,0,0,0,0,0
2020-03-13,Kosovo,0,0,0,0,0,0
2020-03-14,Kosovo,2,0,2,0,0,0
2020-03-15,Kosovo,5,0,3,0,1,0
2020-03-16,Kosovo,13,0,8,0,2,0
2020-03-17,Kosovo,16,0,3,0,2,0
2020-03-18,Kosovo,19,0,3,0,3,0
2020-03-19,Kosovo,20,0,1,0,3,0
2020-03-20,Kosovo,21,0,1,0,3,0
2020-03-21,Kosovo,24,0,3,0,3,0
2020-03-22,Kosovo,31,0,7,0,4,0
2020-03-23,Kosovo,33,1,2,1,3,0
2020-03-24,Kosovo,61,1,28,0,6,0
2020-03-25,Kosovo,63,1,2,0,6,0
2020-03-26,Kosovo,71,1,8,0,7,0
2020-03-27,Kosovo,86,1,15,0,9,0
2020-03-28,Kosovo,88,1,2,0,9,0
2020-03-29,Kosovo,91,1,3,0,9,0
2020-03-30,Kosovo,94,1,3,0,9,0
2020-03-31,Kosovo,106,1,12,0,6,0
2020-04-01,Kosovo,112,1,6,0,7,0
2020-04-02,Kosovo,125,1,13,0,8,0
2020-04-03,Kosovo,126,1,1,0,6,0
2020-04-04,Kosovo,135,1,9,0,7,0
2020-04-05,Kosovo,140,1,5,0,7,0
2020-04-06,Kosovo,145,1,5,0,7,0
2020-04-07,Kosovo,165,3,20,2,8,0
2020-04-08,Kosovo,184,5,19,2,10,1
2020-04-09,Kosovo,224,6,40,1,14,1
2020-04-10,Kosovo,227,7,3,1,14,1
2020-04-11,Kosovo,250,7,23,0,16,1
2020-04-12,Kosovo,283,7,33,0,20,1
2020-04-13,Kosovo,362,7,79,0,31,1
2020-04-14,Kosovo,377,8,15,1,30,1
2020-04-15,Kosovo,387,8,10,0,29,0
2020-04-16,Kosovo,423,9,36,1,28,0
2020-04-17,Kosovo,449,11,26,2,32,1
2020-04-18,Kosovo,480,12,31,1,33,1
2020-04-19,Kosovo,510,12,30,0,32,1
2020-04-20,Kosovo,561,12,51,0,28,1
2020-04-21,Kosovo,598,15,37,3,32,1
2020-04-22,Kosovo,604,18,6,3,31,1
2020-04-23,Kosovo,630,18,26,0,30,1
2020-04-24,Kosovo,669,19,39,1,31,1
2020-04-25,Kosovo,703,19,34,0,32,1
2020-04-26,Kosovo,731,20,28,1,32,1
2020-04-27,Kosovo,763,21,32,1,29,1
2020-04-28,Kosovo,780,22,17,1,26,1
2020-04-29,Kosovo,790,22,10,0,27,1
2020-04-30,Kosovo,799,22,9,0,24,1
2020-05-01,Kosovo,806,22,7,0,20,0
2020-05-02,Kosovo,813,22,7,0,16,0
2020-05-03,Kosovo,823,22,10,0,13,0
2020-05-04,Kosovo,851,22,28,0,13,0
2020-05-05,Kosovo,855,26,4,4,11,1
2020-05-06,Kosovo,856,26,1,0,9,1
2020-05-07,Kosovo,860,26,4,0,9,1
2020-05-08,Kosovo,861,27,1,1,8,1
2020-05-09,Kosovo,862,28,1,1,7,1
2020-05-10,Kosovo,870,28,8,0,7,1
2020-05-11,Kosovo,884,28,14,0,5,1
2020-05-12,Kosovo,895,28,11,0,6,0
2020-05-13,Kosovo,919,29,24,1,9,0
2020-05-14,Kosovo,927,29,8,0,10,0
2020-05-15,Kosovo,945,29,18,0,12,0
2020-05-16,Kosovo,955,29,10,0,13,0
2020-05-17,Kosovo,978,29,23,0,15,0
2020-05-18,Kosovo,985,29,7,0,14,0
2020-05-19,Kosovo,988,29,3,0,13,0
2020-05-20,Kosovo,989,29,1,0,10,0
2020-05-21,Kosovo,1003,29,14,0,11,0
2020-05-22,Kosovo,1004,29,1,0,8,0
2020-05-23,Kosovo,1025,29,21,0,10,0
2020-05-24,Kosovo,1032,29,7,0,8,0
