Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Kuwait,0,0,0,0,0,0
2020-01-23,Kuwait,0,0,0,0,0,0
2020-01-24,Kuwait,0,0,0,0,0,0
2020-01-25,Kuwait,0,0,0,0,0,0
2020-01-26,Kuwait,0,0,0,0,0,0
2020-01-27,Kuwait,0,0,0,0,0,0
2020-01-28,Kuwait,0,0,0,0,0,0
2020-01-29,Kuwait,0,0,0,0,0,0
2020-01-30,Kuwait,0,0,0,0,0,0
2020-01-31,Kuwait,0,0,0,0,0,0
2020-02-01,Kuwait,0,0,0,0,0,0
2020-02-02,Kuwait,0,0,0,0,0,0
2020-02-03,Kuwait,0,0,0,0,0,0
2020-02-04,Kuwait,0,0,0,0,0,0
2020-02-05,Kuwait,0,0,0,0,0,0
2020-02-06,Kuwait,0,0,0,0,0,0
2020-02-07,Kuwait,0,0,0,0,0,0
2020-02-08,Kuwait,0,0,0,0,0,0
2020-02-09,Kuwait,0,0,0,0,0,0
2020-02-10,Kuwait,0,0,0,0,0,0
2020-02-11,Kuwait,0,0,0,0,0,0
2020-02-12,Kuwait,0,0,0,0,0,0
2020-02-13,Kuwait,0,0,0,0,0,0
2020-02-14,Kuwait,0,0,0,0,0,0
2020-02-15,Kuwait,0,0,0,0,0,0
2020-02-16,Kuwait,0,0,0,0,0,0
2020-02-17,Kuwait,0,0,0,0,0,0
2020-02-18,Kuwait,0,0,0,0,0,0
2020-02-19,Kuwait,0,0,0,0,0,0
2020-02-20,Kuwait,0,0,0,0,0,0
2020-02-21,Kuwait,0,0,0,0,0,0
2020-02-22,Kuwait,0,0,0,0,0,0
2020-02-23,Kuwait,0,0,0,0,0,0
2020-02-24,Kuwait,1,0,1,0,0,0
2020-02-25,Kuwait,11,0,10,0,2,0
2020-02-26,Kuwait,26,0,15,0,4,0
2020-02-27,Kuwait,43,0,17,0,6,0
2020-02-28,Kuwait,45,0,2,0,6,0
2020-02-29,Kuwait,45,0,0,0,6,0
