Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Kyrgyzstan,0,0,0,0,0,0
2020-01-23,Kyrgyzstan,0,0,0,0,0,0
2020-01-24,Kyrgyzstan,0,0,0,0,0,0
2020-01-25,Kyrgyzstan,0,0,0,0,0,0
2020-01-26,Kyrgyzstan,0,0,0,0,0,0
2020-01-27,Kyrgyzstan,0,0,0,0,0,0
2020-01-28,Kyrgyzstan,0,0,0,0,0,0
2020-01-29,Kyrgyzstan,0,0,0,0,0,0
2020-01-30,Kyrgyzstan,0,0,0,0,0,0
2020-01-31,Kyrgyzstan,0,0,0,0,0,0
2020-02-01,Kyrgyzstan,0,0,0,0,0,0
2020-02-02,Kyrgyzstan,0,0,0,0,0,0
2020-02-03,Kyrgyzstan,0,0,0,0,0,0
2020-02-04,Kyrgyzstan,0,0,0,0,0,0
2020-02-05,Kyrgyzstan,0,0,0,0,0,0
2020-02-06,Kyrgyzstan,0,0,0,0,0,0
2020-02-07,Kyrgyzstan,0,0,0,0,0,0
2020-02-08,Kyrgyzstan,0,0,0,0,0,0
2020-02-09,Kyrgyzstan,0,0,0,0,0,0
2020-02-10,Kyrgyzstan,0,0,0,0,0,0
2020-02-11,Kyrgyzstan,0,0,0,0,0,0
2020-02-12,Kyrgyzstan,0,0,0,0,0,0
2020-02-13,Kyrgyzstan,0,0,0,0,0,0
2020-02-14,Kyrgyzstan,0,0,0,0,0,0
2020-02-15,Kyrgyzstan,0,0,0,0,0,0
2020-02-16,Kyrgyzstan,0,0,0,0,0,0
2020-02-17,Kyrgyzstan,0,0,0,0,0,0
2020-02-18,Kyrgyzstan,0,0,0,0,0,0
2020-02-19,Kyrgyzstan,0,0,0,0,0,0
2020-02-20,Kyrgyzstan,0,0,0,0,0,0
2020-02-21,Kyrgyzstan,0,0,0,0,0,0
2020-02-22,Kyrgyzstan,0,0,0,0,0,0
2020-02-23,Kyrgyzstan,0,0,0,0,0,0
2020-02-24,Kyrgyzstan,0,0,0,0,0,0
2020-02-25,Kyrgyzstan,0,0,0,0,0,0
2020-02-26,Kyrgyzstan,0,0,0,0,0,0
2020-02-27,Kyrgyzstan,0,0,0,0,0,0
2020-02-28,Kyrgyzstan,0,0,0,0,0,0
2020-02-29,Kyrgyzstan,0,0,0,0,0,0
2020-03-01,Kyrgyzstan,0,0,0,0,0,0
2020-03-02,Kyrgyzstan,0,0,0,0,0,0
2020-03-03,Kyrgyzstan,0,0,0,0,0,0
2020-03-04,Kyrgyzstan,0,0,0,0,0,0
2020-03-05,Kyrgyzstan,0,0,0,0,0,0
2020-03-06,Kyrgyzstan,0,0,0,0,0,0
2020-03-07,Kyrgyzstan,0,0,0,0,0,0
2020-03-08,Kyrgyzstan,0,0,0,0,0,0
2020-03-09,Kyrgyzstan,0,0,0,0,0,0
2020-03-10,Kyrgyzstan,0,0,0,0,0,0
2020-03-11,Kyrgyzstan,0,0,0,0,0,0
2020-03-12,Kyrgyzstan,0,0,0,0,0,0
2020-03-13,Kyrgyzstan,0,0,0,0,0,0
2020-03-14,Kyrgyzstan,0,0,0,0,0,0
2020-03-15,Kyrgyzstan,0,0,0,0,0,0
2020-03-16,Kyrgyzstan,0,0,0,0,0,0
2020-03-17,Kyrgyzstan,0,0,0,0,0,0
2020-03-18,Kyrgyzstan,3,0,3,0,0,0
2020-03-19,Kyrgyzstan,3,0,0,0,0,0
2020-03-20,Kyrgyzstan,6,0,3,0,1,0
2020-03-21,Kyrgyzstan,14,0,8,0,2,0
2020-03-22,Kyrgyzstan,14,0,0,0,2,0
2020-03-23,Kyrgyzstan,16,0,2,0,2,0
2020-03-24,Kyrgyzstan,42,0,26,0,6,0
2020-03-25,Kyrgyzstan,44,0,2,0,6,0
2020-03-26,Kyrgyzstan,44,0,0,0,6,0
2020-03-27,Kyrgyzstan,58,0,14,0,7,0
2020-03-28,Kyrgyzstan,58,0,0,0,6,0
2020-03-29,Kyrgyzstan,84,0,26,0,10,0
2020-03-30,Kyrgyzstan,94,0,10,0,11,0
2020-03-31,Kyrgyzstan,107,0,13,0,9,0
2020-04-01,Kyrgyzstan,111,0,4,0,10,0
2020-04-02,Kyrgyzstan,116,0,5,0,10,0
2020-04-03,Kyrgyzstan,130,1,14,1,10,0
2020-04-04,Kyrgyzstan,144,1,14,0,12,0
2020-04-05,Kyrgyzstan,147,1,3,0,9,0
2020-04-06,Kyrgyzstan,216,4,69,3,17,1
2020-04-07,Kyrgyzstan,228,4,12,0,17,1
2020-04-08,Kyrgyzstan,270,4,42,0,23,1
2020-04-09,Kyrgyzstan,280,4,10,0,23,1
2020-04-10,Kyrgyzstan,298,5,18,1,24,1
2020-04-11,Kyrgyzstan,339,5,41,0,28,1
2020-04-12,Kyrgyzstan,377,5,38,0,33,1
2020-04-13,Kyrgyzstan,419,5,42,0,29,0
2020-04-14,Kyrgyzstan,430,5,11,0,29,0
2020-04-15,Kyrgyzstan,449,5,19,0,26,0
2020-04-16,Kyrgyzstan,466,5,17,0,27,0
2020-04-17,Kyrgyzstan,489,5,23,0,27,0
2020-04-18,Kyrgyzstan,506,5,17,0,24,0
2020-04-19,Kyrgyzstan,554,5,48,0,25,0
2020-04-20,Kyrgyzstan,568,7,14,2,21,0
2020-04-21,Kyrgyzstan,590,7,22,0,23,0
2020-04-22,Kyrgyzstan,612,7,22,0,23,0
2020-04-23,Kyrgyzstan,631,8,19,1,24,0
2020-04-24,Kyrgyzstan,665,8,34,0,25,0
2020-04-25,Kyrgyzstan,665,8,0,0,23,0
2020-04-26,Kyrgyzstan,682,8,17,0,18,0
2020-04-27,Kyrgyzstan,695,8,13,0,18,0
2020-04-28,Kyrgyzstan,708,8,13,0,17,0
2020-04-29,Kyrgyzstan,729,8,21,0,17,0
2020-04-30,Kyrgyzstan,746,8,17,0,16,0
2020-05-01,Kyrgyzstan,756,8,10,0,13,0
2020-05-02,Kyrgyzstan,769,8,13,0,15,0
2020-05-03,Kyrgyzstan,795,10,26,2,16,0
2020-05-04,Kyrgyzstan,830,10,35,0,19,0
2020-05-05,Kyrgyzstan,843,11,13,1,19,0
2020-05-06,Kyrgyzstan,871,12,28,1,20,1
2020-05-07,Kyrgyzstan,895,12,24,0,21,1
2020-05-08,Kyrgyzstan,906,12,11,0,21,1
2020-05-09,Kyrgyzstan,931,12,25,0,23,1
2020-05-10,Kyrgyzstan,1002,12,71,0,30,0
2020-05-11,Kyrgyzstan,1016,12,14,0,27,0
2020-05-12,Kyrgyzstan,1037,12,21,0,28,0
2020-05-13,Kyrgyzstan,1044,12,7,0,25,0
2020-05-14,Kyrgyzstan,1082,12,38,0,27,0
2020-05-15,Kyrgyzstan,1111,14,29,2,29,0
2020-05-16,Kyrgyzstan,1117,14,6,0,27,0
2020-05-17,Kyrgyzstan,1138,14,21,0,19,0
2020-05-18,Kyrgyzstan,1216,14,78,0,29,0
2020-05-19,Kyrgyzstan,1243,14,27,0,29,0
2020-05-20,Kyrgyzstan,1270,14,27,0,32,0
2020-05-21,Kyrgyzstan,1313,14,43,0,33,0
2020-05-22,Kyrgyzstan,1350,14,37,0,34,0
2020-05-23,Kyrgyzstan,1365,14,15,0,35,0
2020-05-24,Kyrgyzstan,1403,14,38,0,38,0
2020-05-25,Kyrgyzstan,1433,16,30,2,31,0
2020-05-26,Kyrgyzstan,1468,16,35,0,32,0
2020-05-27,Kyrgyzstan,1520,16,52,0,36,0
2020-05-28,Kyrgyzstan,1594,16,74,0,40,0
2020-05-29,Kyrgyzstan,1662,16,68,0,45,0
2020-05-30,Kyrgyzstan,1722,16,60,0,51,0
2020-05-31,Kyrgyzstan,1748,16,26,0,49,0
2020-06-01,Kyrgyzstan,1817,16,69,0,55,0
2020-06-02,Kyrgyzstan,1845,17,28,1,54,0
2020-06-03,Kyrgyzstan,1871,20,26,3,50,1
2020-06-04,Kyrgyzstan,1899,20,28,0,44,1
2020-06-05,Kyrgyzstan,1936,22,37,2,39,1
2020-06-06,Kyrgyzstan,1974,22,38,0,36,1
2020-06-07,Kyrgyzstan,2007,22,33,0,37,1
2020-06-08,Kyrgyzstan,2032,23,25,1,31,1
2020-06-09,Kyrgyzstan,2055,24,23,1,30,1
2020-06-10,Kyrgyzstan,2093,26,38,2,32,1
