Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Latvia,0,0,0,0,0,0
2020-01-23,Latvia,0,0,0,0,0,0
2020-01-24,Latvia,0,0,0,0,0,0
2020-01-25,Latvia,0,0,0,0,0,0
2020-01-26,Latvia,0,0,0,0,0,0
2020-01-27,Latvia,0,0,0,0,0,0
2020-01-28,Latvia,0,0,0,0,0,0
2020-01-29,Latvia,0,0,0,0,0,0
2020-01-30,Latvia,0,0,0,0,0,0
2020-01-31,Latvia,0,0,0,0,0,0
2020-02-01,Latvia,0,0,0,0,0,0
2020-02-02,Latvia,0,0,0,0,0,0
2020-02-03,Latvia,0,0,0,0,0,0
2020-02-04,Latvia,0,0,0,0,0,0
2020-02-05,Latvia,0,0,0,0,0,0
2020-02-06,Latvia,0,0,0,0,0,0
2020-02-07,Latvia,0,0,0,0,0,0
2020-02-08,Latvia,0,0,0,0,0,0
2020-02-09,Latvia,0,0,0,0,0,0
2020-02-10,Latvia,0,0,0,0,0,0
2020-02-11,Latvia,0,0,0,0,0,0
2020-02-12,Latvia,0,0,0,0,0,0
2020-02-13,Latvia,0,0,0,0,0,0
2020-02-14,Latvia,0,0,0,0,0,0
2020-02-15,Latvia,0,0,0,0,0,0
2020-02-16,Latvia,0,0,0,0,0,0
2020-02-17,Latvia,0,0,0,0,0,0
2020-02-18,Latvia,0,0,0,0,0,0
2020-02-19,Latvia,0,0,0,0,0,0
2020-02-20,Latvia,0,0,0,0,0,0
2020-02-21,Latvia,0,0,0,0,0,0
2020-02-22,Latvia,0,0,0,0,0,0
2020-02-23,Latvia,0,0,0,0,0,0
2020-02-24,Latvia,0,0,0,0,0,0
2020-02-25,Latvia,0,0,0,0,0,0
2020-02-26,Latvia,0,0,0,0,0,0
2020-02-27,Latvia,0,0,0,0,0,0
2020-02-28,Latvia,0,0,0,0,0,0
2020-02-29,Latvia,0,0,0,0,0,0
2020-03-01,Latvia,0,0,0,0,0,0
2020-03-02,Latvia,1,0,1,0,0,0
2020-03-03,Latvia,1,0,0,0,0,0
2020-03-04,Latvia,1,0,0,0,0,0
2020-03-05,Latvia,1,0,0,0,0,0
2020-03-06,Latvia,1,0,0,0,0,0
