Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Lebanon,0,0,0,0,0,0
2020-01-23,Lebanon,0,0,0,0,0,0
2020-01-24,Lebanon,0,0,0,0,0,0
2020-01-25,Lebanon,0,0,0,0,0,0
2020-01-26,Lebanon,0,0,0,0,0,0
2020-01-27,Lebanon,0,0,0,0,0,0
2020-01-28,Lebanon,0,0,0,0,0,0
2020-01-29,Lebanon,0,0,0,0,0,0
2020-01-30,Lebanon,0,0,0,0,0,0
2020-01-31,Lebanon,0,0,0,0,0,0
2020-02-01,Lebanon,0,0,0,0,0,0
2020-02-02,Lebanon,0,0,0,0,0,0
2020-02-03,Lebanon,0,0,0,0,0,0
2020-02-04,Lebanon,0,0,0,0,0,0
2020-02-05,Lebanon,0,0,0,0,0,0
2020-02-06,Lebanon,0,0,0,0,0,0
2020-02-07,Lebanon,0,0,0,0,0,0
2020-02-08,Lebanon,0,0,0,0,0,0
2020-02-09,Lebanon,0,0,0,0,0,0
2020-02-10,Lebanon,0,0,0,0,0,0
2020-02-11,Lebanon,0,0,0,0,0,0
2020-02-12,Lebanon,0,0,0,0,0,0
2020-02-13,Lebanon,0,0,0,0,0,0
2020-02-14,Lebanon,0,0,0,0,0,0
2020-02-15,Lebanon,0,0,0,0,0,0
2020-02-16,Lebanon,0,0,0,0,0,0
2020-02-17,Lebanon,0,0,0,0,0,0
2020-02-18,Lebanon,0,0,0,0,0,0
2020-02-19,Lebanon,0,0,0,0,0,0
2020-02-20,Lebanon,0,0,0,0,0,0
2020-02-21,Lebanon,1,0,1,0,0,0
2020-02-22,Lebanon,1,0,0,0,0,0
2020-02-23,Lebanon,1,0,0,0,0,0
2020-02-24,Lebanon,1,0,0,0,0,0
2020-02-25,Lebanon,1,0,0,0,0,0
2020-02-26,Lebanon,2,0,1,0,0,0
2020-02-27,Lebanon,2,0,0,0,0,0
2020-02-28,Lebanon,2,0,0,0,0,0
2020-02-29,Lebanon,4,0,2,0,0,0
2020-03-01,Lebanon,10,0,6,0,1,0
2020-03-02,Lebanon,13,0,3,0,2,0
2020-03-03,Lebanon,13,0,0,0,2,0
2020-03-04,Lebanon,13,0,0,0,2,0
2020-03-05,Lebanon,16,0,3,0,2,0
2020-03-06,Lebanon,22,0,6,0,3,0
2020-03-07,Lebanon,22,0,0,0,3,0
2020-03-08,Lebanon,32,0,10,0,3,0
2020-03-09,Lebanon,32,0,0,0,3,0
2020-03-10,Lebanon,41,1,9,1,4,0
2020-03-11,Lebanon,61,3,20,2,7,0
2020-03-12,Lebanon,61,3,0,0,6,0
2020-03-13,Lebanon,77,3,16,0,8,0
2020-03-14,Lebanon,93,3,16,0,10,0
2020-03-15,Lebanon,110,3,17,0,11,0
2020-03-16,Lebanon,110,3,0,0,11,0
2020-03-17,Lebanon,120,3,10,0,11,0
2020-03-18,Lebanon,133,3,13,0,10,0
2020-03-19,Lebanon,157,4,24,1,14,0
2020-03-20,Lebanon,163,4,6,0,12,0
2020-03-21,Lebanon,187,4,24,0,13,0
2020-03-22,Lebanon,248,4,61,0,20,0
2020-03-23,Lebanon,267,4,19,0,22,0
2020-03-24,Lebanon,318,4,51,0,28,0
2020-03-25,Lebanon,333,6,15,2,29,0
2020-03-26,Lebanon,368,6,35,0,30,0
2020-03-27,Lebanon,391,8,23,2,33,1
2020-03-28,Lebanon,412,8,21,0,32,1
2020-03-29,Lebanon,438,10,26,2,27,1
2020-03-30,Lebanon,446,11,8,1,26,1
2020-03-31,Lebanon,470,12,24,1,22,1
2020-04-01,Lebanon,479,14,9,2,21,1
2020-04-02,Lebanon,494,16,15,2,18,1
2020-04-03,Lebanon,508,17,14,1,17,1
2020-04-04,Lebanon,520,17,12,0,15,1
2020-04-05,Lebanon,527,18,7,1,13,1
2020-04-06,Lebanon,541,19,14,1,14,1
2020-04-07,Lebanon,548,19,7,0,11,1
2020-04-08,Lebanon,576,19,28,0,14,1
2020-04-09,Lebanon,582,19,6,0,13,0
2020-04-10,Lebanon,609,20,27,1,14,0
2020-04-11,Lebanon,619,20,10,0,14,0
2020-04-12,Lebanon,630,20,11,0,15,0
2020-04-13,Lebanon,632,20,2,0,13,0
2020-04-14,Lebanon,641,21,9,1,13,0
2020-04-15,Lebanon,658,21,17,0,12,0
2020-04-16,Lebanon,663,21,5,0,12,0
2020-04-17,Lebanon,668,21,5,0,8,0
2020-04-18,Lebanon,672,21,4,0,8,0
2020-04-19,Lebanon,673,21,1,0,6,0
2020-04-20,Lebanon,677,21,4,0,6,0
2020-04-21,Lebanon,677,21,0,0,5,0
2020-04-22,Lebanon,682,22,5,1,3,0
2020-04-23,Lebanon,688,22,6,0,4,0
2020-04-24,Lebanon,696,22,8,0,4,0
2020-04-25,Lebanon,704,24,8,2,5,0
2020-04-26,Lebanon,707,24,3,0,5,0
2020-04-27,Lebanon,710,24,3,0,5,0
2020-04-28,Lebanon,717,24,7,0,6,0
2020-04-29,Lebanon,721,24,4,0,6,0
2020-04-30,Lebanon,725,24,4,0,5,0
2020-05-01,Lebanon,729,24,4,0,5,0
2020-05-02,Lebanon,733,25,4,1,4,0
2020-05-03,Lebanon,737,25,4,0,4,0
2020-05-04,Lebanon,740,25,3,0,4,0
2020-05-05,Lebanon,741,25,1,0,3,0
2020-05-06,Lebanon,750,25,9,0,4,0
2020-05-07,Lebanon,784,25,34,0,8,0
2020-05-08,Lebanon,796,26,12,1,10,0
2020-05-09,Lebanon,809,26,13,0,11,0
2020-05-10,Lebanon,845,26,36,0,15,0
2020-05-11,Lebanon,859,26,14,0,17,0
2020-05-12,Lebanon,870,26,11,0,18,0
2020-05-13,Lebanon,878,26,8,0,18,0
2020-05-14,Lebanon,886,26,8,0,15,0
2020-05-15,Lebanon,891,26,5,0,14,0
2020-05-16,Lebanon,902,26,11,0,13,0
2020-05-17,Lebanon,911,26,9,0,9,0
2020-05-18,Lebanon,931,26,20,0,10,0
2020-05-19,Lebanon,954,26,23,0,12,0
2020-05-20,Lebanon,961,26,7,0,12,0
2020-05-21,Lebanon,1024,26,63,0,20,0
2020-05-22,Lebanon,1086,26,62,0,28,0
2020-05-23,Lebanon,1097,26,11,0,28,0
2020-05-24,Lebanon,1114,26,17,0,29,0
2020-05-25,Lebanon,1119,26,5,0,27,0
2020-05-26,Lebanon,1140,26,21,0,27,0
2020-05-27,Lebanon,1161,26,21,0,29,0
2020-05-28,Lebanon,1168,26,7,0,21,0
2020-05-29,Lebanon,1172,26,4,0,12,0
2020-05-30,Lebanon,1191,26,19,0,13,0
2020-05-31,Lebanon,1220,27,29,1,15,0
2020-06-01,Lebanon,1233,27,13,0,16,0
2020-06-02,Lebanon,1242,27,9,0,15,0
2020-06-03,Lebanon,1256,27,14,0,14,0
2020-06-04,Lebanon,1306,28,50,1,20,0
2020-06-05,Lebanon,1312,28,6,0,20,0
2020-06-06,Lebanon,1320,29,8,1,18,0
2020-06-07,Lebanon,1331,30,11,1,16,0
2020-06-08,Lebanon,1350,30,19,0,17,0
2020-06-09,Lebanon,1368,30,18,0,18,0
2020-06-10,Lebanon,1388,30,20,0,19,0
2020-06-11,Lebanon,1402,31,14,1,14,0
2020-06-12,Lebanon,1422,31,20,0,16,0
2020-06-13,Lebanon,1442,32,20,1,17,0
2020-06-14,Lebanon,1446,32,4,0,16,0
2020-06-15,Lebanon,1464,32,18,0,16,0
2020-06-16,Lebanon,1473,32,9,0,15,0
2020-06-17,Lebanon,1489,32,16,0,14,0
2020-06-18,Lebanon,1495,32,6,0,13,0
2020-06-19,Lebanon,1510,32,15,0,13,0
2020-06-20,Lebanon,1536,32,26,0,13,0
2020-06-21,Lebanon,1587,32,51,0,20,0
2020-06-22,Lebanon,1603,32,16,0,20,0
2020-06-23,Lebanon,1622,32,19,0,21,0
2020-06-24,Lebanon,1644,33,22,1,22,0
2020-06-25,Lebanon,1662,33,18,0,24,0
2020-06-26,Lebanon,1697,33,35,0,27,0
2020-06-27,Lebanon,1719,33,22,0,26,0
2020-06-28,Lebanon,1740,34,21,1,22,0
2020-06-29,Lebanon,1745,34,5,0,20,0
2020-06-30,Lebanon,1778,34,33,0,22,0
2020-07-01,Lebanon,1788,34,10,0,21,0
2020-07-02,Lebanon,1796,35,8,1,19,0
2020-07-03,Lebanon,1830,35,34,0,19,0
2020-07-04,Lebanon,1855,35,25,0,19,0
2020-07-05,Lebanon,1873,36,18,1,19,0
2020-07-06,Lebanon,1885,36,12,0,20,0
2020-07-07,Lebanon,1907,36,22,0,18,0
2020-07-08,Lebanon,1946,36,39,0,23,0
2020-07-09,Lebanon,2011,36,65,0,31,0
2020-07-10,Lebanon,2082,36,71,0,36,0
2020-07-11,Lebanon,2168,36,86,0,45,0
2020-07-12,Lebanon,2334,36,166,0,66,0
2020-07-13,Lebanon,2419,36,85,0,76,0
2020-07-14,Lebanon,2451,37,32,1,78,0
2020-07-15,Lebanon,2542,38,91,1,85,0
2020-07-16,Lebanon,2599,40,57,2,84,1
2020-07-17,Lebanon,2700,40,101,0,88,1
2020-07-18,Lebanon,2775,40,75,0,87,1
2020-07-19,Lebanon,2859,40,84,0,75,1
2020-07-20,Lebanon,2905,41,46,1,69,1
2020-07-21,Lebanon,2980,41,75,0,76,1
2020-07-22,Lebanon,3104,43,124,2,80,1
2020-07-23,Lebanon,3260,43,156,0,94,0
2020-07-24,Lebanon,3407,46,147,3,101,1
2020-07-25,Lebanon,3582,47,175,1,115,1
2020-07-26,Lebanon,3750,51,168,4,127,2
2020-07-27,Lebanon,3882,51,132,0,140,1
2020-07-28,Lebanon,4023,54,141,3,149,2
2020-07-29,Lebanon,4205,55,182,1,157,2
2020-07-30,Lebanon,4334,57,129,2,153,2
2020-07-31,Lebanon,4555,61,221,4,164,2
2020-08-01,Lebanon,4730,61,175,0,164,2
2020-08-02,Lebanon,4885,62,155,1,162,2
2020-08-03,Lebanon,5062,65,177,3,169,2
2020-08-04,Lebanon,5062,65,0,0,148,2
2020-08-05,Lebanon,5417,68,355,3,173,2
2020-08-06,Lebanon,5672,70,255,2,191,2
2020-08-07,Lebanon,5951,70,279,0,199,1
2020-08-08,Lebanon,6223,78,272,8,213,2
2020-08-09,Lebanon,6517,78,294,0,233,2
2020-08-10,Lebanon,6812,80,295,2,250,2
2020-08-11,Lebanon,7121,87,309,7,294,3
2020-08-12,Lebanon,7413,89,292,2,285,3
2020-08-13,Lebanon,7711,92,298,3,291,3
2020-08-14,Lebanon,8045,94,334,2,299,3
2020-08-15,Lebanon,8442,97,397,3,317,3
2020-08-16,Lebanon,8881,103,439,6,338,4
2020-08-17,Lebanon,9337,105,456,2,361,4
2020-08-18,Lebanon,9758,107,421,2,377,3
2020-08-19,Lebanon,10347,109,589,2,419,3
2020-08-20,Lebanon,10952,113,605,4,463,3
