Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Lesotho,0,0,0,0,0,0
2020-01-23,Lesotho,0,0,0,0,0,0
2020-01-24,Lesotho,0,0,0,0,0,0
2020-01-25,Lesotho,0,0,0,0,0,0
2020-01-26,Lesotho,0,0,0,0,0,0
2020-01-27,Lesotho,0,0,0,0,0,0
2020-01-28,Lesotho,0,0,0,0,0,0
2020-01-29,Lesotho,0,0,0,0,0,0
2020-01-30,Lesotho,0,0,0,0,0,0
2020-01-31,Lesotho,0,0,0,0,0,0
2020-02-01,Lesotho,0,0,0,0,0,0
2020-02-02,Lesotho,0,0,0,0,0,0
2020-02-03,Lesotho,0,0,0,0,0,0
2020-02-04,Lesotho,0,0,0,0,0,0
2020-02-05,Lesotho,0,0,0,0,0,0
2020-02-06,Lesotho,0,0,0,0,0,0
2020-02-07,Lesotho,0,0,0,0,0,0
2020-02-08,Lesotho,0,0,0,0,0,0
2020-02-09,Lesotho,0,0,0,0,0,0
2020-02-10,Lesotho,0,0,0,0,0,0
2020-02-11,Lesotho,0,0,0,0,0,0
2020-02-12,Lesotho,0,0,0,0,0,0
2020-02-13,Lesotho,0,0,0,0,0,0
2020-02-14,Lesotho,0,0,0,0,0,0
2020-02-15,Lesotho,0,0,0,0,0,0
2020-02-16,Lesotho,0,0,0,0,0,0
2020-02-17,Lesotho,0,0,0,0,0,0
2020-02-18,Lesotho,0,0,0,0,0,0
2020-02-19,Lesotho,0,0,0,0,0,0
2020-02-20,Lesotho,0,0,0,0,0,0
2020-02-21,Lesotho,0,0,0,0,0,0
2020-02-22,Lesotho,0,0,0,0,0,0
2020-02-23,Lesotho,0,0,0,0,0,0
2020-02-24,Lesotho,0,0,0,0,0,0
2020-02-25,Lesotho,0,0,0,0,0,0
2020-02-26,Lesotho,0,0,0,0,0,0
2020-02-27,Lesotho,0,0,0,0,0,0
2020-02-28,Lesotho,0,0,0,0,0,0
2020-02-29,Lesotho,0,0,0,0,0,0
2020-03-01,Lesotho,0,0,0,0,0,0
2020-03-02,Lesotho,0,0,0,0,0,0
