Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Liechtenstein,0,0,0,0,0,0
2020-01-23,Liechtenstein,0,0,0,0,0,0
2020-01-24,Liechtenstein,0,0,0,0,0,0
2020-01-25,Liechtenstein,0,0,0,0,0,0
2020-01-26,Liechtenstein,0,0,0,0,0,0
2020-01-27,Liechtenstein,0,0,0,0,0,0
2020-01-28,Liechtenstein,0,0,0,0,0,0
2020-01-29,Liechtenstein,0,0,0,0,0,0
2020-01-30,Liechtenstein,0,0,0,0,0,0
2020-01-31,Liechtenstein,0,0,0,0,0,0
2020-02-01,Liechtenstein,0,0,0,0,0,0
2020-02-02,Liechtenstein,0,0,0,0,0,0
2020-02-03,Liechtenstein,0,0,0,0,0,0
2020-02-04,Liechtenstein,0,0,0,0,0,0
2020-02-05,Liechtenstein,0,0,0,0,0,0
2020-02-06,Liechtenstein,0,0,0,0,0,0
2020-02-07,Liechtenstein,0,0,0,0,0,0
2020-02-08,Liechtenstein,0,0,0,0,0,0
2020-02-09,Liechtenstein,0,0,0,0,0,0
2020-02-10,Liechtenstein,0,0,0,0,0,0
2020-02-11,Liechtenstein,0,0,0,0,0,0
2020-02-12,Liechtenstein,0,0,0,0,0,0
2020-02-13,Liechtenstein,0,0,0,0,0,0
2020-02-14,Liechtenstein,0,0,0,0,0,0
2020-02-15,Liechtenstein,0,0,0,0,0,0
2020-02-16,Liechtenstein,0,0,0,0,0,0
2020-02-17,Liechtenstein,0,0,0,0,0,0
2020-02-18,Liechtenstein,0,0,0,0,0,0
2020-02-19,Liechtenstein,0,0,0,0,0,0
2020-02-20,Liechtenstein,0,0,0,0,0,0
2020-02-21,Liechtenstein,0,0,0,0,0,0
2020-02-22,Liechtenstein,0,0,0,0,0,0
2020-02-23,Liechtenstein,0,0,0,0,0,0
2020-02-24,Liechtenstein,0,0,0,0,0,0
2020-02-25,Liechtenstein,0,0,0,0,0,0
2020-02-26,Liechtenstein,0,0,0,0,0,0
2020-02-27,Liechtenstein,0,0,0,0,0,0
2020-02-28,Liechtenstein,0,0,0,0,0,0
2020-02-29,Liechtenstein,0,0,0,0,0,0
2020-03-01,Liechtenstein,0,0,0,0,0,0
2020-03-02,Liechtenstein,0,0,0,0,0,0
2020-03-03,Liechtenstein,0,0,0,0,0,0
2020-03-04,Liechtenstein,1,0,1,0,0,0
2020-03-05,Liechtenstein,1,0,0,0,0,0
2020-03-06,Liechtenstein,1,0,0,0,0,0
2020-03-07,Liechtenstein,1,0,0,0,0,0
2020-03-08,Liechtenstein,1,0,0,0,0,0
2020-03-09,Liechtenstein,1,0,0,0,0,0
2020-03-10,Liechtenstein,1,0,0,0,0,0
2020-03-11,Liechtenstein,3,0,2,0,0,0
2020-03-12,Liechtenstein,4,0,1,0,0,0
2020-03-13,Liechtenstein,5,0,1,0,1,0
2020-03-14,Liechtenstein,7,0,2,0,1,0
2020-03-15,Liechtenstein,11,0,4,0,1,0
2020-03-16,Liechtenstein,14,0,3,0,2,0
2020-03-17,Liechtenstein,19,0,5,0,3,0
2020-03-18,Liechtenstein,25,0,6,0,3,0
2020-03-19,Liechtenstein,34,0,9,0,4,0
2020-03-20,Liechtenstein,36,0,2,0,4,0
2020-03-21,Liechtenstein,44,0,8,0,5,0
2020-03-22,Liechtenstein,46,0,2,0,5,0
2020-03-23,Liechtenstein,48,0,2,0,5,0
2020-03-24,Liechtenstein,51,0,3,0,5,0
2020-03-25,Liechtenstein,53,0,2,0,4,0
2020-03-26,Liechtenstein,57,0,4,0,3,0
2020-03-27,Liechtenstein,61,0,4,0,4,0
2020-03-28,Liechtenstein,62,0,1,0,3,0
2020-03-29,Liechtenstein,63,0,1,0,2,0
2020-03-30,Liechtenstein,65,0,2,0,2,0
2020-03-31,Liechtenstein,69,0,4,0,3,0
2020-04-01,Liechtenstein,73,0,4,0,3,0
2020-04-02,Liechtenstein,76,0,3,0,3,0
2020-04-03,Liechtenstein,78,0,2,0,2,0
2020-04-04,Liechtenstein,78,1,0,1,2,0
2020-04-05,Liechtenstein,78,1,0,0,2,0
2020-04-06,Liechtenstein,78,1,0,0,2,0
2020-04-07,Liechtenstein,79,1,1,0,1,0
2020-04-08,Liechtenstein,79,1,0,0,1,0
2020-04-09,Liechtenstein,80,1,1,0,1,0
2020-04-10,Liechtenstein,80,1,0,0,0,0
