Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Luxembourg,0,0,0,0,0,0
2020-01-23,Luxembourg,0,0,0,0,0,0
2020-01-24,Luxembourg,0,0,0,0,0,0
2020-01-25,Luxembourg,0,0,0,0,0,0
2020-01-26,Luxembourg,0,0,0,0,0,0
2020-01-27,Luxembourg,0,0,0,0,0,0
2020-01-28,Luxembourg,0,0,0,0,0,0
2020-01-29,Luxembourg,0,0,0,0,0,0
2020-01-30,Luxembourg,0,0,0,0,0,0
2020-01-31,Luxembourg,0,0,0,0,0,0
2020-02-01,Luxembourg,0,0,0,0,0,0
2020-02-02,Luxembourg,0,0,0,0,0,0
2020-02-03,Luxembourg,0,0,0,0,0,0
2020-02-04,Luxembourg,0,0,0,0,0,0
2020-02-05,Luxembourg,0,0,0,0,0,0
2020-02-06,Luxembourg,0,0,0,0,0,0
2020-02-07,Luxembourg,0,0,0,0,0,0
2020-02-08,Luxembourg,0,0,0,0,0,0
2020-02-09,Luxembourg,0,0,0,0,0,0
2020-02-10,Luxembourg,0,0,0,0,0,0
2020-02-11,Luxembourg,0,0,0,0,0,0
2020-02-12,Luxembourg,0,0,0,0,0,0
2020-02-13,Luxembourg,0,0,0,0,0,0
2020-02-14,Luxembourg,0,0,0,0,0,0
2020-02-15,Luxembourg,0,0,0,0,0,0
2020-02-16,Luxembourg,0,0,0,0,0,0
2020-02-17,Luxembourg,0,0,0,0,0,0
2020-02-18,Luxembourg,0,0,0,0,0,0
2020-02-19,Luxembourg,0,0,0,0,0,0
2020-02-20,Luxembourg,0,0,0,0,0,0
2020-02-21,Luxembourg,0,0,0,0,0,0
2020-02-22,Luxembourg,0,0,0,0,0,0
2020-02-23,Luxembourg,0,0,0,0,0,0
2020-02-24,Luxembourg,0,0,0,0,0,0
2020-02-25,Luxembourg,0,0,0,0,0,0
2020-02-26,Luxembourg,0,0,0,0,0,0
2020-02-27,Luxembourg,0,0,0,0,0,0
2020-02-28,Luxembourg,0,0,0,0,0,0
2020-02-29,Luxembourg,1,0,1,0,0,0
2020-03-01,Luxembourg,1,0,0,0,0,0
2020-03-02,Luxembourg,1,0,0,0,0,0
2020-03-03,Luxembourg,1,0,0,0,0,0
2020-03-04,Luxembourg,1,0,0,0,0,0
2020-03-05,Luxembourg,1,0,0,0,0,0
2020-03-06,Luxembourg,2,0,1,0,0,0
2020-03-07,Luxembourg,2,0,0,0,0,0
2020-03-08,Luxembourg,3,0,1,0,0,0
2020-03-09,Luxembourg,3,0,0,0,0,0
2020-03-10,Luxembourg,5,0,2,0,1,0
2020-03-11,Luxembourg,7,0,2,0,1,0
2020-03-12,Luxembourg,19,0,12,0,3,0
2020-03-13,Luxembourg,34,0,15,0,5,0
2020-03-14,Luxembourg,51,1,17,1,7,0
2020-03-15,Luxembourg,59,1,8,0,8,0
2020-03-16,Luxembourg,77,1,18,0,11,0
2020-03-17,Luxembourg,140,1,63,0,19,0
2020-03-18,Luxembourg,203,2,63,1,28,0
2020-03-19,Luxembourg,335,4,132,2,45,1
2020-03-20,Luxembourg,484,4,149,0,64,1
2020-03-21,Luxembourg,670,8,186,4,88,1
2020-03-22,Luxembourg,798,8,128,0,106,1
2020-03-23,Luxembourg,875,8,77,0,114,1
2020-03-24,Luxembourg,1099,8,224,0,137,1
2020-03-25,Luxembourg,1333,8,234,0,161,1
2020-03-26,Luxembourg,1453,9,120,1,160,1
2020-03-27,Luxembourg,1605,15,152,6,160,2
2020-03-28,Luxembourg,1831,18,226,3,166,1
2020-03-29,Luxembourg,1950,21,119,3,165,2
2020-03-30,Luxembourg,1988,22,38,1,159,2
2020-03-31,Luxembourg,2178,23,190,1,154,2
2020-04-01,Luxembourg,2319,29,141,6,141,3
2020-04-02,Luxembourg,2487,30,168,1,148,3
2020-04-03,Luxembourg,2612,31,125,1,144,2
2020-04-04,Luxembourg,2729,31,117,0,128,2
2020-04-05,Luxembourg,2804,36,75,5,122,2
2020-04-06,Luxembourg,2843,41,39,5,122,3
2020-04-07,Luxembourg,2970,44,127,3,113,3
2020-04-08,Luxembourg,3034,46,64,2,102,2
2020-04-09,Luxembourg,3115,52,81,6,90,3
2020-04-10,Luxembourg,3223,54,108,2,87,3
2020-04-11,Luxembourg,3270,62,47,8,77,4
2020-04-12,Luxembourg,3281,66,11,4,68,4
2020-04-13,Luxembourg,3292,69,11,3,64,4
2020-04-14,Luxembourg,3307,67,15,-2,48,3
2020-04-15,Luxembourg,3373,69,66,2,48,3
2020-04-16,Luxembourg,3444,69,71,0,47,2
2020-04-17,Luxembourg,3480,72,36,3,37,3
2020-04-18,Luxembourg,3537,72,57,0,38,1
2020-04-19,Luxembourg,3550,73,13,1,38,1
2020-04-20,Luxembourg,3558,75,8,2,38,1
2020-04-21,Luxembourg,3618,78,60,3,44,2
2020-04-22,Luxembourg,3654,80,36,2,40,2
2020-04-23,Luxembourg,3665,83,11,3,32,2
2020-04-24,Luxembourg,3695,85,30,2,31,2
2020-04-25,Luxembourg,3711,85,16,0,25,2
2020-04-26,Luxembourg,3723,88,12,3,25,2
2020-04-27,Luxembourg,3729,88,6,0,24,2
2020-04-28,Luxembourg,3741,89,12,1,18,2
2020-04-29,Luxembourg,3769,89,28,0,16,1
2020-04-30,Luxembourg,3784,90,15,1,17,1
2020-05-01,Luxembourg,3802,92,18,2,15,1
2020-05-02,Luxembourg,3812,92,10,0,14,1
2020-05-03,Luxembourg,3824,96,12,4,14,1
2020-05-04,Luxembourg,3828,96,4,0,14,1
2020-05-05,Luxembourg,3840,96,12,0,14,1
2020-05-06,Luxembourg,3851,98,11,2,12,1
2020-05-07,Luxembourg,3859,100,8,2,11,1
2020-05-08,Luxembourg,3871,100,12,0,10,1
2020-05-09,Luxembourg,3877,101,6,1,9,1
2020-05-10,Luxembourg,3886,101,9,0,9,1
2020-05-11,Luxembourg,3888,101,2,0,9,1
2020-05-12,Luxembourg,3894,102,6,1,8,1
2020-05-13,Luxembourg,3904,103,10,1,8,1
2020-05-14,Luxembourg,3915,103,11,0,8,0
2020-05-15,Luxembourg,3923,104,8,1,7,1
2020-05-16,Luxembourg,3930,104,7,0,8,0
2020-05-17,Luxembourg,3945,107,15,3,8,1
2020-05-18,Luxembourg,3947,107,2,0,8,1
2020-05-19,Luxembourg,3958,109,11,2,9,1
2020-05-20,Luxembourg,3971,109,13,0,10,1
2020-05-21,Luxembourg,3980,109,9,0,9,1
2020-05-22,Luxembourg,3981,109,1,0,8,1
2020-05-23,Luxembourg,3990,109,9,0,9,1
