Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Malawi,0,0,0,0,0,0
2020-01-23,Malawi,0,0,0,0,0,0
2020-01-24,Malawi,0,0,0,0,0,0
2020-01-25,Malawi,0,0,0,0,0,0
2020-01-26,Malawi,0,0,0,0,0,0
2020-01-27,Malawi,0,0,0,0,0,0
2020-01-28,Malawi,0,0,0,0,0,0
2020-01-29,Malawi,0,0,0,0,0,0
2020-01-30,Malawi,0,0,0,0,0,0
2020-01-31,Malawi,0,0,0,0,0,0
2020-02-01,Malawi,0,0,0,0,0,0
2020-02-02,Malawi,0,0,0,0,0,0
2020-02-03,Malawi,0,0,0,0,0,0
2020-02-04,Malawi,0,0,0,0,0,0
2020-02-05,Malawi,0,0,0,0,0,0
2020-02-06,Malawi,0,0,0,0,0,0
2020-02-07,Malawi,0,0,0,0,0,0
2020-02-08,Malawi,0,0,0,0,0,0
2020-02-09,Malawi,0,0,0,0,0,0
2020-02-10,Malawi,0,0,0,0,0,0
2020-02-11,Malawi,0,0,0,0,0,0
2020-02-12,Malawi,0,0,0,0,0,0
2020-02-13,Malawi,0,0,0,0,0,0
2020-02-14,Malawi,0,0,0,0,0,0
2020-02-15,Malawi,0,0,0,0,0,0
2020-02-16,Malawi,0,0,0,0,0,0
2020-02-17,Malawi,0,0,0,0,0,0
2020-02-18,Malawi,0,0,0,0,0,0
2020-02-19,Malawi,0,0,0,0,0,0
2020-02-20,Malawi,0,0,0,0,0,0
2020-02-21,Malawi,0,0,0,0,0,0
2020-02-22,Malawi,0,0,0,0,0,0
2020-02-23,Malawi,0,0,0,0,0,0
2020-02-24,Malawi,0,0,0,0,0,0
2020-02-25,Malawi,0,0,0,0,0,0
2020-02-26,Malawi,0,0,0,0,0,0
2020-02-27,Malawi,0,0,0,0,0,0
2020-02-28,Malawi,0,0,0,0,0,0
2020-02-29,Malawi,0,0,0,0,0,0
2020-03-01,Malawi,0,0,0,0,0,0
2020-03-02,Malawi,0,0,0,0,0,0
2020-03-03,Malawi,0,0,0,0,0,0
2020-03-04,Malawi,0,0,0,0,0,0
2020-03-05,Malawi,0,0,0,0,0,0
2020-03-06,Malawi,0,0,0,0,0,0
2020-03-07,Malawi,0,0,0,0,0,0
2020-03-08,Malawi,0,0,0,0,0,0
2020-03-09,Malawi,0,0,0,0,0,0
2020-03-10,Malawi,0,0,0,0,0,0
2020-03-11,Malawi,0,0,0,0,0,0
2020-03-12,Malawi,0,0,0,0,0,0
2020-03-13,Malawi,0,0,0,0,0,0
2020-03-14,Malawi,0,0,0,0,0,0
2020-03-15,Malawi,0,0,0,0,0,0
2020-03-16,Malawi,0,0,0,0,0,0
2020-03-17,Malawi,0,0,0,0,0,0
2020-03-18,Malawi,0,0,0,0,0,0
2020-03-19,Malawi,0,0,0,0,0,0
2020-03-20,Malawi,0,0,0,0,0,0
2020-03-21,Malawi,0,0,0,0,0,0
2020-03-22,Malawi,0,0,0,0,0,0
2020-03-23,Malawi,0,0,0,0,0,0
2020-03-24,Malawi,0,0,0,0,0,0
2020-03-25,Malawi,0,0,0,0,0,0
2020-03-26,Malawi,0,0,0,0,0,0
