Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Malaysia,0,0,0,0,0,0
2020-01-23,Malaysia,0,0,0,0,0,0
2020-01-24,Malaysia,0,0,0,0,0,0
2020-01-25,Malaysia,4,0,4,0,0,0
2020-01-26,Malaysia,4,0,0,0,0,0
2020-01-27,Malaysia,4,0,0,0,0,0
2020-01-28,Malaysia,4,0,0,0,1,0
2020-01-29,Malaysia,7,0,3,0,1,0
2020-01-30,Malaysia,8,0,1,0,1,0
2020-01-31,Malaysia,8,0,0,0,1,0
2020-02-01,Malaysia,8,0,0,0,1,0
2020-02-02,Malaysia,8,0,0,0,1,0
2020-02-03,Malaysia,8,0,0,0,1,0
2020-02-04,Malaysia,10,0,2,0,1,0
2020-02-05,Malaysia,12,0,2,0,1,0
2020-02-06,Malaysia,14,0,2,0,1,0
2020-02-07,Malaysia,15,0,1,0,1,0
2020-02-08,Malaysia,16,0,1,0,1,0
2020-02-09,Malaysia,17,0,1,0,1,0
2020-02-10,Malaysia,18,0,1,0,1,0
2020-02-11,Malaysia,18,0,0,0,1,0
2020-02-12,Malaysia,18,0,0,0,1,0
2020-02-13,Malaysia,18,0,0,0,1,0
2020-02-14,Malaysia,19,0,1,0,1,0
2020-02-15,Malaysia,22,0,3,0,1,0
2020-02-16,Malaysia,22,0,0,0,1,0
2020-02-17,Malaysia,22,0,0,0,1,0
2020-02-18,Malaysia,22,0,0,0,1,0
2020-02-19,Malaysia,22,0,0,0,1,0
2020-02-20,Malaysia,22,0,0,0,1,0
2020-02-21,Malaysia,22,0,0,0,0,0
2020-02-22,Malaysia,22,0,0,0,0,0
2020-02-23,Malaysia,22,0,0,0,0,0
2020-02-24,Malaysia,22,0,0,0,0,0
2020-02-25,Malaysia,22,0,0,0,0,0
2020-02-26,Malaysia,22,0,0,0,0,0
2020-02-27,Malaysia,23,0,1,0,0,0
2020-02-28,Malaysia,25,0,2,0,0,0
2020-02-29,Malaysia,29,0,4,0,1,0
2020-03-01,Malaysia,29,0,0,0,1,0
2020-03-02,Malaysia,29,0,0,0,1,0
2020-03-03,Malaysia,36,0,7,0,2,0
2020-03-04,Malaysia,50,0,14,0,4,0
2020-03-05,Malaysia,55,0,5,0,5,0
2020-03-06,Malaysia,83,0,28,0,8,0
2020-03-07,Malaysia,93,0,10,0,9,0
2020-03-08,Malaysia,99,0,6,0,10,0
2020-03-09,Malaysia,117,0,18,0,13,0
2020-03-10,Malaysia,129,0,12,0,13,0
2020-03-11,Malaysia,149,0,20,0,14,0
2020-03-12,Malaysia,158,0,9,0,15,0
2020-03-13,Malaysia,197,0,39,0,16,0
2020-03-14,Malaysia,238,0,41,0,21,0
2020-03-15,Malaysia,428,0,190,0,47,0
2020-03-16,Malaysia,553,0,125,0,62,0
