Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Maldives,0,0,0,0,0,0
2020-01-23,Maldives,0,0,0,0,0,0
2020-01-24,Maldives,0,0,0,0,0,0
2020-01-25,Maldives,0,0,0,0,0,0
2020-01-26,Maldives,0,0,0,0,0,0
2020-01-27,Maldives,0,0,0,0,0,0
2020-01-28,Maldives,0,0,0,0,0,0
2020-01-29,Maldives,0,0,0,0,0,0
2020-01-30,Maldives,0,0,0,0,0,0
2020-01-31,Maldives,0,0,0,0,0,0
2020-02-01,Maldives,0,0,0,0,0,0
2020-02-02,Maldives,0,0,0,0,0,0
2020-02-03,Maldives,0,0,0,0,0,0
2020-02-04,Maldives,0,0,0,0,0,0
2020-02-05,Maldives,0,0,0,0,0,0
2020-02-06,Maldives,0,0,0,0,0,0
2020-02-07,Maldives,0,0,0,0,0,0
2020-02-08,Maldives,0,0,0,0,0,0
2020-02-09,Maldives,0,0,0,0,0,0
2020-02-10,Maldives,0,0,0,0,0,0
2020-02-11,Maldives,0,0,0,0,0,0
2020-02-12,Maldives,0,0,0,0,0,0
2020-02-13,Maldives,0,0,0,0,0,0
2020-02-14,Maldives,0,0,0,0,0,0
2020-02-15,Maldives,0,0,0,0,0,0
2020-02-16,Maldives,0,0,0,0,0,0
2020-02-17,Maldives,0,0,0,0,0,0
2020-02-18,Maldives,0,0,0,0,0,0
2020-02-19,Maldives,0,0,0,0,0,0
2020-02-20,Maldives,0,0,0,0,0,0
2020-02-21,Maldives,0,0,0,0,0,0
2020-02-22,Maldives,0,0,0,0,0,0
2020-02-23,Maldives,0,0,0,0,0,0
2020-02-24,Maldives,0,0,0,0,0,0
2020-02-25,Maldives,0,0,0,0,0,0
2020-02-26,Maldives,0,0,0,0,0,0
2020-02-27,Maldives,0,0,0,0,0,0
2020-02-28,Maldives,0,0,0,0,0,0
2020-02-29,Maldives,0,0,0,0,0,0
2020-03-01,Maldives,0,0,0,0,0,0
2020-03-02,Maldives,0,0,0,0,0,0
2020-03-03,Maldives,0,0,0,0,0,0
2020-03-04,Maldives,0,0,0,0,0,0
2020-03-05,Maldives,0,0,0,0,0,0
2020-03-06,Maldives,0,0,0,0,0,0
2020-03-07,Maldives,0,0,0,0,0,0
2020-03-08,Maldives,4,0,4,0,1,0
2020-03-09,Maldives,4,0,0,0,1,0
2020-03-10,Maldives,6,0,2,0,1,0
2020-03-11,Maldives,8,0,2,0,1,0
2020-03-12,Maldives,8,0,0,0,1,0
2020-03-13,Maldives,9,0,1,0,1,0
2020-03-14,Maldives,10,0,1,0,1,0
2020-03-15,Maldives,13,0,3,0,1,0
2020-03-16,Maldives,13,0,0,0,1,0
2020-03-17,Maldives,13,0,0,0,1,0
2020-03-18,Maldives,13,0,0,0,1,0
2020-03-19,Maldives,13,0,0,0,1,0
2020-03-20,Maldives,13,0,0,0,1,0
2020-03-21,Maldives,13,0,0,0,0,0
2020-03-22,Maldives,13,0,0,0,0,0
2020-03-23,Maldives,13,0,0,0,0,0
2020-03-24,Maldives,13,0,0,0,0,0
2020-03-25,Maldives,13,0,0,0,0,0
2020-03-26,Maldives,13,0,0,0,0,0
2020-03-27,Maldives,16,0,3,0,0,0
2020-03-28,Maldives,16,0,0,0,0,0
2020-03-29,Maldives,17,0,1,0,1,0
2020-03-30,Maldives,17,0,0,0,1,0
2020-03-31,Maldives,18,0,1,0,1,0
2020-04-01,Maldives,19,0,1,0,1,0
