Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Mali,0,0,0,0,0,0
2020-01-23,Mali,0,0,0,0,0,0
2020-01-24,Mali,0,0,0,0,0,0
2020-01-25,Mali,0,0,0,0,0,0
2020-01-26,Mali,0,0,0,0,0,0
2020-01-27,Mali,0,0,0,0,0,0
2020-01-28,Mali,0,0,0,0,0,0
2020-01-29,Mali,0,0,0,0,0,0
2020-01-30,Mali,0,0,0,0,0,0
2020-01-31,Mali,0,0,0,0,0,0
2020-02-01,Mali,0,0,0,0,0,0
2020-02-02,Mali,0,0,0,0,0,0
2020-02-03,Mali,0,0,0,0,0,0
2020-02-04,Mali,0,0,0,0,0,0
2020-02-05,Mali,0,0,0,0,0,0
2020-02-06,Mali,0,0,0,0,0,0
2020-02-07,Mali,0,0,0,0,0,0
2020-02-08,Mali,0,0,0,0,0,0
2020-02-09,Mali,0,0,0,0,0,0
2020-02-10,Mali,0,0,0,0,0,0
2020-02-11,Mali,0,0,0,0,0,0
2020-02-12,Mali,0,0,0,0,0,0
2020-02-13,Mali,0,0,0,0,0,0
2020-02-14,Mali,0,0,0,0,0,0
2020-02-15,Mali,0,0,0,0,0,0
2020-02-16,Mali,0,0,0,0,0,0
2020-02-17,Mali,0,0,0,0,0,0
2020-02-18,Mali,0,0,0,0,0,0
2020-02-19,Mali,0,0,0,0,0,0
2020-02-20,Mali,0,0,0,0,0,0
2020-02-21,Mali,0,0,0,0,0,0
2020-02-22,Mali,0,0,0,0,0,0
2020-02-23,Mali,0,0,0,0,0,0
2020-02-24,Mali,0,0,0,0,0,0
2020-02-25,Mali,0,0,0,0,0,0
2020-02-26,Mali,0,0,0,0,0,0
2020-02-27,Mali,0,0,0,0,0,0
2020-02-28,Mali,0,0,0,0,0,0
2020-02-29,Mali,0,0,0,0,0,0
2020-03-01,Mali,0,0,0,0,0,0
2020-03-02,Mali,0,0,0,0,0,0
2020-03-03,Mali,0,0,0,0,0,0
2020-03-04,Mali,0,0,0,0,0,0
2020-03-05,Mali,0,0,0,0,0,0
2020-03-06,Mali,0,0,0,0,0,0
2020-03-07,Mali,0,0,0,0,0,0
2020-03-08,Mali,0,0,0,0,0,0
2020-03-09,Mali,0,0,0,0,0,0
2020-03-10,Mali,0,0,0,0,0,0
2020-03-11,Mali,0,0,0,0,0,0
2020-03-12,Mali,0,0,0,0,0,0
2020-03-13,Mali,0,0,0,0,0,0
2020-03-14,Mali,0,0,0,0,0,0
2020-03-15,Mali,0,0,0,0,0,0
2020-03-16,Mali,0,0,0,0,0,0
2020-03-17,Mali,0,0,0,0,0,0
2020-03-18,Mali,0,0,0,0,0,0
2020-03-19,Mali,0,0,0,0,0,0
2020-03-20,Mali,0,0,0,0,0,0
2020-03-21,Mali,0,0,0,0,0,0
2020-03-22,Mali,0,0,0,0,0,0
2020-03-23,Mali,0,0,0,0,0,0
2020-03-24,Mali,0,0,0,0,0,0
2020-03-25,Mali,2,0,2,0,0,0
2020-03-26,Mali,4,0,2,0,1,0
2020-03-27,Mali,11,0,7,0,2,0
2020-03-28,Mali,18,0,7,0,3,0
2020-03-29,Mali,18,1,0,1,3,0
2020-03-30,Mali,25,2,7,1,4,0
2020-03-31,Mali,28,2,3,0,4,0
2020-04-01,Mali,31,3,3,1,4,0
2020-04-02,Mali,36,3,5,0,5,0
2020-04-03,Mali,39,3,3,0,4,0
2020-04-04,Mali,41,3,2,0,3,0
2020-04-05,Mali,45,5,4,2,4,1
2020-04-06,Mali,47,5,2,0,3,0
2020-04-07,Mali,56,5,9,0,4,0
2020-04-08,Mali,59,7,3,2,4,1
2020-04-09,Mali,74,7,15,0,5,1
2020-04-10,Mali,87,7,13,0,7,1
2020-04-11,Mali,87,7,0,0,7,1
2020-04-12,Mali,105,9,18,2,9,1
2020-04-13,Mali,123,10,18,1,11,1
2020-04-14,Mali,144,13,21,3,13,1
2020-04-15,Mali,148,13,4,0,13,1
2020-04-16,Mali,171,13,23,0,14,1
2020-04-17,Mali,171,13,0,0,12,1
2020-04-18,Mali,216,13,45,0,18,1
2020-04-19,Mali,224,14,8,1,17,1
2020-04-20,Mali,246,14,22,0,18,1
2020-04-21,Mali,258,14,12,0,16,0
2020-04-22,Mali,293,17,35,3,21,1
2020-04-23,Mali,309,21,16,4,20,1
2020-04-24,Mali,325,21,16,0,22,1
2020-04-25,Mali,370,21,45,0,22,1
2020-04-26,Mali,389,23,19,2,24,1
2020-04-27,Mali,408,23,19,0,23,1
2020-04-28,Mali,424,24,16,1,24,1
2020-04-29,Mali,482,25,58,1,27,1
2020-04-30,Mali,490,26,8,1,26,1
2020-05-01,Mali,508,26,18,0,26,1
2020-05-02,Mali,544,26,36,0,25,1
2020-05-03,Mali,563,27,19,1,25,1
2020-05-04,Mali,580,29,17,2,25,1
2020-05-05,Mali,612,32,32,3,27,1
2020-05-06,Mali,631,32,19,0,21,1
2020-05-07,Mali,650,32,19,0,23,1
2020-05-08,Mali,668,35,18,3,23,1
2020-05-09,Mali,692,37,24,2,21,2
2020-05-10,Mali,704,38,12,1,20,2
