Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Malta,0,0,0,0,0,0
2020-01-23,Malta,0,0,0,0,0,0
2020-01-24,Malta,0,0,0,0,0,0
2020-01-25,Malta,0,0,0,0,0,0
2020-01-26,Malta,0,0,0,0,0,0
2020-01-27,Malta,0,0,0,0,0,0
2020-01-28,Malta,0,0,0,0,0,0
2020-01-29,Malta,0,0,0,0,0,0
2020-01-30,Malta,0,0,0,0,0,0
2020-01-31,Malta,0,0,0,0,0,0
2020-02-01,Malta,0,0,0,0,0,0
2020-02-02,Malta,0,0,0,0,0,0
2020-02-03,Malta,0,0,0,0,0,0
2020-02-04,Malta,0,0,0,0,0,0
2020-02-05,Malta,0,0,0,0,0,0
2020-02-06,Malta,0,0,0,0,0,0
2020-02-07,Malta,0,0,0,0,0,0
2020-02-08,Malta,0,0,0,0,0,0
2020-02-09,Malta,0,0,0,0,0,0
2020-02-10,Malta,0,0,0,0,0,0
2020-02-11,Malta,0,0,0,0,0,0
2020-02-12,Malta,0,0,0,0,0,0
2020-02-13,Malta,0,0,0,0,0,0
2020-02-14,Malta,0,0,0,0,0,0
2020-02-15,Malta,0,0,0,0,0,0
2020-02-16,Malta,0,0,0,0,0,0
2020-02-17,Malta,0,0,0,0,0,0
2020-02-18,Malta,0,0,0,0,0,0
2020-02-19,Malta,0,0,0,0,0,0
2020-02-20,Malta,0,0,0,0,0,0
2020-02-21,Malta,0,0,0,0,0,0
2020-02-22,Malta,0,0,0,0,0,0
2020-02-23,Malta,0,0,0,0,0,0
2020-02-24,Malta,0,0,0,0,0,0
2020-02-25,Malta,0,0,0,0,0,0
2020-02-26,Malta,0,0,0,0,0,0
2020-02-27,Malta,0,0,0,0,0,0
2020-02-28,Malta,0,0,0,0,0,0
2020-02-29,Malta,0,0,0,0,0,0
2020-03-01,Malta,0,0,0,0,0,0
2020-03-02,Malta,0,0,0,0,0,0
2020-03-03,Malta,0,0,0,0,0,0
2020-03-04,Malta,0,0,0,0,0,0
2020-03-05,Malta,0,0,0,0,0,0
2020-03-06,Malta,0,0,0,0,0,0
2020-03-07,Malta,3,0,3,0,0,0
2020-03-08,Malta,3,0,0,0,0,0
2020-03-09,Malta,3,0,0,0,0,0
2020-03-10,Malta,5,0,2,0,1,0
2020-03-11,Malta,6,0,1,0,1,0
2020-03-12,Malta,6,0,0,0,1,0
2020-03-13,Malta,12,0,6,0,2,0
2020-03-14,Malta,18,0,6,0,2,0
2020-03-15,Malta,21,0,3,0,3,0
2020-03-16,Malta,30,0,9,0,4,0
2020-03-17,Malta,38,0,8,0,5,0
2020-03-18,Malta,38,0,0,0,5,0
2020-03-19,Malta,53,0,15,0,7,0
2020-03-20,Malta,64,0,11,0,7,0
2020-03-21,Malta,73,0,9,0,8,0
2020-03-22,Malta,90,0,17,0,10,0
2020-03-23,Malta,107,0,17,0,11,0
2020-03-24,Malta,110,0,3,0,10,0
2020-03-25,Malta,129,0,19,0,13,0
2020-03-26,Malta,134,0,5,0,12,0
2020-03-27,Malta,139,0,5,0,11,0
2020-03-28,Malta,149,0,10,0,11,0
2020-03-29,Malta,151,0,2,0,9,0
2020-03-30,Malta,156,0,5,0,7,0
2020-03-31,Malta,169,0,13,0,8,0
2020-04-01,Malta,188,0,19,0,8,0
2020-04-02,Malta,196,0,8,0,9,0
2020-04-03,Malta,202,0,6,0,9,0
2020-04-04,Malta,213,0,11,0,9,0
2020-04-05,Malta,227,0,14,0,11,0
2020-04-06,Malta,241,0,14,0,12,0
2020-04-07,Malta,293,0,52,0,18,0
2020-04-08,Malta,299,1,6,1,16,0
2020-04-09,Malta,337,2,38,1,20,0
2020-04-10,Malta,350,2,13,0,21,0
2020-04-11,Malta,370,3,20,1,22,0
2020-04-12,Malta,378,3,8,0,22,0
2020-04-13,Malta,384,3,6,0,20,0
2020-04-14,Malta,393,3,9,0,14,0
2020-04-15,Malta,399,3,6,0,14,0
2020-04-16,Malta,412,3,13,0,11,0
2020-04-17,Malta,422,3,10,0,10,0
2020-04-18,Malta,426,3,4,0,8,0
2020-04-19,Malta,427,3,1,0,7,0
2020-04-20,Malta,431,3,4,0,7,0
2020-04-21,Malta,443,3,12,0,7,0
2020-04-22,Malta,444,3,1,0,6,0
2020-04-23,Malta,445,3,1,0,5,0
2020-04-24,Malta,447,3,2,0,4,0
2020-04-25,Malta,448,4,1,1,3,0
2020-04-26,Malta,448,4,0,0,3,0
2020-04-27,Malta,450,4,2,0,3,0
2020-04-28,Malta,458,4,8,0,2,0
2020-04-29,Malta,463,4,5,0,3,0
2020-04-30,Malta,465,4,2,0,3,0
2020-05-01,Malta,467,4,2,0,3,0
2020-05-02,Malta,468,4,1,0,3,0
2020-05-03,Malta,477,4,9,0,4,0
2020-05-04,Malta,480,4,3,0,4,0
2020-05-05,Malta,482,5,2,1,3,0
2020-05-06,Malta,484,5,2,0,3,0
2020-05-07,Malta,486,5,2,0,3,0
2020-05-08,Malta,489,5,3,0,3,0
2020-05-09,Malta,490,5,1,0,3,0
2020-05-10,Malta,496,5,6,0,3,0
2020-05-11,Malta,503,5,7,0,3,0
2020-05-12,Malta,506,5,3,0,3,0
2020-05-13,Malta,508,6,2,1,3,0
2020-05-14,Malta,522,6,14,0,5,0
2020-05-15,Malta,532,6,10,0,6,0
2020-05-16,Malta,546,6,14,0,8,0
2020-05-17,Malta,553,6,7,0,8,0
2020-05-18,Malta,558,6,5,0,8,0
2020-05-19,Malta,569,6,11,0,9,0
2020-05-20,Malta,584,6,15,0,11,0
2020-05-21,Malta,599,6,15,0,11,0
2020-05-22,Malta,600,6,1,0,10,0
2020-05-23,Malta,609,6,9,0,9,0
2020-05-24,Malta,610,6,1,0,8,0
2020-05-25,Malta,611,6,1,0,8,0
2020-05-26,Malta,611,6,0,0,6,0
2020-05-27,Malta,612,7,1,1,4,0
2020-05-28,Malta,616,7,4,0,2,0
2020-05-29,Malta,616,9,0,2,2,0
2020-05-30,Malta,618,9,2,0,1,0
2020-05-31,Malta,618,9,0,0,1,0
2020-06-01,Malta,619,9,1,0,1,0
2020-06-02,Malta,620,9,1,0,1,0
2020-06-03,Malta,622,9,2,0,1,0
2020-06-04,Malta,622,9,0,0,1,0
2020-06-05,Malta,625,9,3,0,1,0
2020-06-06,Malta,627,9,2,0,1,0
2020-06-07,Malta,629,9,2,0,2,0
2020-06-08,Malta,630,9,1,0,2,0
2020-06-09,Malta,632,9,2,0,2,0
2020-06-10,Malta,635,9,3,0,2,0
2020-06-11,Malta,640,9,5,0,3,0
2020-06-12,Malta,645,9,5,0,3,0
2020-06-13,Malta,646,9,1,0,3,0
2020-06-14,Malta,649,9,3,0,3,0
2020-06-15,Malta,650,9,1,0,3,0
2020-06-16,Malta,656,9,6,0,3,0
2020-06-17,Malta,662,9,6,0,4,0
2020-06-18,Malta,663,9,1,0,3,0
2020-06-19,Malta,663,9,0,0,3,0
2020-06-20,Malta,664,9,1,0,3,0
2020-06-21,Malta,665,9,1,0,2,0
2020-06-22,Malta,665,9,0,0,2,0
2020-06-23,Malta,665,9,0,0,1,0
2020-06-24,Malta,665,9,0,0,0,0
2020-06-25,Malta,668,9,3,0,1,0
2020-06-26,Malta,670,9,2,0,1,0
2020-06-27,Malta,670,9,0,0,1,0
2020-06-28,Malta,670,9,0,0,1,0
2020-06-29,Malta,670,9,0,0,1,0
2020-06-30,Malta,670,9,0,0,1,0
2020-07-01,Malta,671,9,1,0,1,0
2020-07-02,Malta,671,9,0,0,0,0
2020-07-03,Malta,672,9,1,0,0,0
