Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Mauritania,0,0,0,0,0,0
2020-01-23,Mauritania,0,0,0,0,0,0
2020-01-24,Mauritania,0,0,0,0,0,0
2020-01-25,Mauritania,0,0,0,0,0,0
2020-01-26,Mauritania,0,0,0,0,0,0
2020-01-27,Mauritania,0,0,0,0,0,0
2020-01-28,Mauritania,0,0,0,0,0,0
2020-01-29,Mauritania,0,0,0,0,0,0
2020-01-30,Mauritania,0,0,0,0,0,0
2020-01-31,Mauritania,0,0,0,0,0,0
2020-02-01,Mauritania,0,0,0,0,0,0
2020-02-02,Mauritania,0,0,0,0,0,0
2020-02-03,Mauritania,0,0,0,0,0,0
2020-02-04,Mauritania,0,0,0,0,0,0
2020-02-05,Mauritania,0,0,0,0,0,0
2020-02-06,Mauritania,0,0,0,0,0,0
2020-02-07,Mauritania,0,0,0,0,0,0
2020-02-08,Mauritania,0,0,0,0,0,0
2020-02-09,Mauritania,0,0,0,0,0,0
2020-02-10,Mauritania,0,0,0,0,0,0
2020-02-11,Mauritania,0,0,0,0,0,0
2020-02-12,Mauritania,0,0,0,0,0,0
2020-02-13,Mauritania,0,0,0,0,0,0
2020-02-14,Mauritania,0,0,0,0,0,0
2020-02-15,Mauritania,0,0,0,0,0,0
2020-02-16,Mauritania,0,0,0,0,0,0
2020-02-17,Mauritania,0,0,0,0,0,0
2020-02-18,Mauritania,0,0,0,0,0,0
2020-02-19,Mauritania,0,0,0,0,0,0
2020-02-20,Mauritania,0,0,0,0,0,0
2020-02-21,Mauritania,0,0,0,0,0,0
2020-02-22,Mauritania,0,0,0,0,0,0
2020-02-23,Mauritania,0,0,0,0,0,0
2020-02-24,Mauritania,0,0,0,0,0,0
2020-02-25,Mauritania,0,0,0,0,0,0
2020-02-26,Mauritania,0,0,0,0,0,0
2020-02-27,Mauritania,0,0,0,0,0,0
2020-02-28,Mauritania,0,0,0,0,0,0
2020-02-29,Mauritania,0,0,0,0,0,0
2020-03-01,Mauritania,0,0,0,0,0,0
2020-03-02,Mauritania,0,0,0,0,0,0
2020-03-03,Mauritania,0,0,0,0,0,0
2020-03-04,Mauritania,0,0,0,0,0,0
2020-03-05,Mauritania,0,0,0,0,0,0
2020-03-06,Mauritania,0,0,0,0,0,0
2020-03-07,Mauritania,0,0,0,0,0,0
2020-03-08,Mauritania,0,0,0,0,0,0
2020-03-09,Mauritania,0,0,0,0,0,0
2020-03-10,Mauritania,0,0,0,0,0,0
2020-03-11,Mauritania,0,0,0,0,0,0
2020-03-12,Mauritania,0,0,0,0,0,0
2020-03-13,Mauritania,0,0,0,0,0,0
2020-03-14,Mauritania,1,0,1,0,0,0
2020-03-15,Mauritania,1,0,0,0,0,0
2020-03-16,Mauritania,1,0,0,0,0,0
