Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Mauritius,0,0,0,0,0,0
2020-01-23,Mauritius,0,0,0,0,0,0
2020-01-24,Mauritius,0,0,0,0,0,0
2020-01-25,Mauritius,0,0,0,0,0,0
2020-01-26,Mauritius,0,0,0,0,0,0
2020-01-27,Mauritius,0,0,0,0,0,0
2020-01-28,Mauritius,0,0,0,0,0,0
2020-01-29,Mauritius,0,0,0,0,0,0
2020-01-30,Mauritius,0,0,0,0,0,0
2020-01-31,Mauritius,0,0,0,0,0,0
2020-02-01,Mauritius,0,0,0,0,0,0
2020-02-02,Mauritius,0,0,0,0,0,0
2020-02-03,Mauritius,0,0,0,0,0,0
2020-02-04,Mauritius,0,0,0,0,0,0
2020-02-05,Mauritius,0,0,0,0,0,0
2020-02-06,Mauritius,0,0,0,0,0,0
2020-02-07,Mauritius,0,0,0,0,0,0
2020-02-08,Mauritius,0,0,0,0,0,0
2020-02-09,Mauritius,0,0,0,0,0,0
2020-02-10,Mauritius,0,0,0,0,0,0
2020-02-11,Mauritius,0,0,0,0,0,0
2020-02-12,Mauritius,0,0,0,0,0,0
2020-02-13,Mauritius,0,0,0,0,0,0
2020-02-14,Mauritius,0,0,0,0,0,0
2020-02-15,Mauritius,0,0,0,0,0,0
2020-02-16,Mauritius,0,0,0,0,0,0
2020-02-17,Mauritius,0,0,0,0,0,0
2020-02-18,Mauritius,0,0,0,0,0,0
2020-02-19,Mauritius,0,0,0,0,0,0
2020-02-20,Mauritius,0,0,0,0,0,0
2020-02-21,Mauritius,0,0,0,0,0,0
2020-02-22,Mauritius,0,0,0,0,0,0
2020-02-23,Mauritius,0,0,0,0,0,0
2020-02-24,Mauritius,0,0,0,0,0,0
2020-02-25,Mauritius,0,0,0,0,0,0
2020-02-26,Mauritius,0,0,0,0,0,0
2020-02-27,Mauritius,0,0,0,0,0,0
2020-02-28,Mauritius,0,0,0,0,0,0
2020-02-29,Mauritius,0,0,0,0,0,0
2020-03-01,Mauritius,0,0,0,0,0,0
2020-03-02,Mauritius,0,0,0,0,0,0
2020-03-03,Mauritius,0,0,0,0,0,0
2020-03-04,Mauritius,0,0,0,0,0,0
2020-03-05,Mauritius,0,0,0,0,0,0
2020-03-06,Mauritius,0,0,0,0,0,0
2020-03-07,Mauritius,0,0,0,0,0,0
2020-03-08,Mauritius,0,0,0,0,0,0
2020-03-09,Mauritius,0,0,0,0,0,0
2020-03-10,Mauritius,0,0,0,0,0,0
2020-03-11,Mauritius,0,0,0,0,0,0
2020-03-12,Mauritius,0,0,0,0,0,0
2020-03-13,Mauritius,0,0,0,0,0,0
2020-03-14,Mauritius,0,0,0,0,0,0
2020-03-15,Mauritius,0,0,0,0,0,0
2020-03-16,Mauritius,0,0,0,0,0,0
2020-03-17,Mauritius,0,0,0,0,0,0
2020-03-18,Mauritius,3,0,3,0,0,0
2020-03-19,Mauritius,3,0,0,0,0,0
2020-03-20,Mauritius,7,0,4,0,1,0
2020-03-21,Mauritius,12,0,5,0,2,0
2020-03-22,Mauritius,14,0,2,0,2,0
2020-03-23,Mauritius,24,0,10,0,3,0
2020-03-24,Mauritius,36,0,12,0,5,0
2020-03-25,Mauritius,42,2,6,2,6,0
2020-03-26,Mauritius,48,2,6,0,6,0
2020-03-27,Mauritius,82,2,34,0,11,0
2020-03-28,Mauritius,94,2,12,0,12,0
2020-03-29,Mauritius,102,2,8,0,13,0
2020-03-30,Mauritius,107,2,5,0,12,0
2020-03-31,Mauritius,125,3,18,1,13,0
2020-04-01,Mauritius,143,5,18,2,14,0
2020-04-02,Mauritius,154,5,11,0,15,0
2020-04-03,Mauritius,171,7,17,2,13,1
2020-04-04,Mauritius,186,7,15,0,13,1
2020-04-05,Mauritius,196,7,10,0,13,1
2020-04-06,Mauritius,227,7,31,0,17,1
2020-04-07,Mauritius,244,7,17,0,17,1
2020-04-08,Mauritius,268,7,24,0,18,0
2020-04-09,Mauritius,273,7,5,0,17,0
2020-04-10,Mauritius,314,7,41,0,20,0
2020-04-11,Mauritius,318,9,4,2,19,0
2020-04-12,Mauritius,319,9,1,0,18,0
2020-04-13,Mauritius,324,9,5,0,14,0
2020-04-14,Mauritius,324,9,0,0,11,0
2020-04-15,Mauritius,324,9,0,0,8,0
2020-04-16,Mauritius,324,9,0,0,7,0
2020-04-17,Mauritius,324,9,0,0,1,0
2020-04-18,Mauritius,324,9,0,0,1,0
2020-04-19,Mauritius,325,9,1,0,1,0
2020-04-20,Mauritius,328,9,3,0,1,0
2020-04-21,Mauritius,328,9,0,0,1,0
2020-04-22,Mauritius,328,9,0,0,1,0
2020-04-23,Mauritius,329,9,1,0,1,0
2020-04-24,Mauritius,331,9,2,0,1,0
2020-04-25,Mauritius,331,9,0,0,1,0
2020-04-26,Mauritius,331,9,0,0,1,0
2020-04-27,Mauritius,332,9,1,0,1,0
2020-04-28,Mauritius,332,9,0,0,1,0
2020-04-29,Mauritius,332,10,0,1,1,0
2020-04-30,Mauritius,332,10,0,0,0,0
2020-05-01,Mauritius,332,10,0,0,0,0
2020-05-02,Mauritius,332,10,0,0,0,0
2020-05-03,Mauritius,332,10,0,0,0,0
2020-05-04,Mauritius,332,10,0,0,0,0
2020-05-05,Mauritius,332,10,0,0,0,0
2020-05-06,Mauritius,332,10,0,0,0,0
2020-05-07,Mauritius,332,10,0,0,0,0
2020-05-08,Mauritius,332,10,0,0,0,0
2020-05-09,Mauritius,332,10,0,0,0,0
2020-05-10,Mauritius,332,10,0,0,0,0
2020-05-11,Mauritius,332,10,0,0,0,0
