Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Mexico,0,0,0,0,0,0
2020-01-23,Mexico,0,0,0,0,0,0
2020-01-24,Mexico,0,0,0,0,0,0
2020-01-25,Mexico,0,0,0,0,0,0
2020-01-26,Mexico,0,0,0,0,0,0
2020-01-27,Mexico,0,0,0,0,0,0
2020-01-28,Mexico,0,0,0,0,0,0
2020-01-29,Mexico,0,0,0,0,0,0
2020-01-30,Mexico,0,0,0,0,0,0
2020-01-31,Mexico,0,0,0,0,0,0
2020-02-01,Mexico,0,0,0,0,0,0
2020-02-02,Mexico,0,0,0,0,0,0
2020-02-03,Mexico,0,0,0,0,0,0
2020-02-04,Mexico,0,0,0,0,0,0
2020-02-05,Mexico,0,0,0,0,0,0
2020-02-06,Mexico,0,0,0,0,0,0
2020-02-07,Mexico,0,0,0,0,0,0
2020-02-08,Mexico,0,0,0,0,0,0
2020-02-09,Mexico,0,0,0,0,0,0
2020-02-10,Mexico,0,0,0,0,0,0
2020-02-11,Mexico,0,0,0,0,0,0
2020-02-12,Mexico,0,0,0,0,0,0
2020-02-13,Mexico,0,0,0,0,0,0
2020-02-14,Mexico,0,0,0,0,0,0
2020-02-15,Mexico,0,0,0,0,0,0
2020-02-16,Mexico,0,0,0,0,0,0
2020-02-17,Mexico,0,0,0,0,0,0
2020-02-18,Mexico,0,0,0,0,0,0
2020-02-19,Mexico,0,0,0,0,0,0
2020-02-20,Mexico,0,0,0,0,0,0
2020-02-21,Mexico,0,0,0,0,0,0
2020-02-22,Mexico,0,0,0,0,0,0
2020-02-23,Mexico,0,0,0,0,0,0
2020-02-24,Mexico,0,0,0,0,0,0
2020-02-25,Mexico,0,0,0,0,0,0
2020-02-26,Mexico,0,0,0,0,0,0
2020-02-27,Mexico,0,0,0,0,0,0
2020-02-28,Mexico,1,0,1,0,0,0
2020-02-29,Mexico,4,0,3,0,1,0
2020-03-01,Mexico,5,0,1,0,1,0
2020-03-02,Mexico,5,0,0,0,1,0
2020-03-03,Mexico,5,0,0,0,1,0
2020-03-04,Mexico,5,0,0,0,1,0
2020-03-05,Mexico,5,0,0,0,1,0
2020-03-06,Mexico,6,0,1,0,1,0
2020-03-07,Mexico,6,0,0,0,0,0
2020-03-08,Mexico,7,0,1,0,0,0
2020-03-09,Mexico,7,0,0,0,0,0
2020-03-10,Mexico,7,0,0,0,0,0
2020-03-11,Mexico,8,0,1,0,0,0
2020-03-12,Mexico,12,0,4,0,1,0
2020-03-13,Mexico,26,0,14,0,3,0
2020-03-14,Mexico,41,0,15,0,5,0
2020-03-15,Mexico,53,0,12,0,7,0
2020-03-16,Mexico,82,0,29,0,11,0
2020-03-17,Mexico,93,0,11,0,12,0
2020-03-18,Mexico,118,0,25,0,16,0
2020-03-19,Mexico,164,1,46,1,22,0
2020-03-20,Mexico,203,2,39,1,25,0
2020-03-21,Mexico,251,2,48,0,30,0
2020-03-22,Mexico,316,3,65,1,38,0
2020-03-23,Mexico,367,4,51,1,41,1
2020-03-24,Mexico,405,5,38,1,45,1
2020-03-25,Mexico,475,6,70,1,51,1
2020-03-26,Mexico,585,8,110,2,60,1
2020-03-27,Mexico,717,12,132,4,73,1
2020-03-28,Mexico,848,16,131,4,85,2
2020-03-29,Mexico,993,20,145,4,97,2
2020-03-30,Mexico,1094,28,101,8,104,3
2020-03-31,Mexico,1215,29,121,1,116,3
2020-04-01,Mexico,1378,37,163,8,129,4
2020-04-02,Mexico,1510,50,132,13,132,6
2020-04-03,Mexico,1688,60,178,10,139,7
2020-04-04,Mexico,1890,79,202,19,149,9
2020-04-05,Mexico,2143,94,253,15,164,11
2020-04-06,Mexico,2439,125,296,31,192,14
2020-04-07,Mexico,2785,141,346,16,224,16
2020-04-08,Mexico,3181,174,396,33,258,20
2020-04-09,Mexico,3441,194,260,20,276,21
2020-04-10,Mexico,3844,233,403,39,308,25
2020-04-11,Mexico,4219,273,375,40,333,28
2020-04-12,Mexico,4661,296,442,23,360,29
2020-04-13,Mexico,5014,332,353,36,368,30
2020-04-14,Mexico,5399,406,385,74,373,38
2020-04-15,Mexico,5847,449,448,43,381,39
2020-04-16,Mexico,6297,486,450,37,408,42
2020-04-17,Mexico,6875,546,578,60,433,45
2020-04-18,Mexico,7497,650,622,104,468,54
2020-04-19,Mexico,8261,686,764,36,514,56
2020-04-20,Mexico,8772,712,511,26,537,54
2020-04-21,Mexico,9501,857,729,145,586,64
2020-04-22,Mexico,10544,970,1043,113,671,74
2020-04-23,Mexico,11633,1069,1089,99,762,83
2020-04-24,Mexico,12872,1221,1239,152,857,96
2020-04-25,Mexico,13842,1305,970,84,906,94
2020-04-26,Mexico,14677,1351,835,46,917,95
2020-04-27,Mexico,15529,1434,852,83,965,103
2020-04-28,Mexico,16752,1569,1223,135,1036,102
2020-04-29,Mexico,17799,1732,1047,163,1036,109
2020-04-30,Mexico,19224,1859,1425,127,1084,113
2020-05-01,Mexico,20739,1972,1515,113,1124,107
2020-05-02,Mexico,22088,2061,1349,89,1178,108
2020-05-03,Mexico,23471,2154,1383,93,1256,115
2020-05-04,Mexico,24905,2271,1434,117,1339,120
2020-05-05,Mexico,26025,2507,1120,236,1325,134
2020-05-06,Mexico,27634,2704,1609,197,1405,139
2020-05-07,Mexico,29616,2961,1982,257,1485,157
2020-05-08,Mexico,31522,3160,1906,199,1540,170
2020-05-09,Mexico,33460,3353,1938,193,1625,185
2020-05-10,Mexico,35022,3465,1562,112,1650,187
2020-05-11,Mexico,36327,3573,1305,108,1632,186
2020-05-12,Mexico,38324,3926,1997,353,1757,203
2020-05-13,Mexico,40186,4220,1862,294,1793,217
2020-05-14,Mexico,42595,4477,2409,257,1854,217
2020-05-15,Mexico,45032,4767,2437,290,1930,230
2020-05-16,Mexico,47144,5045,2112,278,1955,242
2020-05-17,Mexico,49219,5177,2075,132,2028,245
2020-05-18,Mexico,51633,5332,2414,155,2187,251
2020-05-19,Mexico,54346,5666,2713,334,2289,249
2020-05-20,Mexico,56594,6090,2248,424,2344,267
2020-05-21,Mexico,59567,6510,2973,420,2425,290
2020-05-22,Mexico,62527,6989,2960,479,2499,317
2020-05-23,Mexico,65856,7179,3329,190,2673,305
2020-05-24,Mexico,68620,7394,2764,215,2772,317
2020-05-25,Mexico,71105,7633,2485,239,2782,329
2020-05-26,Mexico,74560,8134,3455,501,2888,353
2020-05-27,Mexico,78023,8597,3463,463,3061,358
2020-05-28,Mexico,81400,9044,3377,447,3119,362
2020-05-29,Mexico,84627,9415,3227,371,3157,347
2020-05-30,Mexico,87512,9779,2885,364,3094,371
2020-05-31,Mexico,90664,9930,3152,151,3149,362
2020-06-01,Mexico,93435,10167,2771,237,3190,362
2020-06-02,Mexico,97326,10637,3891,470,3252,358
2020-06-03,Mexico,101238,11729,3912,1092,3316,447
2020-06-04,Mexico,105680,12545,4442,816,3469,500
2020-06-05,Mexico,110026,13170,4346,625,3628,536
2020-06-06,Mexico,113619,13511,3593,341,3730,533
2020-06-07,Mexico,117103,13699,3484,188,3777,538
2020-06-08,Mexico,120102,14053,2999,354,3810,555
2020-06-09,Mexico,124301,14649,4199,596,3854,573
2020-06-10,Mexico,129184,15357,4883,708,3992,518
2020-06-11,Mexico,133974,15944,4790,587,4042,486
2020-06-12,Mexico,139196,16448,5222,504,4167,468
2020-06-13,Mexico,142690,16872,3494,424,4153,480
2020-06-14,Mexico,146837,17141,4147,269,4248,492
2020-06-15,Mexico,150264,17580,3427,439,4309,504
2020-06-16,Mexico,154863,18310,4599,730,4366,523
2020-06-17,Mexico,159793,19080,4930,770,4373,532
2020-06-18,Mexico,165455,19747,5662,667,4497,543
2020-06-19,Mexico,170485,20394,5030,647,4470,564
2020-06-20,Mexico,175202,20781,4717,387,4645,558
2020-06-21,Mexico,180545,21825,5343,1044,4815,669
2020-06-22,Mexico,185122,22584,4577,759,4980,715
2020-06-23,Mexico,191410,23377,6288,793,5221,724
2020-06-24,Mexico,196847,24324,5437,947,5293,749
2020-06-25,Mexico,202951,25060,6104,736,5357,759
2020-06-26,Mexico,208392,25779,5441,719,5415,769
2020-06-27,Mexico,212802,26381,4410,602,5371,800
2020-06-28,Mexico,216852,26648,4050,267,5187,689
2020-06-29,Mexico,220657,27121,3805,473,5076,648
2020-06-30,Mexico,226089,27769,5432,648,4954,627
2020-07-01,Mexico,231770,28510,5681,741,4989,598
2020-07-02,Mexico,238511,29189,6741,679,5080,590
2020-07-03,Mexico,245251,29843,6740,654,5266,581
2020-07-04,Mexico,252165,30366,6914,523,5623,569
2020-07-05,Mexico,256848,30639,4683,273,5714,570
2020-07-06,Mexico,261750,31119,4902,480,5870,571
2020-07-07,Mexico,268008,32014,6258,895,5988,606
2020-07-08,Mexico,275003,32796,6995,782,6176,612
2020-07-09,Mexico,282283,33526,7280,730,6253,620
2020-07-10,Mexico,289174,34191,6891,665,6275,621
2020-07-11,Mexico,295268,34730,6094,539,6158,623
2020-07-12,Mexico,299750,35006,4482,276,6129,624
