Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Moldova,0,0,0,0,0,0
2020-01-23,Moldova,0,0,0,0,0,0
2020-01-24,Moldova,0,0,0,0,0,0
2020-01-25,Moldova,0,0,0,0,0,0
2020-01-26,Moldova,0,0,0,0,0,0
2020-01-27,Moldova,0,0,0,0,0,0
2020-01-28,Moldova,0,0,0,0,0,0
2020-01-29,Moldova,0,0,0,0,0,0
2020-01-30,Moldova,0,0,0,0,0,0
2020-01-31,Moldova,0,0,0,0,0,0
2020-02-01,Moldova,0,0,0,0,0,0
2020-02-02,Moldova,0,0,0,0,0,0
2020-02-03,Moldova,0,0,0,0,0,0
2020-02-04,Moldova,0,0,0,0,0,0
2020-02-05,Moldova,0,0,0,0,0,0
2020-02-06,Moldova,0,0,0,0,0,0
2020-02-07,Moldova,0,0,0,0,0,0
2020-02-08,Moldova,0,0,0,0,0,0
2020-02-09,Moldova,0,0,0,0,0,0
2020-02-10,Moldova,0,0,0,0,0,0
2020-02-11,Moldova,0,0,0,0,0,0
2020-02-12,Moldova,0,0,0,0,0,0
2020-02-13,Moldova,0,0,0,0,0,0
2020-02-14,Moldova,0,0,0,0,0,0
2020-02-15,Moldova,0,0,0,0,0,0
2020-02-16,Moldova,0,0,0,0,0,0
2020-02-17,Moldova,0,0,0,0,0,0
2020-02-18,Moldova,0,0,0,0,0,0
2020-02-19,Moldova,0,0,0,0,0,0
2020-02-20,Moldova,0,0,0,0,0,0
2020-02-21,Moldova,0,0,0,0,0,0
2020-02-22,Moldova,0,0,0,0,0,0
2020-02-23,Moldova,0,0,0,0,0,0
2020-02-24,Moldova,0,0,0,0,0,0
2020-02-25,Moldova,0,0,0,0,0,0
2020-02-26,Moldova,0,0,0,0,0,0
2020-02-27,Moldova,0,0,0,0,0,0
2020-02-28,Moldova,0,0,0,0,0,0
2020-02-29,Moldova,0,0,0,0,0,0
2020-03-01,Moldova,0,0,0,0,0,0
2020-03-02,Moldova,0,0,0,0,0,0
2020-03-03,Moldova,0,0,0,0,0,0
2020-03-04,Moldova,0,0,0,0,0,0
2020-03-05,Moldova,0,0,0,0,0,0
2020-03-06,Moldova,0,0,0,0,0,0
2020-03-07,Moldova,0,0,0,0,0,0
2020-03-08,Moldova,1,0,1,0,0,0
2020-03-09,Moldova,1,0,0,0,0,0
2020-03-10,Moldova,3,0,2,0,0,0
2020-03-11,Moldova,3,0,0,0,0,0
2020-03-12,Moldova,3,0,0,0,0,0
2020-03-13,Moldova,6,0,3,0,1,0
2020-03-14,Moldova,12,0,6,0,2,0
2020-03-15,Moldova,23,0,11,0,3,0
2020-03-16,Moldova,23,0,0,0,3,0
2020-03-17,Moldova,30,0,7,0,4,0
2020-03-18,Moldova,30,1,0,1,4,0
2020-03-19,Moldova,49,1,19,0,7,0
2020-03-20,Moldova,66,1,17,0,9,0
2020-03-21,Moldova,80,1,14,0,10,0
2020-03-22,Moldova,94,1,14,0,10,0
2020-03-23,Moldova,109,1,15,0,12,0
2020-03-24,Moldova,125,1,16,0,14,0
2020-03-25,Moldova,149,1,24,0,17,0
2020-03-26,Moldova,177,1,28,0,18,0
2020-03-27,Moldova,199,2,22,1,19,0
2020-03-28,Moldova,231,2,32,0,22,0
2020-03-29,Moldova,263,2,32,0,24,0
2020-03-30,Moldova,298,2,35,0,27,0
2020-03-31,Moldova,353,4,55,2,33,0
2020-04-01,Moldova,423,5,70,1,39,1
2020-04-02,Moldova,505,6,82,1,47,1
2020-04-03,Moldova,591,8,86,2,56,1
2020-04-04,Moldova,752,12,161,4,74,1
2020-04-05,Moldova,864,15,112,3,86,2
2020-04-06,Moldova,965,19,101,4,95,2
2020-04-07,Moldova,1056,22,91,3,100,3
2020-04-08,Moldova,1174,27,118,5,107,3
2020-04-09,Moldova,1289,29,115,2,112,3
2020-04-10,Moldova,1438,29,149,0,121,3
2020-04-11,Moldova,1560,30,122,1,115,3
2020-04-12,Moldova,1662,31,102,1,114,2
2020-04-13,Moldova,1712,35,50,4,107,2
2020-04-14,Moldova,1934,40,222,5,125,3
2020-04-15,Moldova,2049,46,115,6,125,3
2020-04-16,Moldova,2154,54,105,8,124,4
2020-04-17,Moldova,2264,56,110,2,118,4
2020-04-18,Moldova,2378,57,114,1,117,4
2020-04-19,Moldova,2472,67,94,10,116,5
2020-04-20,Moldova,2548,70,76,3,119,5
2020-04-21,Moldova,2614,72,66,2,97,5
2020-04-22,Moldova,2778,75,164,3,104,4
2020-04-23,Moldova,2926,80,148,5,110,4
2020-04-24,Moldova,3110,84,184,4,121,4
2020-04-25,Moldova,3304,94,194,10,132,5
2020-04-26,Moldova,3408,96,104,2,134,4
2020-04-27,Moldova,3481,102,73,6,133,5
2020-04-28,Moldova,3638,103,157,1,146,4
2020-04-29,Moldova,3771,111,133,8,142,5
2020-04-30,Moldova,3897,116,126,5,139,5
2020-05-01,Moldova,3980,122,83,6,124,5
2020-05-02,Moldova,4052,124,72,2,107,4
2020-05-03,Moldova,4121,125,69,1,102,4
2020-05-04,Moldova,4248,132,127,7,110,4
