Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Monaco,0,0,0,0,0,0
2020-01-23,Monaco,0,0,0,0,0,0
2020-01-24,Monaco,0,0,0,0,0,0
2020-01-25,Monaco,0,0,0,0,0,0
2020-01-26,Monaco,0,0,0,0,0,0
2020-01-27,Monaco,0,0,0,0,0,0
2020-01-28,Monaco,0,0,0,0,0,0
2020-01-29,Monaco,0,0,0,0,0,0
2020-01-30,Monaco,0,0,0,0,0,0
2020-01-31,Monaco,0,0,0,0,0,0
2020-02-01,Monaco,0,0,0,0,0,0
2020-02-02,Monaco,0,0,0,0,0,0
2020-02-03,Monaco,0,0,0,0,0,0
2020-02-04,Monaco,0,0,0,0,0,0
2020-02-05,Monaco,0,0,0,0,0,0
2020-02-06,Monaco,0,0,0,0,0,0
2020-02-07,Monaco,0,0,0,0,0,0
2020-02-08,Monaco,0,0,0,0,0,0
2020-02-09,Monaco,0,0,0,0,0,0
2020-02-10,Monaco,0,0,0,0,0,0
2020-02-11,Monaco,0,0,0,0,0,0
2020-02-12,Monaco,0,0,0,0,0,0
2020-02-13,Monaco,0,0,0,0,0,0
2020-02-14,Monaco,0,0,0,0,0,0
2020-02-15,Monaco,0,0,0,0,0,0
2020-02-16,Monaco,0,0,0,0,0,0
2020-02-17,Monaco,0,0,0,0,0,0
2020-02-18,Monaco,0,0,0,0,0,0
2020-02-19,Monaco,0,0,0,0,0,0
2020-02-20,Monaco,0,0,0,0,0,0
2020-02-21,Monaco,0,0,0,0,0,0
2020-02-22,Monaco,0,0,0,0,0,0
2020-02-23,Monaco,0,0,0,0,0,0
2020-02-24,Monaco,0,0,0,0,0,0
2020-02-25,Monaco,0,0,0,0,0,0
2020-02-26,Monaco,0,0,0,0,0,0
2020-02-27,Monaco,0,0,0,0,0,0
2020-02-28,Monaco,0,0,0,0,0,0
2020-02-29,Monaco,1,0,1,0,0,0
2020-03-01,Monaco,1,0,0,0,0,0
