Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Mongolia,0,0,0,0,0,0
2020-01-23,Mongolia,0,0,0,0,0,0
2020-01-24,Mongolia,0,0,0,0,0,0
2020-01-25,Mongolia,0,0,0,0,0,0
2020-01-26,Mongolia,0,0,0,0,0,0
2020-01-27,Mongolia,0,0,0,0,0,0
2020-01-28,Mongolia,0,0,0,0,0,0
2020-01-29,Mongolia,0,0,0,0,0,0
2020-01-30,Mongolia,0,0,0,0,0,0
2020-01-31,Mongolia,0,0,0,0,0,0
2020-02-01,Mongolia,0,0,0,0,0,0
2020-02-02,Mongolia,0,0,0,0,0,0
2020-02-03,Mongolia,0,0,0,0,0,0
2020-02-04,Mongolia,0,0,0,0,0,0
2020-02-05,Mongolia,0,0,0,0,0,0
2020-02-06,Mongolia,0,0,0,0,0,0
2020-02-07,Mongolia,0,0,0,0,0,0
2020-02-08,Mongolia,0,0,0,0,0,0
2020-02-09,Mongolia,0,0,0,0,0,0
2020-02-10,Mongolia,0,0,0,0,0,0
2020-02-11,Mongolia,0,0,0,0,0,0
2020-02-12,Mongolia,0,0,0,0,0,0
2020-02-13,Mongolia,0,0,0,0,0,0
2020-02-14,Mongolia,0,0,0,0,0,0
2020-02-15,Mongolia,0,0,0,0,0,0
2020-02-16,Mongolia,0,0,0,0,0,0
2020-02-17,Mongolia,0,0,0,0,0,0
2020-02-18,Mongolia,0,0,0,0,0,0
2020-02-19,Mongolia,0,0,0,0,0,0
2020-02-20,Mongolia,0,0,0,0,0,0
2020-02-21,Mongolia,0,0,0,0,0,0
2020-02-22,Mongolia,0,0,0,0,0,0
2020-02-23,Mongolia,0,0,0,0,0,0
2020-02-24,Mongolia,0,0,0,0,0,0
2020-02-25,Mongolia,0,0,0,0,0,0
2020-02-26,Mongolia,0,0,0,0,0,0
2020-02-27,Mongolia,0,0,0,0,0,0
2020-02-28,Mongolia,0,0,0,0,0,0
2020-02-29,Mongolia,0,0,0,0,0,0
2020-03-01,Mongolia,0,0,0,0,0,0
2020-03-02,Mongolia,0,0,0,0,0,0
2020-03-03,Mongolia,0,0,0,0,0,0
2020-03-04,Mongolia,0,0,0,0,0,0
2020-03-05,Mongolia,0,0,0,0,0,0
2020-03-06,Mongolia,0,0,0,0,0,0
2020-03-07,Mongolia,0,0,0,0,0,0
2020-03-08,Mongolia,0,0,0,0,0,0
2020-03-09,Mongolia,0,0,0,0,0,0
2020-03-10,Mongolia,1,0,1,0,0,0
2020-03-11,Mongolia,1,0,0,0,0,0
2020-03-12,Mongolia,1,0,0,0,0,0
2020-03-13,Mongolia,1,0,0,0,0,0
2020-03-14,Mongolia,1,0,0,0,0,0
2020-03-15,Mongolia,1,0,0,0,0,0
2020-03-16,Mongolia,1,0,0,0,0,0
2020-03-17,Mongolia,4,0,3,0,0,0
2020-03-18,Mongolia,5,0,1,0,1,0
2020-03-19,Mongolia,6,0,1,0,1,0
2020-03-20,Mongolia,6,0,0,0,1,0
2020-03-21,Mongolia,10,0,4,0,1,0
2020-03-22,Mongolia,10,0,0,0,1,0
2020-03-23,Mongolia,10,0,0,0,1,0
2020-03-24,Mongolia,10,0,0,0,1,0
2020-03-25,Mongolia,10,0,0,0,1,0
2020-03-26,Mongolia,11,0,1,0,1,0
2020-03-27,Mongolia,11,0,0,0,1,0
2020-03-28,Mongolia,12,0,1,0,0,0
2020-03-29,Mongolia,12,0,0,0,0,0
2020-03-30,Mongolia,12,0,0,0,0,0
2020-03-31,Mongolia,12,0,0,0,0,0
2020-04-01,Mongolia,14,0,2,0,1,0
2020-04-02,Mongolia,14,0,0,0,0,0
2020-04-03,Mongolia,14,0,0,0,0,0
2020-04-04,Mongolia,14,0,0,0,0,0
2020-04-05,Mongolia,14,0,0,0,0,0
