Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Montenegro,0,0,0,0,0,0
2020-01-23,Montenegro,0,0,0,0,0,0
2020-01-24,Montenegro,0,0,0,0,0,0
2020-01-25,Montenegro,0,0,0,0,0,0
2020-01-26,Montenegro,0,0,0,0,0,0
2020-01-27,Montenegro,0,0,0,0,0,0
2020-01-28,Montenegro,0,0,0,0,0,0
2020-01-29,Montenegro,0,0,0,0,0,0
2020-01-30,Montenegro,0,0,0,0,0,0
2020-01-31,Montenegro,0,0,0,0,0,0
2020-02-01,Montenegro,0,0,0,0,0,0
2020-02-02,Montenegro,0,0,0,0,0,0
2020-02-03,Montenegro,0,0,0,0,0,0
2020-02-04,Montenegro,0,0,0,0,0,0
2020-02-05,Montenegro,0,0,0,0,0,0
2020-02-06,Montenegro,0,0,0,0,0,0
2020-02-07,Montenegro,0,0,0,0,0,0
2020-02-08,Montenegro,0,0,0,0,0,0
2020-02-09,Montenegro,0,0,0,0,0,0
2020-02-10,Montenegro,0,0,0,0,0,0
2020-02-11,Montenegro,0,0,0,0,0,0
2020-02-12,Montenegro,0,0,0,0,0,0
2020-02-13,Montenegro,0,0,0,0,0,0
2020-02-14,Montenegro,0,0,0,0,0,0
2020-02-15,Montenegro,0,0,0,0,0,0
2020-02-16,Montenegro,0,0,0,0,0,0
2020-02-17,Montenegro,0,0,0,0,0,0
2020-02-18,Montenegro,0,0,0,0,0,0
2020-02-19,Montenegro,0,0,0,0,0,0
2020-02-20,Montenegro,0,0,0,0,0,0
2020-02-21,Montenegro,0,0,0,0,0,0
2020-02-22,Montenegro,0,0,0,0,0,0
2020-02-23,Montenegro,0,0,0,0,0,0
2020-02-24,Montenegro,0,0,0,0,0,0
2020-02-25,Montenegro,0,0,0,0,0,0
2020-02-26,Montenegro,0,0,0,0,0,0
2020-02-27,Montenegro,0,0,0,0,0,0
2020-02-28,Montenegro,0,0,0,0,0,0
2020-02-29,Montenegro,0,0,0,0,0,0
2020-03-01,Montenegro,0,0,0,0,0,0
2020-03-02,Montenegro,0,0,0,0,0,0
2020-03-03,Montenegro,0,0,0,0,0,0
2020-03-04,Montenegro,0,0,0,0,0,0
2020-03-05,Montenegro,0,0,0,0,0,0
2020-03-06,Montenegro,0,0,0,0,0,0
2020-03-07,Montenegro,0,0,0,0,0,0
2020-03-08,Montenegro,0,0,0,0,0,0
2020-03-09,Montenegro,0,0,0,0,0,0
2020-03-10,Montenegro,0,0,0,0,0,0
2020-03-11,Montenegro,0,0,0,0,0,0
2020-03-12,Montenegro,0,0,0,0,0,0
2020-03-13,Montenegro,0,0,0,0,0,0
2020-03-14,Montenegro,0,0,0,0,0,0
2020-03-15,Montenegro,0,0,0,0,0,0
2020-03-16,Montenegro,0,0,0,0,0,0
2020-03-17,Montenegro,2,0,2,0,0,0
2020-03-18,Montenegro,2,0,0,0,0,0
2020-03-19,Montenegro,3,0,1,0,0,0
2020-03-20,Montenegro,14,0,11,0,2,0
2020-03-21,Montenegro,14,0,0,0,2,0
2020-03-22,Montenegro,21,0,7,0,3,0
2020-03-23,Montenegro,27,1,6,1,4,0
2020-03-24,Montenegro,47,1,20,0,6,0
2020-03-25,Montenegro,52,1,5,0,7,0
2020-03-26,Montenegro,69,1,17,0,9,0
2020-03-27,Montenegro,82,1,13,0,10,0
2020-03-28,Montenegro,84,1,2,0,10,0
2020-03-29,Montenegro,85,1,1,0,9,0
2020-03-30,Montenegro,91,1,6,0,9,0
2020-03-31,Montenegro,109,2,18,1,9,0
2020-04-01,Montenegro,123,2,14,0,10,0
2020-04-02,Montenegro,144,2,21,0,11,0
2020-04-03,Montenegro,174,2,30,0,13,0
2020-04-04,Montenegro,201,2,27,0,17,0
2020-04-05,Montenegro,214,2,13,0,18,0
2020-04-06,Montenegro,233,2,19,0,20,0
2020-04-07,Montenegro,241,2,8,0,19,0
2020-04-08,Montenegro,248,2,7,0,18,0
2020-04-09,Montenegro,252,2,4,0,15,0
2020-04-10,Montenegro,255,2,3,0,12,0
2020-04-11,Montenegro,263,2,8,0,9,0
2020-04-12,Montenegro,272,3,9,1,8,0
2020-04-13,Montenegro,274,3,2,0,6,0
2020-04-14,Montenegro,283,4,9,1,6,0
2020-04-15,Montenegro,288,4,5,0,6,0
2020-04-16,Montenegro,303,4,15,0,7,0
2020-04-17,Montenegro,303,5,0,1,7,0
2020-04-18,Montenegro,307,5,4,0,6,0
2020-04-19,Montenegro,308,5,1,0,5,0
2020-04-20,Montenegro,312,5,4,0,5,0
2020-04-21,Montenegro,313,5,1,0,4,0
2020-04-22,Montenegro,315,5,2,0,4,0
2020-04-23,Montenegro,316,5,1,0,2,0
2020-04-24,Montenegro,319,6,3,1,2,0
2020-04-25,Montenegro,320,6,1,0,2,0
2020-04-26,Montenegro,321,7,1,1,2,0
2020-04-27,Montenegro,321,7,0,0,1,0
2020-04-28,Montenegro,321,7,0,0,1,0
2020-04-29,Montenegro,322,7,1,0,1,0
2020-04-30,Montenegro,322,7,0,0,1,0
2020-05-01,Montenegro,322,7,0,0,0,0
2020-05-02,Montenegro,322,8,0,1,0,0
2020-05-03,Montenegro,322,8,0,0,0,0
2020-05-04,Montenegro,323,8,1,0,0,0
2020-05-05,Montenegro,324,8,1,0,0,0
2020-05-06,Montenegro,324,8,0,0,0,0
2020-05-07,Montenegro,324,8,0,0,0,0
2020-05-08,Montenegro,324,8,0,0,0,0
2020-05-09,Montenegro,324,8,0,0,0,0
2020-05-10,Montenegro,324,9,0,1,0,0
2020-05-11,Montenegro,324,9,0,0,0,0
2020-05-12,Montenegro,324,9,0,0,0,0
2020-05-13,Montenegro,324,9,0,0,0,0
2020-05-14,Montenegro,324,9,0,0,0,0
2020-05-15,Montenegro,324,9,0,0,0,0
2020-05-16,Montenegro,324,9,0,0,0,0
2020-05-17,Montenegro,324,9,0,0,0,0
2020-05-18,Montenegro,324,9,0,0,0,0
2020-05-19,Montenegro,324,9,0,0,0,0
2020-05-20,Montenegro,324,9,0,0,0,0
2020-05-21,Montenegro,324,9,0,0,0,0
2020-05-22,Montenegro,324,9,0,0,0,0
2020-05-23,Montenegro,324,9,0,0,0,0
2020-05-24,Montenegro,324,9,0,0,0,0
2020-05-25,Montenegro,324,9,0,0,0,0
2020-05-26,Montenegro,324,9,0,0,0,0
2020-05-27,Montenegro,324,9,0,0,0,0
2020-05-28,Montenegro,324,9,0,0,0,0
2020-05-29,Montenegro,324,9,0,0,0,0
2020-05-30,Montenegro,324,9,0,0,0,0
2020-05-31,Montenegro,324,9,0,0,0,0
2020-06-01,Montenegro,324,9,0,0,0,0
2020-06-02,Montenegro,324,9,0,0,0,0
2020-06-03,Montenegro,324,9,0,0,0,0
2020-06-04,Montenegro,324,9,0,0,0,0
2020-06-05,Montenegro,324,9,0,0,0,0
2020-06-06,Montenegro,324,9,0,0,0,0
2020-06-07,Montenegro,324,9,0,0,0,0
2020-06-08,Montenegro,324,9,0,0,0,0
2020-06-09,Montenegro,324,9,0,0,0,0
2020-06-10,Montenegro,324,9,0,0,0,0
2020-06-11,Montenegro,324,9,0,0,0,0
2020-06-12,Montenegro,324,9,0,0,0,0
2020-06-13,Montenegro,324,9,0,0,0,0
2020-06-14,Montenegro,325,9,1,0,0,0
2020-06-15,Montenegro,326,9,1,0,0,0
2020-06-16,Montenegro,326,9,0,0,0,0
2020-06-17,Montenegro,333,9,7,0,1,0
2020-06-18,Montenegro,337,9,4,0,2,0
2020-06-19,Montenegro,355,9,18,0,4,0
2020-06-20,Montenegro,359,9,4,0,5,0
2020-06-21,Montenegro,362,9,3,0,5,0
2020-06-22,Montenegro,367,9,5,0,6,0
2020-06-23,Montenegro,378,9,11,0,7,0
2020-06-24,Montenegro,389,9,11,0,8,0
2020-06-25,Montenegro,414,9,25,0,11,0
2020-06-26,Montenegro,439,9,25,0,12,0
2020-06-27,Montenegro,469,9,30,0,16,0
2020-06-28,Montenegro,481,11,12,2,17,0
2020-06-29,Montenegro,501,11,20,0,19,0
2020-06-30,Montenegro,548,12,47,1,24,0
2020-07-01,Montenegro,576,12,28,0,27,0
2020-07-02,Montenegro,616,12,40,0,29,0
2020-07-03,Montenegro,663,13,47,1,32,1
2020-07-04,Montenegro,720,14,57,1,36,1
2020-07-05,Montenegro,781,14,61,0,43,0
2020-07-06,Montenegro,841,14,60,0,49,0
2020-07-07,Montenegro,907,17,66,3,51,1
2020-07-08,Montenegro,960,17,53,0,55,1
2020-07-09,Montenegro,1019,19,59,2,58,1
2020-07-10,Montenegro,1019,19,0,0,51,1
2020-07-11,Montenegro,1164,23,145,4,63,1
2020-07-12,Montenegro,1221,23,57,0,63,1
2020-07-13,Montenegro,1287,24,66,1,64,1
2020-07-14,Montenegro,1287,24,0,0,54,1
2020-07-15,Montenegro,1287,24,0,0,47,1
2020-07-16,Montenegro,1287,24,0,0,38,1
2020-07-17,Montenegro,1965,26,678,2,135,1
2020-07-18,Montenegro,2072,30,107,4,130,1
2020-07-19,Montenegro,2188,32,116,2,138,1
2020-07-20,Montenegro,2188,32,0,0,129,1
2020-07-21,Montenegro,2381,35,193,3,156,2
2020-07-22,Montenegro,2472,39,91,4,169,2
2020-07-23,Montenegro,2569,40,97,1,183,2
2020-07-24,Montenegro,2665,43,96,3,100,2
2020-07-25,Montenegro,2747,43,82,0,96,2
2020-07-26,Montenegro,2799,43,52,0,87,2
2020-07-27,Montenegro,2893,45,94,2,101,2
2020-07-28,Montenegro,2949,45,56,0,81,1
2020-07-29,Montenegro,3016,47,67,2,78,1
2020-07-30,Montenegro,3016,47,0,0,64,1
2020-07-31,Montenegro,3073,48,57,1,58,1
2020-08-01,Montenegro,3198,50,125,2,64,1
2020-08-02,Montenegro,3258,51,60,1,66,1
2020-08-03,Montenegro,3301,52,43,1,58,1
2020-08-04,Montenegro,3361,53,60,1,59,1
2020-08-05,Montenegro,3411,57,50,4,56,1
2020-08-06,Montenegro,3480,60,69,3,66,2
2020-08-07,Montenegro,3549,61,69,1,68,2
2020-08-08,Montenegro,3588,62,39,1,56,2
2020-08-09,Montenegro,3618,64,30,2,51,2
2020-08-10,Montenegro,3696,68,78,4,56,2
2020-08-11,Montenegro,3748,71,52,3,55,3
2020-08-12,Montenegro,3813,73,65,2,57,2
2020-08-13,Montenegro,3857,73,44,0,54,2
2020-08-14,Montenegro,3930,73,73,0,54,2
