Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Morocco,0,0,0,0,0,0
2020-01-23,Morocco,0,0,0,0,0,0
2020-01-24,Morocco,0,0,0,0,0,0
2020-01-25,Morocco,0,0,0,0,0,0
2020-01-26,Morocco,0,0,0,0,0,0
2020-01-27,Morocco,0,0,0,0,0,0
2020-01-28,Morocco,0,0,0,0,0,0
2020-01-29,Morocco,0,0,0,0,0,0
2020-01-30,Morocco,0,0,0,0,0,0
2020-01-31,Morocco,0,0,0,0,0,0
2020-02-01,Morocco,0,0,0,0,0,0
2020-02-02,Morocco,0,0,0,0,0,0
2020-02-03,Morocco,0,0,0,0,0,0
2020-02-04,Morocco,0,0,0,0,0,0
2020-02-05,Morocco,0,0,0,0,0,0
2020-02-06,Morocco,0,0,0,0,0,0
2020-02-07,Morocco,0,0,0,0,0,0
2020-02-08,Morocco,0,0,0,0,0,0
2020-02-09,Morocco,0,0,0,0,0,0
2020-02-10,Morocco,0,0,0,0,0,0
2020-02-11,Morocco,0,0,0,0,0,0
2020-02-12,Morocco,0,0,0,0,0,0
2020-02-13,Morocco,0,0,0,0,0,0
2020-02-14,Morocco,0,0,0,0,0,0
2020-02-15,Morocco,0,0,0,0,0,0
2020-02-16,Morocco,0,0,0,0,0,0
2020-02-17,Morocco,0,0,0,0,0,0
2020-02-18,Morocco,0,0,0,0,0,0
2020-02-19,Morocco,0,0,0,0,0,0
2020-02-20,Morocco,0,0,0,0,0,0
2020-02-21,Morocco,0,0,0,0,0,0
2020-02-22,Morocco,0,0,0,0,0,0
2020-02-23,Morocco,0,0,0,0,0,0
2020-02-24,Morocco,0,0,0,0,0,0
2020-02-25,Morocco,0,0,0,0,0,0
2020-02-26,Morocco,0,0,0,0,0,0
2020-02-27,Morocco,0,0,0,0,0,0
2020-02-28,Morocco,0,0,0,0,0,0
2020-02-29,Morocco,0,0,0,0,0,0
2020-03-01,Morocco,0,0,0,0,0,0
2020-03-02,Morocco,1,0,1,0,0,0
2020-03-03,Morocco,1,0,0,0,0,0
2020-03-04,Morocco,1,0,0,0,0,0
2020-03-05,Morocco,2,0,1,0,0,0
2020-03-06,Morocco,2,0,0,0,0,0
2020-03-07,Morocco,2,0,0,0,0,0
2020-03-08,Morocco,2,0,0,0,0,0
2020-03-09,Morocco,2,0,0,0,0,0
2020-03-10,Morocco,3,1,1,1,0,0
2020-03-11,Morocco,5,1,2,0,1,0
2020-03-12,Morocco,6,1,1,0,1,0
2020-03-13,Morocco,7,1,1,0,1,0
2020-03-14,Morocco,17,1,10,0,2,0
2020-03-15,Morocco,28,1,11,0,4,0
2020-03-16,Morocco,29,1,1,0,4,0
2020-03-17,Morocco,38,2,9,1,5,0
2020-03-18,Morocco,49,2,11,0,6,0
2020-03-19,Morocco,63,2,14,0,8,0
2020-03-20,Morocco,77,3,14,1,10,0
2020-03-21,Morocco,96,3,19,0,11,0
2020-03-22,Morocco,115,4,19,1,12,0
2020-03-23,Morocco,143,4,28,0,16,0
2020-03-24,Morocco,170,5,27,1,19,0
2020-03-25,Morocco,225,6,55,1,25,1
2020-03-26,Morocco,275,11,50,5,30,1
2020-03-27,Morocco,345,23,70,12,38,3
2020-03-28,Morocco,402,25,57,2,44,3
2020-03-29,Morocco,479,26,77,1,52,3
2020-03-30,Morocco,556,33,77,7,59,4
2020-03-31,Morocco,617,36,61,3,64,4
2020-04-01,Morocco,654,39,37,3,61,5
2020-04-02,Morocco,708,44,54,5,62,5
2020-04-03,Morocco,791,48,83,4,64,4
2020-04-04,Morocco,919,59,128,11,74,5
2020-04-05,Morocco,1021,70,102,11,77,6
2020-04-06,Morocco,1120,80,99,10,81,7
2020-04-07,Morocco,1184,90,64,10,81,8
