Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Mozambique,0,0,0,0,0,0
2020-01-23,Mozambique,0,0,0,0,0,0
2020-01-24,Mozambique,0,0,0,0,0,0
2020-01-25,Mozambique,0,0,0,0,0,0
2020-01-26,Mozambique,0,0,0,0,0,0
2020-01-27,Mozambique,0,0,0,0,0,0
2020-01-28,Mozambique,0,0,0,0,0,0
2020-01-29,Mozambique,0,0,0,0,0,0
2020-01-30,Mozambique,0,0,0,0,0,0
2020-01-31,Mozambique,0,0,0,0,0,0
2020-02-01,Mozambique,0,0,0,0,0,0
2020-02-02,Mozambique,0,0,0,0,0,0
2020-02-03,Mozambique,0,0,0,0,0,0
2020-02-04,Mozambique,0,0,0,0,0,0
2020-02-05,Mozambique,0,0,0,0,0,0
2020-02-06,Mozambique,0,0,0,0,0,0
2020-02-07,Mozambique,0,0,0,0,0,0
2020-02-08,Mozambique,0,0,0,0,0,0
2020-02-09,Mozambique,0,0,0,0,0,0
2020-02-10,Mozambique,0,0,0,0,0,0
2020-02-11,Mozambique,0,0,0,0,0,0
2020-02-12,Mozambique,0,0,0,0,0,0
2020-02-13,Mozambique,0,0,0,0,0,0
2020-02-14,Mozambique,0,0,0,0,0,0
2020-02-15,Mozambique,0,0,0,0,0,0
2020-02-16,Mozambique,0,0,0,0,0,0
2020-02-17,Mozambique,0,0,0,0,0,0
2020-02-18,Mozambique,0,0,0,0,0,0
2020-02-19,Mozambique,0,0,0,0,0,0
2020-02-20,Mozambique,0,0,0,0,0,0
2020-02-21,Mozambique,0,0,0,0,0,0
2020-02-22,Mozambique,0,0,0,0,0,0
2020-02-23,Mozambique,0,0,0,0,0,0
2020-02-24,Mozambique,0,0,0,0,0,0
2020-02-25,Mozambique,0,0,0,0,0,0
2020-02-26,Mozambique,0,0,0,0,0,0
2020-02-27,Mozambique,0,0,0,0,0,0
2020-02-28,Mozambique,0,0,0,0,0,0
2020-02-29,Mozambique,0,0,0,0,0,0
2020-03-01,Mozambique,0,0,0,0,0,0
2020-03-02,Mozambique,0,0,0,0,0,0
2020-03-03,Mozambique,0,0,0,0,0,0
2020-03-04,Mozambique,0,0,0,0,0,0
2020-03-05,Mozambique,0,0,0,0,0,0
2020-03-06,Mozambique,0,0,0,0,0,0
