Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Nepal,0,0,0,0,0,0
2020-01-23,Nepal,0,0,0,0,0,0
2020-01-24,Nepal,0,0,0,0,0,0
2020-01-25,Nepal,1,0,1,0,0,0
2020-01-26,Nepal,1,0,0,0,0,0
2020-01-27,Nepal,1,0,0,0,0,0
2020-01-28,Nepal,1,0,0,0,0,0
2020-01-29,Nepal,1,0,0,0,0,0
2020-01-30,Nepal,1,0,0,0,0,0
2020-01-31,Nepal,1,0,0,0,0,0
2020-02-01,Nepal,1,0,0,0,0,0
2020-02-02,Nepal,1,0,0,0,0,0
2020-02-03,Nepal,1,0,0,0,0,0
2020-02-04,Nepal,1,0,0,0,0,0
2020-02-05,Nepal,1,0,0,0,0,0
2020-02-06,Nepal,1,0,0,0,0,0
2020-02-07,Nepal,1,0,0,0,0,0
2020-02-08,Nepal,1,0,0,0,0,0
2020-02-09,Nepal,1,0,0,0,0,0
2020-02-10,Nepal,1,0,0,0,0,0
2020-02-11,Nepal,1,0,0,0,0,0
2020-02-12,Nepal,1,0,0,0,0,0
2020-02-13,Nepal,1,0,0,0,0,0
2020-02-14,Nepal,1,0,0,0,0,0
2020-02-15,Nepal,1,0,0,0,0,0
2020-02-16,Nepal,1,0,0,0,0,0
2020-02-17,Nepal,1,0,0,0,0,0
2020-02-18,Nepal,1,0,0,0,0,0
2020-02-19,Nepal,1,0,0,0,0,0
2020-02-20,Nepal,1,0,0,0,0,0
2020-02-21,Nepal,1,0,0,0,0,0
2020-02-22,Nepal,1,0,0,0,0,0
2020-02-23,Nepal,1,0,0,0,0,0
2020-02-24,Nepal,1,0,0,0,0,0
2020-02-25,Nepal,1,0,0,0,0,0
2020-02-26,Nepal,1,0,0,0,0,0
2020-02-27,Nepal,1,0,0,0,0,0
2020-02-28,Nepal,1,0,0,0,0,0
2020-02-29,Nepal,1,0,0,0,0,0
