Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Netherlands,0,0,0,0,0,0
2020-01-23,Netherlands,0,0,0,0,0,0
2020-01-24,Netherlands,0,0,0,0,0,0
2020-01-25,Netherlands,0,0,0,0,0,0
2020-01-26,Netherlands,0,0,0,0,0,0
2020-01-27,Netherlands,0,0,0,0,0,0
2020-01-28,Netherlands,0,0,0,0,0,0
2020-01-29,Netherlands,0,0,0,0,0,0
2020-01-30,Netherlands,0,0,0,0,0,0
2020-01-31,Netherlands,0,0,0,0,0,0
2020-02-01,Netherlands,0,0,0,0,0,0
2020-02-02,Netherlands,0,0,0,0,0,0
2020-02-03,Netherlands,0,0,0,0,0,0
2020-02-04,Netherlands,0,0,0,0,0,0
2020-02-05,Netherlands,0,0,0,0,0,0
2020-02-06,Netherlands,0,0,0,0,0,0
2020-02-07,Netherlands,0,0,0,0,0,0
2020-02-08,Netherlands,0,0,0,0,0,0
2020-02-09,Netherlands,0,0,0,0,0,0
2020-02-10,Netherlands,0,0,0,0,0,0
2020-02-11,Netherlands,0,0,0,0,0,0
2020-02-12,Netherlands,0,0,0,0,0,0
2020-02-13,Netherlands,0,0,0,0,0,0
2020-02-14,Netherlands,0,0,0,0,0,0
2020-02-15,Netherlands,0,0,0,0,0,0
2020-02-16,Netherlands,0,0,0,0,0,0
2020-02-17,Netherlands,0,0,0,0,0,0
2020-02-18,Netherlands,0,0,0,0,0,0
2020-02-19,Netherlands,0,0,0,0,0,0
2020-02-20,Netherlands,0,0,0,0,0,0
2020-02-21,Netherlands,0,0,0,0,0,0
2020-02-22,Netherlands,0,0,0,0,0,0
2020-02-23,Netherlands,0,0,0,0,0,0
2020-02-24,Netherlands,0,0,0,0,0,0
2020-02-25,Netherlands,0,0,0,0,0,0
2020-02-26,Netherlands,0,0,0,0,0,0
2020-02-27,Netherlands,1,0,1,0,0,0
2020-02-28,Netherlands,6,0,5,0,1,0
2020-02-29,Netherlands,10,0,4,0,1,0
2020-03-01,Netherlands,18,0,8,0,3,0
2020-03-02,Netherlands,24,0,6,0,3,0
2020-03-03,Netherlands,38,0,14,0,5,0
2020-03-04,Netherlands,82,0,44,0,12,0
2020-03-05,Netherlands,128,0,46,0,18,0
2020-03-06,Netherlands,188,1,60,1,26,0
2020-03-07,Netherlands,265,1,77,0,36,0
2020-03-08,Netherlands,321,3,56,2,43,0
2020-03-09,Netherlands,382,3,61,0,51,0
2020-03-10,Netherlands,503,4,121,1,66,1
2020-03-11,Netherlands,603,5,100,1,74,1
2020-03-12,Netherlands,804,5,201,0,97,1
2020-03-13,Netherlands,961,10,157,5,110,1
2020-03-14,Netherlands,1138,12,177,2,125,2
2020-03-15,Netherlands,1416,20,278,8,156,2
2020-03-16,Netherlands,1708,24,292,4,189,3
2020-03-17,Netherlands,2057,43,349,19,222,6
2020-03-18,Netherlands,2467,58,410,15,266,8
2020-03-19,Netherlands,3001,77,534,19,314,10
2020-03-20,Netherlands,3640,107,639,30,383,14
2020-03-21,Netherlands,4213,137,573,30,439,18
2020-03-22,Netherlands,4762,180,549,43,478,23
2020-03-23,Netherlands,5575,214,813,34,552,27
2020-03-24,Netherlands,6432,277,857,63,625,33
2020-03-25,Netherlands,7457,357,1025,80,713,43
2020-03-26,Netherlands,8640,435,1183,78,806,51
2020-03-27,Netherlands,9806,547,1166,112,881,63
2020-03-28,Netherlands,10923,640,1117,93,959,72
2020-03-29,Netherlands,11814,772,891,132,1007,85
2020-03-30,Netherlands,12662,865,848,93,1012,93
2020-03-31,Netherlands,13686,1040,1024,175,1036,109
2020-04-01,Netherlands,14779,1175,1093,135,1046,117
2020-04-02,Netherlands,15814,1341,1035,166,1025,129
2020-04-03,Netherlands,16725,1490,911,149,988,135
2020-04-04,Netherlands,17951,1656,1226,166,1004,145
2020-04-05,Netherlands,18905,1771,954,115,1013,143
2020-04-06,Netherlands,19703,1874,798,103,1006,144
2020-04-07,Netherlands,20678,2108,975,234,999,153
2020-04-08,Netherlands,21895,2255,1217,147,1017,154
2020-04-09,Netherlands,23238,2403,1343,148,1061,152
2020-04-10,Netherlands,24565,2520,1327,117,1120,147
2020-04-11,Netherlands,25745,2653,1180,133,1113,142
2020-04-12,Netherlands,26710,2747,965,94,1115,139
2020-04-13,Netherlands,27578,2833,868,86,1125,137
2020-04-14,Netherlands,28314,2955,736,122,1091,121
2020-04-15,Netherlands,29377,3145,1063,190,1069,127
2020-04-16,Netherlands,30618,3327,1241,182,1054,132
2020-04-17,Netherlands,31759,3471,1141,144,1028,136
2020-04-18,Netherlands,32832,3613,1073,142,1012,137
2020-04-19,Netherlands,33588,3697,756,84,983,136
2020-04-20,Netherlands,34317,3764,729,67,963,133
2020-04-21,Netherlands,35025,3929,708,165,959,139
2020-04-22,Netherlands,35919,4068,894,139,935,132
2020-04-23,Netherlands,36727,4192,808,124,873,124
2020-04-24,Netherlands,37384,4304,657,112,804,119
2020-04-25,Netherlands,38039,4424,655,120,744,116
2020-04-26,Netherlands,38440,4491,401,67,693,113
2020-04-27,Netherlands,38611,4534,171,43,613,110
2020-04-28,Netherlands,38998,4582,387,48,568,93
2020-04-29,Netherlands,39512,4727,514,145,513,94
2020-04-30,Netherlands,39987,4811,475,84,466,88
2020-05-01,Netherlands,40434,4909,447,98,436,86
2020-05-02,Netherlands,40769,5003,335,94,390,83
2020-05-03,Netherlands,40968,5072,199,69,361,83
2020-05-04,Netherlands,41285,5098,317,26,382,81
2020-05-05,Netherlands,41518,5185,233,87,360,86
2020-05-06,Netherlands,41973,5221,455,36,352,71
2020-05-07,Netherlands,42292,5306,319,85,329,71
2020-05-08,Netherlands,42581,5377,289,71,307,67
2020-05-09,Netherlands,42826,5441,245,64,294,63
2020-05-10,Netherlands,42987,5459,161,18,288,55
2020-05-11,Netherlands,43183,5475,196,16,271,54
2020-05-12,Netherlands,43410,5529,227,54,270,49
2020-05-13,Netherlands,43680,5581,270,52,244,51
2020-05-14,Netherlands,43880,5609,200,28,227,43
2020-05-15,Netherlands,44069,5662,189,53,213,41
2020-05-16,Netherlands,44195,5689,126,27,196,35
2020-05-17,Netherlands,44341,5699,146,10,193,34
2020-05-18,Netherlands,44449,5713,108,14,181,34
2020-05-19,Netherlands,44647,5734,198,21,177,29
2020-05-20,Netherlands,44900,5767,253,33,174,27
2020-05-21,Netherlands,45088,5794,188,27,173,26
2020-05-22,Netherlands,45264,5807,176,13,171,21
2020-05-23,Netherlands,45437,5830,173,23,177,20
2020-05-24,Netherlands,45646,5841,209,11,186,20
2020-05-25,Netherlands,45780,5849,134,8,190,19
2020-05-26,Netherlands,45970,5875,190,26,189,20
2020-05-27,Netherlands,46152,5890,182,15,179,18
2020-05-28,Netherlands,46328,5922,176,32,177,18
2020-05-29,Netherlands,46459,5950,131,28,171,20
2020-05-30,Netherlands,46645,5970,186,20,173,20
2020-05-31,Netherlands,46748,5975,103,5,157,19
2020-06-01,Netherlands,46851,5981,103,6,153,19
2020-06-02,Netherlands,46938,5986,87,5,138,16
2020-06-03,Netherlands,47148,5996,210,10,142,15
2020-06-04,Netherlands,47358,6009,210,13,147,12
2020-06-05,Netherlands,47541,6024,183,15,155,11
2020-06-06,Netherlands,47780,6030,239,6,162,9
2020-06-07,Netherlands,47945,6032,165,2,171,8
2020-06-08,Netherlands,48109,6035,164,3,180,8
2020-06-09,Netherlands,48293,6050,184,15,194,9
2020-06-10,Netherlands,48458,6061,165,11,187,9
2020-06-11,Netherlands,48668,6063,210,2,187,8
2020-06-12,Netherlands,48847,6072,179,9,187,7
2020-06-13,Netherlands,48990,6076,143,4,173,7
2020-06-14,Netherlands,49155,6078,165,2,173,7
2020-06-15,Netherlands,49294,6084,139,6,169,7
2020-06-16,Netherlands,49412,6089,118,5,160,6
2020-06-17,Netherlands,49527,6093,115,4,153,5
2020-06-18,Netherlands,49634,6097,107,4,138,5
2020-06-19,Netherlands,49710,6100,76,3,123,4
2020-06-20,Netherlands,49801,6108,91,8,116,5
2020-06-21,Netherlands,49866,6109,65,1,102,4
2020-06-22,Netherlands,49930,6109,64,0,91,4
2020-06-23,Netherlands,50012,6114,82,5,86,4
2020-06-24,Netherlands,50122,6116,110,2,85,3
2020-06-25,Netherlands,50213,6119,91,3,83,3
2020-06-26,Netherlands,50282,6122,69,3,82,3
2020-06-27,Netherlands,50355,6124,73,2,79,2
2020-06-28,Netherlands,50431,6124,76,0,81,2
2020-06-29,Netherlands,50483,6126,52,2,79,2
2020-06-30,Netherlands,50545,6132,62,6,76,3
2020-07-01,Netherlands,50622,6134,77,2,71,3
2020-07-02,Netherlands,50698,6137,76,3,69,3
2020-07-03,Netherlands,50759,6139,61,2,68,2
2020-07-04,Netherlands,50834,6145,75,6,68,3
2020-07-05,Netherlands,50870,6146,36,1,63,3
2020-07-06,Netherlands,50907,6147,37,1,61,3
2020-07-07,Netherlands,50959,6151,52,4,59,3
2020-07-08,Netherlands,51011,6154,52,3,56,3
2020-07-09,Netherlands,51055,6156,44,2,51,3
