Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,New Zealand,0,0,0,0,0,0
2020-01-23,New Zealand,0,0,0,0,0,0
2020-01-24,New Zealand,0,0,0,0,0,0
2020-01-25,New Zealand,0,0,0,0,0,0
2020-01-26,New Zealand,0,0,0,0,0,0
2020-01-27,New Zealand,0,0,0,0,0,0
2020-01-28,New Zealand,0,0,0,0,0,0
2020-01-29,New Zealand,0,0,0,0,0,0
2020-01-30,New Zealand,0,0,0,0,0,0
2020-01-31,New Zealand,0,0,0,0,0,0
2020-02-01,New Zealand,0,0,0,0,0,0
2020-02-02,New Zealand,0,0,0,0,0,0
2020-02-03,New Zealand,0,0,0,0,0,0
2020-02-04,New Zealand,0,0,0,0,0,0
2020-02-05,New Zealand,0,0,0,0,0,0
2020-02-06,New Zealand,0,0,0,0,0,0
2020-02-07,New Zealand,0,0,0,0,0,0
2020-02-08,New Zealand,0,0,0,0,0,0
2020-02-09,New Zealand,0,0,0,0,0,0
2020-02-10,New Zealand,0,0,0,0,0,0
2020-02-11,New Zealand,0,0,0,0,0,0
2020-02-12,New Zealand,0,0,0,0,0,0
2020-02-13,New Zealand,0,0,0,0,0,0
2020-02-14,New Zealand,0,0,0,0,0,0
2020-02-15,New Zealand,0,0,0,0,0,0
2020-02-16,New Zealand,0,0,0,0,0,0
2020-02-17,New Zealand,0,0,0,0,0,0
2020-02-18,New Zealand,0,0,0,0,0,0
2020-02-19,New Zealand,0,0,0,0,0,0
2020-02-20,New Zealand,0,0,0,0,0,0
2020-02-21,New Zealand,0,0,0,0,0,0
2020-02-22,New Zealand,0,0,0,0,0,0
2020-02-23,New Zealand,0,0,0,0,0,0
2020-02-24,New Zealand,0,0,0,0,0,0
2020-02-25,New Zealand,0,0,0,0,0,0
2020-02-26,New Zealand,0,0,0,0,0,0
2020-02-27,New Zealand,0,0,0,0,0,0
2020-02-28,New Zealand,1,0,1,0,0,0
2020-02-29,New Zealand,1,0,0,0,0,0
2020-03-01,New Zealand,1,0,0,0,0,0
2020-03-02,New Zealand,1,0,0,0,0,0
2020-03-03,New Zealand,1,0,0,0,0,0
2020-03-04,New Zealand,3,0,2,0,0,0
2020-03-05,New Zealand,3,0,0,0,0,0
2020-03-06,New Zealand,4,0,1,0,0,0
2020-03-07,New Zealand,5,0,1,0,1,0
2020-03-08,New Zealand,5,0,0,0,1,0
2020-03-09,New Zealand,5,0,0,0,1,0
2020-03-10,New Zealand,5,0,0,0,1,0
2020-03-11,New Zealand,5,0,0,0,0,0
2020-03-12,New Zealand,5,0,0,0,0,0
2020-03-13,New Zealand,5,0,0,0,0,0
2020-03-14,New Zealand,6,0,1,0,0,0
2020-03-15,New Zealand,8,0,2,0,0,0
2020-03-16,New Zealand,8,0,0,0,0,0
2020-03-17,New Zealand,12,0,4,0,1,0
2020-03-18,New Zealand,20,0,8,0,2,0
2020-03-19,New Zealand,28,0,8,0,3,0
2020-03-20,New Zealand,39,0,11,0,5,0
2020-03-21,New Zealand,52,0,13,0,7,0
2020-03-22,New Zealand,102,0,50,0,13,0
2020-03-23,New Zealand,102,0,0,0,13,0
2020-03-24,New Zealand,155,0,53,0,20,0
2020-03-25,New Zealand,205,0,50,0,26,0
2020-03-26,New Zealand,283,0,78,0,36,0
2020-03-27,New Zealand,368,0,85,0,47,0
2020-03-28,New Zealand,451,0,83,0,57,0
2020-03-29,New Zealand,514,1,63,1,59,0
2020-03-30,New Zealand,589,1,75,0,70,0
2020-03-31,New Zealand,647,1,58,0,70,0
2020-04-01,New Zealand,708,1,61,0,72,0
2020-04-02,New Zealand,797,1,89,0,73,0
2020-04-03,New Zealand,868,1,71,0,71,0
2020-04-04,New Zealand,950,1,82,0,71,0
2020-04-05,New Zealand,1039,1,89,0,75,0
2020-04-06,New Zealand,1106,1,67,0,74,0
2020-04-07,New Zealand,1160,1,54,0,73,0
2020-04-08,New Zealand,1210,1,50,0,72,0
2020-04-09,New Zealand,1239,1,29,0,63,0
2020-04-10,New Zealand,1283,2,44,1,59,0
2020-04-11,New Zealand,1312,4,29,2,52,0
2020-04-12,New Zealand,1330,4,18,0,42,0
2020-04-13,New Zealand,1349,5,19,1,35,1
2020-04-14,New Zealand,1366,9,17,4,29,1
2020-04-15,New Zealand,1386,9,20,0,25,1
2020-04-16,New Zealand,1401,9,15,0,23,1
2020-04-17,New Zealand,1409,11,8,2,18,1
2020-04-18,New Zealand,1422,11,13,0,16,1
