Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Nicaragua,0,0,0,0,0,0
2020-01-23,Nicaragua,0,0,0,0,0,0
2020-01-24,Nicaragua,0,0,0,0,0,0
2020-01-25,Nicaragua,0,0,0,0,0,0
2020-01-26,Nicaragua,0,0,0,0,0,0
2020-01-27,Nicaragua,0,0,0,0,0,0
2020-01-28,Nicaragua,0,0,0,0,0,0
2020-01-29,Nicaragua,0,0,0,0,0,0
2020-01-30,Nicaragua,0,0,0,0,0,0
2020-01-31,Nicaragua,0,0,0,0,0,0
2020-02-01,Nicaragua,0,0,0,0,0,0
2020-02-02,Nicaragua,0,0,0,0,0,0
2020-02-03,Nicaragua,0,0,0,0,0,0
2020-02-04,Nicaragua,0,0,0,0,0,0
2020-02-05,Nicaragua,0,0,0,0,0,0
2020-02-06,Nicaragua,0,0,0,0,0,0
2020-02-07,Nicaragua,0,0,0,0,0,0
2020-02-08,Nicaragua,0,0,0,0,0,0
2020-02-09,Nicaragua,0,0,0,0,0,0
2020-02-10,Nicaragua,0,0,0,0,0,0
2020-02-11,Nicaragua,0,0,0,0,0,0
2020-02-12,Nicaragua,0,0,0,0,0,0
2020-02-13,Nicaragua,0,0,0,0,0,0
2020-02-14,Nicaragua,0,0,0,0,0,0
2020-02-15,Nicaragua,0,0,0,0,0,0
2020-02-16,Nicaragua,0,0,0,0,0,0
2020-02-17,Nicaragua,0,0,0,0,0,0
2020-02-18,Nicaragua,0,0,0,0,0,0
2020-02-19,Nicaragua,0,0,0,0,0,0
2020-02-20,Nicaragua,0,0,0,0,0,0
2020-02-21,Nicaragua,0,0,0,0,0,0
2020-02-22,Nicaragua,0,0,0,0,0,0
2020-02-23,Nicaragua,0,0,0,0,0,0
2020-02-24,Nicaragua,0,0,0,0,0,0
2020-02-25,Nicaragua,0,0,0,0,0,0
2020-02-26,Nicaragua,0,0,0,0,0,0
2020-02-27,Nicaragua,0,0,0,0,0,0
2020-02-28,Nicaragua,0,0,0,0,0,0
2020-02-29,Nicaragua,0,0,0,0,0,0
2020-03-01,Nicaragua,0,0,0,0,0,0
2020-03-02,Nicaragua,0,0,0,0,0,0
2020-03-03,Nicaragua,0,0,0,0,0,0
2020-03-04,Nicaragua,0,0,0,0,0,0
2020-03-05,Nicaragua,0,0,0,0,0,0
2020-03-06,Nicaragua,0,0,0,0,0,0
2020-03-07,Nicaragua,0,0,0,0,0,0
2020-03-08,Nicaragua,0,0,0,0,0,0
2020-03-09,Nicaragua,0,0,0,0,0,0
2020-03-10,Nicaragua,0,0,0,0,0,0
2020-03-11,Nicaragua,0,0,0,0,0,0
2020-03-12,Nicaragua,0,0,0,0,0,0
2020-03-13,Nicaragua,0,0,0,0,0,0
2020-03-14,Nicaragua,0,0,0,0,0,0
2020-03-15,Nicaragua,0,0,0,0,0,0
2020-03-16,Nicaragua,0,0,0,0,0,0
2020-03-17,Nicaragua,0,0,0,0,0,0
2020-03-18,Nicaragua,0,0,0,0,0,0
2020-03-19,Nicaragua,1,0,1,0,0,0
2020-03-20,Nicaragua,1,0,0,0,0,0
2020-03-21,Nicaragua,2,0,1,0,0,0
2020-03-22,Nicaragua,2,0,0,0,0,0
2020-03-23,Nicaragua,2,0,0,0,0,0
2020-03-24,Nicaragua,2,0,0,0,0,0
2020-03-25,Nicaragua,2,0,0,0,0,0
2020-03-26,Nicaragua,2,0,0,0,0,0
2020-03-27,Nicaragua,2,1,0,1,0,0
2020-03-28,Nicaragua,4,1,2,0,0,0
2020-03-29,Nicaragua,4,1,0,0,0,0
2020-03-30,Nicaragua,4,1,0,0,0,0
2020-03-31,Nicaragua,5,1,1,0,0,0
2020-04-01,Nicaragua,5,1,0,0,0,0
2020-04-02,Nicaragua,5,1,0,0,0,0
2020-04-03,Nicaragua,5,1,0,0,0,0
2020-04-04,Nicaragua,5,1,0,0,0,0
2020-04-05,Nicaragua,6,1,1,0,0,0
2020-04-06,Nicaragua,6,1,0,0,0,0
2020-04-07,Nicaragua,6,1,0,0,0,0
2020-04-08,Nicaragua,6,1,0,0,0,0
2020-04-09,Nicaragua,7,1,1,0,0,0
2020-04-10,Nicaragua,7,1,0,0,0,0
2020-04-11,Nicaragua,8,1,1,0,0,0
2020-04-12,Nicaragua,9,1,1,0,0,0
2020-04-13,Nicaragua,9,1,0,0,0,0
2020-04-14,Nicaragua,9,1,0,0,0,0
2020-04-15,Nicaragua,9,1,0,0,0,0
2020-04-16,Nicaragua,9,1,0,0,0,0
2020-04-17,Nicaragua,9,1,0,0,0,0
2020-04-18,Nicaragua,9,2,0,1,0,0
2020-04-19,Nicaragua,10,2,1,0,0,0
2020-04-20,Nicaragua,10,2,0,0,0,0
2020-04-21,Nicaragua,10,2,0,0,0,0
2020-04-22,Nicaragua,10,2,0,0,0,0
2020-04-23,Nicaragua,11,3,1,1,0,0
2020-04-24,Nicaragua,11,3,0,0,0,0
2020-04-25,Nicaragua,12,3,1,0,0,0
2020-04-26,Nicaragua,13,3,1,0,0,0
2020-04-27,Nicaragua,13,3,0,0,0,0
2020-04-28,Nicaragua,13,3,0,0,0,0
2020-04-29,Nicaragua,13,3,0,0,0,0
2020-04-30,Nicaragua,14,3,1,0,0,0
2020-05-01,Nicaragua,14,3,0,0,0,0
2020-05-02,Nicaragua,14,3,0,0,0,0
2020-05-03,Nicaragua,15,5,1,2,0,0
2020-05-04,Nicaragua,15,5,0,0,0,0
2020-05-05,Nicaragua,16,5,1,0,0,0
2020-05-06,Nicaragua,16,5,0,0,0,0
2020-05-07,Nicaragua,16,5,0,0,0,0
2020-05-08,Nicaragua,16,5,0,0,0,0
2020-05-09,Nicaragua,16,5,0,0,0,0
2020-05-10,Nicaragua,16,5,0,0,0,0
2020-05-11,Nicaragua,16,5,0,0,0,0
2020-05-12,Nicaragua,25,8,9,3,1,0
2020-05-13,Nicaragua,25,8,0,0,1,0
2020-05-14,Nicaragua,25,8,0,0,1,0
2020-05-15,Nicaragua,25,8,0,0,1,0
2020-05-16,Nicaragua,25,8,0,0,1,0
2020-05-17,Nicaragua,25,8,0,0,1,0
2020-05-18,Nicaragua,25,8,0,0,1,0
2020-05-19,Nicaragua,254,17,229,9,33,1
2020-05-20,Nicaragua,254,17,0,0,33,1
2020-05-21,Nicaragua,279,17,25,0,36,1
2020-05-22,Nicaragua,279,17,0,0,36,1
2020-05-23,Nicaragua,279,17,0,0,36,1
2020-05-24,Nicaragua,279,17,0,0,36,1
2020-05-25,Nicaragua,279,17,0,0,36,1
2020-05-26,Nicaragua,759,35,480,18,72,3
2020-05-27,Nicaragua,759,35,0,0,72,3
2020-05-28,Nicaragua,759,35,0,0,69,3
2020-05-29,Nicaragua,759,35,0,0,69,3
2020-05-30,Nicaragua,759,35,0,0,69,3
2020-05-31,Nicaragua,759,35,0,0,69,3
2020-06-01,Nicaragua,759,35,0,0,69,3
2020-06-02,Nicaragua,1118,46,359,11,51,2
2020-06-03,Nicaragua,1118,46,0,0,51,2
2020-06-04,Nicaragua,1118,46,0,0,51,2
2020-06-05,Nicaragua,1118,46,0,0,51,2
2020-06-06,Nicaragua,1118,46,0,0,51,2
2020-06-07,Nicaragua,1118,46,0,0,51,2
2020-06-08,Nicaragua,1118,46,0,0,51,2
2020-06-09,Nicaragua,1464,55,346,9,49,1
2020-06-10,Nicaragua,1464,55,0,0,49,1
2020-06-11,Nicaragua,1464,55,0,0,49,1
2020-06-12,Nicaragua,1464,55,0,0,49,1
2020-06-13,Nicaragua,1464,55,0,0,49,1
2020-06-14,Nicaragua,1464,55,0,0,49,1
2020-06-15,Nicaragua,1464,55,0,0,49,1
2020-06-16,Nicaragua,1823,64,359,9,51,1
2020-06-17,Nicaragua,1823,64,0,0,51,1
2020-06-18,Nicaragua,1823,64,0,0,51,1
2020-06-19,Nicaragua,1823,64,0,0,51,1
2020-06-20,Nicaragua,1823,64,0,0,51,1
2020-06-21,Nicaragua,1823,64,0,0,51,1
2020-06-22,Nicaragua,1823,64,0,0,51,1
2020-06-23,Nicaragua,2170,74,347,10,50,1
2020-06-24,Nicaragua,2170,74,0,0,50,1
2020-06-25,Nicaragua,2170,74,0,0,50,1
2020-06-26,Nicaragua,2170,74,0,0,50,1
2020-06-27,Nicaragua,2170,74,0,0,50,1
2020-06-28,Nicaragua,2170,74,0,0,50,1
2020-06-29,Nicaragua,2170,74,0,0,50,1
2020-06-30,Nicaragua,2519,83,349,9,50,1
2020-07-01,Nicaragua,2519,83,0,0,50,1
2020-07-02,Nicaragua,2519,83,0,0,50,1
2020-07-03,Nicaragua,2519,83,0,0,50,1
2020-07-04,Nicaragua,2519,83,0,0,50,1
2020-07-05,Nicaragua,2519,83,0,0,50,1
2020-07-06,Nicaragua,2519,83,0,0,50,1
2020-07-07,Nicaragua,2846,91,327,8,47,1
2020-07-08,Nicaragua,2846,91,0,0,47,1
2020-07-09,Nicaragua,2846,91,0,0,47,1
2020-07-10,Nicaragua,2846,91,0,0,47,1
2020-07-11,Nicaragua,2846,91,0,0,47,1
2020-07-12,Nicaragua,2846,91,0,0,47,1
2020-07-13,Nicaragua,2846,91,0,0,47,1
2020-07-14,Nicaragua,3147,99,301,8,43,1
2020-07-15,Nicaragua,3147,99,0,0,43,1
2020-07-16,Nicaragua,3147,99,0,0,43,1
2020-07-17,Nicaragua,3147,99,0,0,43,1
2020-07-18,Nicaragua,3147,99,0,0,43,1
2020-07-19,Nicaragua,3147,99,0,0,43,1
2020-07-20,Nicaragua,3147,99,0,0,43,1
2020-07-21,Nicaragua,3439,108,292,9,42,1
2020-07-22,Nicaragua,3439,108,0,0,42,1
2020-07-23,Nicaragua,3439,108,0,0,42,1
2020-07-24,Nicaragua,3439,108,0,0,42,1
2020-07-25,Nicaragua,3439,108,0,0,42,1
2020-07-26,Nicaragua,3439,108,0,0,42,1
2020-07-27,Nicaragua,3439,108,0,0,42,1
2020-07-28,Nicaragua,3672,116,233,8,33,1
2020-07-29,Nicaragua,3672,116,0,0,33,1
2020-07-30,Nicaragua,3672,116,0,0,33,1
2020-07-31,Nicaragua,3672,116,0,0,33,1
2020-08-01,Nicaragua,3672,116,0,0,33,1
2020-08-02,Nicaragua,3672,116,0,0,33,1
2020-08-03,Nicaragua,3672,116,0,0,33,1
2020-08-04,Nicaragua,3902,123,230,7,33,1
2020-08-05,Nicaragua,3902,123,0,0,33,1
2020-08-06,Nicaragua,3902,123,0,0,33,1
2020-08-07,Nicaragua,3902,123,0,0,33,1
2020-08-08,Nicaragua,3902,123,0,0,33,1
2020-08-09,Nicaragua,3902,123,0,0,33,1
2020-08-10,Nicaragua,3902,123,0,0,33,1
