Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Niger,0,0,0,0,0,0
2020-01-23,Niger,0,0,0,0,0,0
2020-01-24,Niger,0,0,0,0,0,0
2020-01-25,Niger,0,0,0,0,0,0
2020-01-26,Niger,0,0,0,0,0,0
2020-01-27,Niger,0,0,0,0,0,0
2020-01-28,Niger,0,0,0,0,0,0
2020-01-29,Niger,0,0,0,0,0,0
2020-01-30,Niger,0,0,0,0,0,0
2020-01-31,Niger,0,0,0,0,0,0
2020-02-01,Niger,0,0,0,0,0,0
2020-02-02,Niger,0,0,0,0,0,0
2020-02-03,Niger,0,0,0,0,0,0
2020-02-04,Niger,0,0,0,0,0,0
2020-02-05,Niger,0,0,0,0,0,0
2020-02-06,Niger,0,0,0,0,0,0
2020-02-07,Niger,0,0,0,0,0,0
2020-02-08,Niger,0,0,0,0,0,0
2020-02-09,Niger,0,0,0,0,0,0
2020-02-10,Niger,0,0,0,0,0,0
2020-02-11,Niger,0,0,0,0,0,0
2020-02-12,Niger,0,0,0,0,0,0
2020-02-13,Niger,0,0,0,0,0,0
2020-02-14,Niger,0,0,0,0,0,0
2020-02-15,Niger,0,0,0,0,0,0
2020-02-16,Niger,0,0,0,0,0,0
2020-02-17,Niger,0,0,0,0,0,0
2020-02-18,Niger,0,0,0,0,0,0
2020-02-19,Niger,0,0,0,0,0,0
2020-02-20,Niger,0,0,0,0,0,0
2020-02-21,Niger,0,0,0,0,0,0
2020-02-22,Niger,0,0,0,0,0,0
2020-02-23,Niger,0,0,0,0,0,0
2020-02-24,Niger,0,0,0,0,0,0
2020-02-25,Niger,0,0,0,0,0,0
2020-02-26,Niger,0,0,0,0,0,0
2020-02-27,Niger,0,0,0,0,0,0
2020-02-28,Niger,0,0,0,0,0,0
2020-02-29,Niger,0,0,0,0,0,0
2020-03-01,Niger,0,0,0,0,0,0
2020-03-02,Niger,0,0,0,0,0,0
2020-03-03,Niger,0,0,0,0,0,0
2020-03-04,Niger,0,0,0,0,0,0
2020-03-05,Niger,0,0,0,0,0,0
2020-03-06,Niger,0,0,0,0,0,0
2020-03-07,Niger,0,0,0,0,0,0
2020-03-08,Niger,0,0,0,0,0,0
2020-03-09,Niger,0,0,0,0,0,0
2020-03-10,Niger,0,0,0,0,0,0
2020-03-11,Niger,0,0,0,0,0,0
2020-03-12,Niger,0,0,0,0,0,0
2020-03-13,Niger,0,0,0,0,0,0
2020-03-14,Niger,0,0,0,0,0,0
2020-03-15,Niger,0,0,0,0,0,0
2020-03-16,Niger,0,0,0,0,0,0
2020-03-17,Niger,0,0,0,0,0,0
2020-03-18,Niger,0,0,0,0,0,0
2020-03-19,Niger,0,0,0,0,0,0
2020-03-20,Niger,1,0,1,0,0,0
2020-03-21,Niger,1,0,0,0,0,0
2020-03-22,Niger,2,0,1,0,0,0
2020-03-23,Niger,3,0,1,0,0,0
2020-03-24,Niger,3,0,0,0,0,0
2020-03-25,Niger,7,1,4,1,1,0
2020-03-26,Niger,10,1,3,0,1,0
2020-03-27,Niger,10,1,0,0,1,0
2020-03-28,Niger,10,1,0,0,1,0
2020-03-29,Niger,18,1,8,0,2,0
