Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Nigeria,0,0,0,0,0,0
2020-01-23,Nigeria,0,0,0,0,0,0
2020-01-24,Nigeria,0,0,0,0,0,0
2020-01-25,Nigeria,0,0,0,0,0,0
2020-01-26,Nigeria,0,0,0,0,0,0
2020-01-27,Nigeria,0,0,0,0,0,0
2020-01-28,Nigeria,0,0,0,0,0,0
2020-01-29,Nigeria,0,0,0,0,0,0
2020-01-30,Nigeria,0,0,0,0,0,0
2020-01-31,Nigeria,0,0,0,0,0,0
2020-02-01,Nigeria,0,0,0,0,0,0
2020-02-02,Nigeria,0,0,0,0,0,0
2020-02-03,Nigeria,0,0,0,0,0,0
2020-02-04,Nigeria,0,0,0,0,0,0
2020-02-05,Nigeria,0,0,0,0,0,0
2020-02-06,Nigeria,0,0,0,0,0,0
2020-02-07,Nigeria,0,0,0,0,0,0
2020-02-08,Nigeria,0,0,0,0,0,0
2020-02-09,Nigeria,0,0,0,0,0,0
2020-02-10,Nigeria,0,0,0,0,0,0
2020-02-11,Nigeria,0,0,0,0,0,0
2020-02-12,Nigeria,0,0,0,0,0,0
2020-02-13,Nigeria,0,0,0,0,0,0
2020-02-14,Nigeria,0,0,0,0,0,0
2020-02-15,Nigeria,0,0,0,0,0,0
2020-02-16,Nigeria,0,0,0,0,0,0
2020-02-17,Nigeria,0,0,0,0,0,0
2020-02-18,Nigeria,0,0,0,0,0,0
2020-02-19,Nigeria,0,0,0,0,0,0
2020-02-20,Nigeria,0,0,0,0,0,0
2020-02-21,Nigeria,0,0,0,0,0,0
2020-02-22,Nigeria,0,0,0,0,0,0
2020-02-23,Nigeria,0,0,0,0,0,0
2020-02-24,Nigeria,0,0,0,0,0,0
2020-02-25,Nigeria,0,0,0,0,0,0
2020-02-26,Nigeria,0,0,0,0,0,0
2020-02-27,Nigeria,0,0,0,0,0,0
2020-02-28,Nigeria,1,0,1,0,0,0
2020-02-29,Nigeria,1,0,0,0,0,0
2020-03-01,Nigeria,1,0,0,0,0,0
2020-03-02,Nigeria,1,0,0,0,0,0
2020-03-03,Nigeria,1,0,0,0,0,0
2020-03-04,Nigeria,1,0,0,0,0,0
2020-03-05,Nigeria,1,0,0,0,0,0
2020-03-06,Nigeria,1,0,0,0,0,0
2020-03-07,Nigeria,1,0,0,0,0,0
2020-03-08,Nigeria,1,0,0,0,0,0
2020-03-09,Nigeria,2,0,1,0,0,0
2020-03-10,Nigeria,2,0,0,0,0,0
2020-03-11,Nigeria,2,0,0,0,0,0
2020-03-12,Nigeria,2,0,0,0,0,0
2020-03-13,Nigeria,2,0,0,0,0,0
2020-03-14,Nigeria,2,0,0,0,0,0
2020-03-15,Nigeria,2,0,0,0,0,0
2020-03-16,Nigeria,2,0,0,0,0,0
2020-03-17,Nigeria,3,0,1,0,0,0
2020-03-18,Nigeria,8,0,5,0,1,0
2020-03-19,Nigeria,8,0,0,0,1,0
2020-03-20,Nigeria,12,0,4,0,1,0
2020-03-21,Nigeria,22,0,10,0,3,0
2020-03-22,Nigeria,30,0,8,0,4,0
2020-03-23,Nigeria,40,1,10,1,5,0
2020-03-24,Nigeria,44,1,4,0,6,0
2020-03-25,Nigeria,51,1,7,0,6,0
2020-03-26,Nigeria,65,1,14,0,8,0
2020-03-27,Nigeria,70,1,5,0,8,0
2020-03-28,Nigeria,89,1,19,0,10,0
2020-03-29,Nigeria,111,1,22,0,12,0
2020-03-30,Nigeria,131,2,20,1,13,0
2020-03-31,Nigeria,135,2,4,0,13,0
2020-04-01,Nigeria,174,2,39,0,18,0
2020-04-02,Nigeria,184,2,10,0,17,0
2020-04-03,Nigeria,210,4,26,2,20,0
2020-04-04,Nigeria,214,4,4,0,18,0
2020-04-05,Nigeria,232,5,18,1,17,1
2020-04-06,Nigeria,238,5,6,0,15,0
2020-04-07,Nigeria,254,6,16,1,17,1
2020-04-08,Nigeria,276,6,22,0,15,1
2020-04-09,Nigeria,288,7,12,1,15,1
2020-04-10,Nigeria,305,7,17,0,14,0
2020-04-11,Nigeria,318,10,13,3,15,1
2020-04-12,Nigeria,323,10,5,0,13,1
2020-04-13,Nigeria,343,10,20,0,15,1
2020-04-14,Nigeria,373,11,30,1,17,1
2020-04-15,Nigeria,407,12,34,1,19,1
2020-04-16,Nigeria,442,13,35,1,22,1
2020-04-17,Nigeria,493,17,51,4,27,1
2020-04-18,Nigeria,542,19,49,2,32,1
2020-04-19,Nigeria,627,21,85,2,43,2
2020-04-20,Nigeria,665,22,38,1,46,2
2020-04-21,Nigeria,665,22,0,0,42,2
2020-04-22,Nigeria,873,28,208,6,67,2
2020-04-23,Nigeria,981,31,108,3,77,3
2020-04-24,Nigeria,1095,32,114,1,86,2
2020-04-25,Nigeria,1182,35,87,3,91,2
2020-04-26,Nigeria,1273,40,91,5,92,3
2020-04-27,Nigeria,1337,40,64,0,96,3
2020-04-28,Nigeria,1532,44,195,4,124,3
2020-04-29,Nigeria,1728,51,196,7,122,3
2020-04-30,Nigeria,1932,58,204,7,136,4
2020-05-01,Nigeria,2170,68,238,10,154,5
2020-05-02,Nigeria,2388,85,218,17,172,7
2020-05-03,Nigeria,2558,87,170,2,184,7
2020-05-04,Nigeria,2802,93,244,6,209,8
2020-05-05,Nigeria,2950,98,148,5,203,8
2020-05-06,Nigeria,3145,103,195,5,202,7
2020-05-07,Nigeria,3526,107,381,4,228,7
2020-05-08,Nigeria,3912,117,386,10,249,7
2020-05-09,Nigeria,4151,128,239,11,252,6
2020-05-10,Nigeria,4399,143,248,15,263,8
2020-05-11,Nigeria,4641,150,242,7,263,8
2020-05-12,Nigeria,4787,158,146,8,262,9
2020-05-13,Nigeria,4971,164,184,6,261,9
2020-05-14,Nigeria,5162,167,191,3,234,9
2020-05-15,Nigeria,5450,171,288,4,220,8
2020-05-16,Nigeria,5621,176,171,5,210,7
2020-05-17,Nigeria,5959,182,338,6,223,6
2020-05-18,Nigeria,6175,191,216,9,219,6
2020-05-19,Nigeria,6401,192,226,1,231,5
2020-05-20,Nigeria,6677,200,276,8,244,5
2020-05-21,Nigeria,7016,211,339,11,265,6
2020-05-22,Nigeria,7261,221,245,10,259,7
2020-05-23,Nigeria,7526,221,265,0,272,6
2020-05-24,Nigeria,7839,226,313,5,269,6
2020-05-25,Nigeria,8068,233,229,7,270,6
2020-05-26,Nigeria,8344,249,276,16,278,8
2020-05-27,Nigeria,8733,254,389,5,294,8
2020-05-28,Nigeria,8915,259,182,5,271,7
2020-05-29,Nigeria,9302,261,387,2,292,6
2020-05-30,Nigeria,9855,273,553,12,333,7
2020-05-31,Nigeria,10162,287,307,14,332,9
2020-06-01,Nigeria,10578,299,416,12,359,9
2020-06-02,Nigeria,10819,314,241,15,354,9
2020-06-03,Nigeria,11166,315,347,1,348,9
2020-06-04,Nigeria,11516,323,350,8,372,9
2020-06-05,Nigeria,11844,333,328,10,363,10
2020-06-06,Nigeria,12233,342,389,9,340,10
2020-06-07,Nigeria,12486,354,253,12,332,10
2020-06-08,Nigeria,12801,361,315,7,318,9
2020-06-09,Nigeria,13464,365,663,4,378,7
2020-06-10,Nigeria,13873,382,409,17,387,10
2020-06-11,Nigeria,14554,387,681,5,434,9
2020-06-12,Nigeria,15181,399,627,12,477,9
2020-06-13,Nigeria,15682,407,501,8,493,9
2020-06-14,Nigeria,16085,420,403,13,514,9
2020-06-15,Nigeria,16658,424,573,4,551,9
2020-06-16,Nigeria,17148,455,490,31,526,13
2020-06-17,Nigeria,17735,469,587,14,552,12
2020-06-18,Nigeria,18480,475,745,6,561,13
2020-06-19,Nigeria,19147,487,667,12,567,13
2020-06-20,Nigeria,19808,506,661,19,589,14
2020-06-21,Nigeria,20244,518,436,12,594,14
2020-06-22,Nigeria,20919,525,675,7,609,14
2020-06-23,Nigeria,21371,533,452,8,603,11
2020-06-24,Nigeria,22020,542,649,9,612,10
2020-06-25,Nigeria,22614,549,594,7,591,11
2020-06-26,Nigeria,23298,554,684,5,593,10
2020-06-27,Nigeria,24077,558,779,4,610,7
2020-06-28,Nigeria,24567,565,490,7,618,7
2020-06-29,Nigeria,25133,573,566,8,602,7
2020-06-30,Nigeria,25694,590,561,17,618,8
2020-07-01,Nigeria,26484,603,790,13,638,9
2020-07-02,Nigeria,27110,616,626,13,642,10
2020-07-03,Nigeria,27564,628,454,12,609,11
2020-07-04,Nigeria,28167,634,603,6,584,11
2020-07-05,Nigeria,28711,645,544,11,592,11
