Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,North Macedonia,0,0,0,0,0,0
2020-01-23,North Macedonia,0,0,0,0,0,0
2020-01-24,North Macedonia,0,0,0,0,0,0
2020-01-25,North Macedonia,0,0,0,0,0,0
2020-01-26,North Macedonia,0,0,0,0,0,0
2020-01-27,North Macedonia,0,0,0,0,0,0
2020-01-28,North Macedonia,0,0,0,0,0,0
2020-01-29,North Macedonia,0,0,0,0,0,0
2020-01-30,North Macedonia,0,0,0,0,0,0
2020-01-31,North Macedonia,0,0,0,0,0,0
2020-02-01,North Macedonia,0,0,0,0,0,0
2020-02-02,North Macedonia,0,0,0,0,0,0
2020-02-03,North Macedonia,0,0,0,0,0,0
2020-02-04,North Macedonia,0,0,0,0,0,0
2020-02-05,North Macedonia,0,0,0,0,0,0
2020-02-06,North Macedonia,0,0,0,0,0,0
2020-02-07,North Macedonia,0,0,0,0,0,0
2020-02-08,North Macedonia,0,0,0,0,0,0
2020-02-09,North Macedonia,0,0,0,0,0,0
2020-02-10,North Macedonia,0,0,0,0,0,0
2020-02-11,North Macedonia,0,0,0,0,0,0
2020-02-12,North Macedonia,0,0,0,0,0,0
2020-02-13,North Macedonia,0,0,0,0,0,0
2020-02-14,North Macedonia,0,0,0,0,0,0
2020-02-15,North Macedonia,0,0,0,0,0,0
2020-02-16,North Macedonia,0,0,0,0,0,0
2020-02-17,North Macedonia,0,0,0,0,0,0
2020-02-18,North Macedonia,0,0,0,0,0,0
2020-02-19,North Macedonia,0,0,0,0,0,0
2020-02-20,North Macedonia,0,0,0,0,0,0
2020-02-21,North Macedonia,0,0,0,0,0,0
2020-02-22,North Macedonia,0,0,0,0,0,0
2020-02-23,North Macedonia,0,0,0,0,0,0
2020-02-24,North Macedonia,0,0,0,0,0,0
2020-02-25,North Macedonia,0,0,0,0,0,0
2020-02-26,North Macedonia,1,0,1,0,0,0
2020-02-27,North Macedonia,1,0,0,0,0,0
2020-02-28,North Macedonia,1,0,0,0,0,0
2020-02-29,North Macedonia,1,0,0,0,0,0
