Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Norway,0,0,0,0,0,0
2020-01-23,Norway,0,0,0,0,0,0
2020-01-24,Norway,0,0,0,0,0,0
2020-01-25,Norway,0,0,0,0,0,0
2020-01-26,Norway,0,0,0,0,0,0
2020-01-27,Norway,0,0,0,0,0,0
2020-01-28,Norway,0,0,0,0,0,0
2020-01-29,Norway,0,0,0,0,0,0
2020-01-30,Norway,0,0,0,0,0,0
2020-01-31,Norway,0,0,0,0,0,0
2020-02-01,Norway,0,0,0,0,0,0
2020-02-02,Norway,0,0,0,0,0,0
2020-02-03,Norway,0,0,0,0,0,0
2020-02-04,Norway,0,0,0,0,0,0
2020-02-05,Norway,0,0,0,0,0,0
2020-02-06,Norway,0,0,0,0,0,0
2020-02-07,Norway,0,0,0,0,0,0
2020-02-08,Norway,0,0,0,0,0,0
2020-02-09,Norway,0,0,0,0,0,0
2020-02-10,Norway,0,0,0,0,0,0
2020-02-11,Norway,0,0,0,0,0,0
2020-02-12,Norway,0,0,0,0,0,0
2020-02-13,Norway,0,0,0,0,0,0
2020-02-14,Norway,0,0,0,0,0,0
2020-02-15,Norway,0,0,0,0,0,0
2020-02-16,Norway,0,0,0,0,0,0
2020-02-17,Norway,0,0,0,0,0,0
2020-02-18,Norway,0,0,0,0,0,0
2020-02-19,Norway,0,0,0,0,0,0
2020-02-20,Norway,0,0,0,0,0,0
2020-02-21,Norway,0,0,0,0,0,0
2020-02-22,Norway,0,0,0,0,0,0
2020-02-23,Norway,0,0,0,0,0,0
2020-02-24,Norway,0,0,0,0,0,0
2020-02-25,Norway,0,0,0,0,0,0
2020-02-26,Norway,1,0,1,0,0,0
2020-02-27,Norway,1,0,0,0,0,0
2020-02-28,Norway,6,0,5,0,1,0
2020-02-29,Norway,15,0,9,0,2,0
2020-03-01,Norway,19,0,4,0,3,0
2020-03-02,Norway,25,0,6,0,4,0
2020-03-03,Norway,32,0,7,0,5,0
2020-03-04,Norway,56,0,24,0,8,0
2020-03-05,Norway,87,0,31,0,12,0
2020-03-06,Norway,108,0,21,0,15,0
2020-03-07,Norway,147,0,39,0,19,0
2020-03-08,Norway,176,0,29,0,22,0
2020-03-09,Norway,205,0,29,0,26,0
2020-03-10,Norway,400,0,195,0,53,0
2020-03-11,Norway,598,0,198,0,77,0
2020-03-12,Norway,702,0,104,0,88,0
2020-03-13,Norway,996,0,294,0,127,0
2020-03-14,Norway,1090,3,94,3,135,0
2020-03-15,Norway,1221,3,131,0,149,0
2020-03-16,Norway,1333,3,112,0,161,0
2020-03-17,Norway,1463,3,130,0,152,0
2020-03-18,Norway,1550,6,87,3,136,1
2020-03-19,Norway,1746,7,196,1,149,1
2020-03-20,Norway,1914,7,168,0,131,1
2020-03-21,Norway,2118,7,204,0,147,1
2020-03-22,Norway,2385,7,267,0,166,1
2020-03-23,Norway,2621,10,236,3,184,1
2020-03-24,Norway,2863,12,242,2,200,1
2020-03-25,Norway,3084,14,221,2,219,1
2020-03-26,Norway,3369,14,285,0,232,1
2020-03-27,Norway,3755,19,386,5,263,2
2020-03-28,Norway,4015,23,260,4,271,2
2020-03-29,Norway,4284,25,269,2,271,3
2020-03-30,Norway,4445,32,161,7,261,3
2020-03-31,Norway,4641,39,196,7,254,4
2020-04-01,Norway,4863,44,222,5,254,4
2020-04-02,Norway,5147,50,284,6,254,5
2020-04-03,Norway,5370,59,223,9,231,6
2020-04-04,Norway,5550,62,180,3,219,6
2020-04-05,Norway,5687,71,137,9,200,7
2020-04-06,Norway,5865,76,178,5,203,6
2020-04-07,Norway,6086,89,221,13,206,7
2020-04-08,Norway,6086,101,0,12,175,8
2020-04-09,Norway,6211,108,125,7,152,8
2020-04-10,Norway,6314,113,103,5,135,8
2020-04-11,Norway,6409,119,95,6,123,8
2020-04-12,Norway,6525,128,116,9,120,8
2020-04-13,Norway,6603,134,78,6,105,8
2020-04-14,Norway,6623,139,20,5,77,7
2020-04-15,Norway,6740,150,117,11,93,7
2020-04-16,Norway,6896,152,156,2,98,6
2020-04-17,Norway,6937,161,41,9,89,7
2020-04-18,Norway,7036,164,99,3,90,6
2020-04-19,Norway,7078,165,42,1,79,5
2020-04-20,Norway,7156,181,78,16,79,7
2020-04-21,Norway,7191,182,35,1,81,6
2020-04-22,Norway,7338,187,147,5,85,5
2020-04-23,Norway,7401,194,63,7,72,6
2020-04-24,Norway,7463,199,62,5,75,5
2020-04-25,Norway,7499,201,36,2,66,5
2020-04-26,Norway,7527,201,28,0,64,5
2020-04-27,Norway,7599,205,72,4,63,3
2020-04-28,Norway,7660,206,61,1,67,3
2020-04-29,Norway,7710,207,50,1,53,3
2020-04-30,Norway,7738,210,28,3,48,2
2020-05-01,Norway,7783,210,45,0,46,2
2020-05-02,Norway,7809,211,26,1,44,1
2020-05-03,Norway,7847,211,38,0,46,1
2020-05-04,Norway,7904,214,57,3,44,1
2020-05-05,Norway,7955,215,51,1,42,1
2020-05-06,Norway,7996,216,41,1,41,1
2020-05-07,Norway,8034,217,38,1,42,1
2020-05-08,Norway,8070,218,36,1,41,1
