Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Oman,0,0,0,0,0,0
2020-01-23,Oman,0,0,0,0,0,0
2020-01-24,Oman,0,0,0,0,0,0
2020-01-25,Oman,0,0,0,0,0,0
2020-01-26,Oman,0,0,0,0,0,0
2020-01-27,Oman,0,0,0,0,0,0
2020-01-28,Oman,0,0,0,0,0,0
2020-01-29,Oman,0,0,0,0,0,0
2020-01-30,Oman,0,0,0,0,0,0
2020-01-31,Oman,0,0,0,0,0,0
2020-02-01,Oman,0,0,0,0,0,0
2020-02-02,Oman,0,0,0,0,0,0
2020-02-03,Oman,0,0,0,0,0,0
2020-02-04,Oman,0,0,0,0,0,0
2020-02-05,Oman,0,0,0,0,0,0
2020-02-06,Oman,0,0,0,0,0,0
2020-02-07,Oman,0,0,0,0,0,0
2020-02-08,Oman,0,0,0,0,0,0
2020-02-09,Oman,0,0,0,0,0,0
2020-02-10,Oman,0,0,0,0,0,0
2020-02-11,Oman,0,0,0,0,0,0
2020-02-12,Oman,0,0,0,0,0,0
2020-02-13,Oman,0,0,0,0,0,0
2020-02-14,Oman,0,0,0,0,0,0
2020-02-15,Oman,0,0,0,0,0,0
2020-02-16,Oman,0,0,0,0,0,0
2020-02-17,Oman,0,0,0,0,0,0
2020-02-18,Oman,0,0,0,0,0,0
2020-02-19,Oman,0,0,0,0,0,0
2020-02-20,Oman,0,0,0,0,0,0
2020-02-21,Oman,0,0,0,0,0,0
2020-02-22,Oman,0,0,0,0,0,0
2020-02-23,Oman,0,0,0,0,0,0
2020-02-24,Oman,2,0,2,0,0,0
2020-02-25,Oman,2,0,0,0,0,0
2020-02-26,Oman,4,0,2,0,1,0
2020-02-27,Oman,4,0,0,0,1,0
2020-02-28,Oman,4,0,0,0,1,0
2020-02-29,Oman,6,0,2,0,1,0
2020-03-01,Oman,6,0,0,0,1,0
2020-03-02,Oman,6,0,0,0,1,0
2020-03-03,Oman,12,0,6,0,1,0
2020-03-04,Oman,15,0,3,0,2,0
2020-03-05,Oman,16,0,1,0,2,0
2020-03-06,Oman,16,0,0,0,2,0
2020-03-07,Oman,16,0,0,0,1,0
2020-03-08,Oman,16,0,0,0,1,0
2020-03-09,Oman,16,0,0,0,1,0
2020-03-10,Oman,18,0,2,0,1,0
2020-03-11,Oman,18,0,0,0,0,0
2020-03-12,Oman,18,0,0,0,0,0
2020-03-13,Oman,19,0,1,0,0,0
2020-03-14,Oman,19,0,0,0,0,0
2020-03-15,Oman,22,0,3,0,1,0
2020-03-16,Oman,22,0,0,0,1,0
2020-03-17,Oman,24,0,2,0,1,0
2020-03-18,Oman,39,0,15,0,3,0
2020-03-19,Oman,48,0,9,0,4,0
2020-03-20,Oman,48,0,0,0,4,0
2020-03-21,Oman,52,0,4,0,5,0
2020-03-22,Oman,55,0,3,0,5,0
2020-03-23,Oman,66,0,11,0,6,0
2020-03-24,Oman,84,0,18,0,9,0
2020-03-25,Oman,99,0,15,0,9,0
2020-03-26,Oman,109,0,10,0,9,0
2020-03-27,Oman,131,0,22,0,12,0
2020-03-28,Oman,152,0,21,0,14,0
2020-03-29,Oman,167,0,15,0,16,0
2020-03-30,Oman,179,0,12,0,16,0
2020-03-31,Oman,192,1,13,1,15,0
2020-04-01,Oman,210,1,18,0,16,0
2020-04-02,Oman,231,1,21,0,17,0
2020-04-03,Oman,252,1,21,0,17,0
2020-04-04,Oman,277,2,25,1,18,0
2020-04-05,Oman,298,2,21,0,19,0
2020-04-06,Oman,331,2,33,0,22,0
2020-04-07,Oman,371,2,40,0,26,0
2020-04-08,Oman,419,2,48,0,30,0
2020-04-09,Oman,457,3,38,1,32,0
2020-04-10,Oman,484,3,27,0,33,0
2020-04-11,Oman,546,3,62,0,38,0
2020-04-12,Oman,599,4,53,1,43,0
2020-04-13,Oman,727,4,128,0,57,0
2020-04-14,Oman,813,4,86,0,63,0
2020-04-15,Oman,910,4,97,0,70,0
2020-04-16,Oman,1019,4,109,0,80,0
2020-04-17,Oman,1069,6,50,2,84,0
2020-04-18,Oman,1180,6,111,0,91,0
2020-04-19,Oman,1266,7,86,1,95,0
2020-04-20,Oman,1410,7,144,0,98,0
2020-04-21,Oman,1508,8,98,1,99,1
2020-04-22,Oman,1614,8,106,0,101,1
2020-04-23,Oman,1716,9,102,1,100,1
2020-04-24,Oman,1790,10,74,1,103,1
2020-04-25,Oman,1905,10,115,0,104,1
2020-04-26,Oman,1998,10,93,0,105,0
2020-04-27,Oman,2049,10,51,0,91,0
2020-04-28,Oman,2131,10,82,0,89,0
2020-04-29,Oman,2274,10,143,0,94,0
2020-04-30,Oman,2348,11,74,1,90,0
2020-05-01,Oman,2447,11,99,0,94,0
2020-05-02,Oman,2483,12,36,1,83,0
2020-05-03,Oman,2568,12,85,0,81,0
2020-05-04,Oman,2637,12,69,0,84,0
2020-05-05,Oman,2735,13,98,1,86,0
2020-05-06,Oman,2903,13,168,0,90,0
2020-05-07,Oman,2958,15,55,2,87,1
2020-05-08,Oman,3112,16,154,1,95,1
2020-05-09,Oman,3224,17,112,1,106,1
2020-05-10,Oman,3399,17,175,0,119,1
2020-05-11,Oman,3573,17,174,0,134,1
2020-05-12,Oman,3721,17,148,0,141,1
2020-05-13,Oman,4019,17,298,0,159,1
2020-05-14,Oman,4341,18,322,1,198,0
2020-05-15,Oman,4625,20,284,2,216,1
2020-05-16,Oman,5029,21,404,1,258,1
2020-05-17,Oman,5186,22,157,1,255,1
2020-05-18,Oman,5379,25,193,3,258,1
2020-05-19,Oman,5671,27,292,2,279,1
2020-05-20,Oman,6043,30,372,3,289,2
2020-05-21,Oman,6370,31,327,1,290,2
2020-05-22,Oman,6794,34,424,3,310,2
2020-05-23,Oman,7257,36,463,2,318,2
2020-05-24,Oman,7770,37,513,1,369,2
2020-05-25,Oman,7770,37,0,0,342,2
2020-05-26,Oman,8118,37,348,0,350,1
2020-05-27,Oman,8373,39,255,2,333,1
2020-05-28,Oman,9009,40,636,1,377,1
2020-05-29,Oman,9820,40,811,0,432,1
2020-05-30,Oman,10423,42,603,2,452,1
2020-05-31,Oman,11437,49,1014,7,524,2
2020-06-01,Oman,12223,50,786,1,636,2
2020-06-02,Oman,12799,59,576,9,669,3
2020-06-03,Oman,13537,67,738,8,738,4
2020-06-04,Oman,14316,67,779,0,758,4
