Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Pakistan,0,0,0,0,0,0
2020-01-23,Pakistan,0,0,0,0,0,0
2020-01-24,Pakistan,0,0,0,0,0,0
2020-01-25,Pakistan,0,0,0,0,0,0
2020-01-26,Pakistan,0,0,0,0,0,0
2020-01-27,Pakistan,0,0,0,0,0,0
2020-01-28,Pakistan,0,0,0,0,0,0
2020-01-29,Pakistan,0,0,0,0,0,0
2020-01-30,Pakistan,0,0,0,0,0,0
2020-01-31,Pakistan,0,0,0,0,0,0
2020-02-01,Pakistan,0,0,0,0,0,0
2020-02-02,Pakistan,0,0,0,0,0,0
2020-02-03,Pakistan,0,0,0,0,0,0
2020-02-04,Pakistan,0,0,0,0,0,0
2020-02-05,Pakistan,0,0,0,0,0,0
2020-02-06,Pakistan,0,0,0,0,0,0
2020-02-07,Pakistan,0,0,0,0,0,0
2020-02-08,Pakistan,0,0,0,0,0,0
2020-02-09,Pakistan,0,0,0,0,0,0
2020-02-10,Pakistan,0,0,0,0,0,0
2020-02-11,Pakistan,0,0,0,0,0,0
2020-02-12,Pakistan,0,0,0,0,0,0
2020-02-13,Pakistan,0,0,0,0,0,0
2020-02-14,Pakistan,0,0,0,0,0,0
2020-02-15,Pakistan,0,0,0,0,0,0
2020-02-16,Pakistan,0,0,0,0,0,0
2020-02-17,Pakistan,0,0,0,0,0,0
2020-02-18,Pakistan,0,0,0,0,0,0
2020-02-19,Pakistan,0,0,0,0,0,0
2020-02-20,Pakistan,0,0,0,0,0,0
2020-02-21,Pakistan,0,0,0,0,0,0
2020-02-22,Pakistan,0,0,0,0,0,0
2020-02-23,Pakistan,0,0,0,0,0,0
2020-02-24,Pakistan,0,0,0,0,0,0
2020-02-25,Pakistan,2,0,2,0,0,0
2020-02-26,Pakistan,2,0,0,0,0,0
2020-02-27,Pakistan,2,0,0,0,0,0
2020-02-28,Pakistan,4,0,2,0,1,0
2020-02-29,Pakistan,4,0,0,0,1,0
2020-03-01,Pakistan,4,0,0,0,1,0
2020-03-02,Pakistan,5,0,1,0,1,0
2020-03-03,Pakistan,5,0,0,0,0,0
2020-03-04,Pakistan,5,0,0,0,0,0
2020-03-05,Pakistan,6,0,1,0,1,0
2020-03-06,Pakistan,6,0,0,0,0,0
2020-03-07,Pakistan,6,0,0,0,0,0
2020-03-08,Pakistan,6,0,0,0,0,0
2020-03-09,Pakistan,16,0,10,0,2,0
2020-03-10,Pakistan,19,0,3,0,2,0
2020-03-11,Pakistan,20,0,1,0,2,0
2020-03-12,Pakistan,28,0,8,0,3,0
2020-03-13,Pakistan,31,0,3,0,4,0
2020-03-14,Pakistan,53,0,22,0,7,0
2020-03-15,Pakistan,136,0,83,0,19,0
2020-03-16,Pakistan,236,0,100,0,31,0
2020-03-17,Pakistan,299,0,63,0,40,0
2020-03-18,Pakistan,454,2,155,2,62,0
2020-03-19,Pakistan,501,3,47,1,68,0
2020-03-20,Pakistan,730,3,229,0,100,0
2020-03-21,Pakistan,776,5,46,2,103,1
2020-03-22,Pakistan,875,6,99,1,106,1
2020-03-23,Pakistan,972,7,97,1,105,1
2020-03-24,Pakistan,1063,8,91,1,109,1
2020-03-25,Pakistan,1201,9,138,1,107,1
2020-03-26,Pakistan,1373,11,172,2,125,1
2020-03-27,Pakistan,1495,12,122,1,109,1
2020-03-28,Pakistan,1597,14,102,2,117,1
2020-03-29,Pakistan,1717,21,120,7,120,2
2020-03-30,Pakistan,1938,26,221,5,138,3
2020-03-31,Pakistan,2118,27,180,1,151,3
2020-04-01,Pakistan,2421,34,303,7,174,4
2020-04-02,Pakistan,2686,40,265,6,188,4
2020-04-03,Pakistan,2818,41,132,1,189,4
2020-04-04,Pakistan,3157,47,339,6,223,5
2020-04-05,Pakistan,3766,53,609,6,293,5
2020-04-06,Pakistan,4035,57,269,4,300,4
2020-04-07,Pakistan,4263,61,228,4,306,5
2020-04-08,Pakistan,4489,65,226,4,295,4
2020-04-09,Pakistan,4695,66,206,1,287,4
2020-04-10,Pakistan,5011,86,316,20,313,6
2020-04-11,Pakistan,5230,91,219,5,296,6
2020-04-12,Pakistan,5496,93,266,2,247,6
2020-04-13,Pakistan,5837,96,341,3,257,6
2020-04-14,Pakistan,6383,111,546,15,303,7
2020-04-15,Pakistan,6919,128,536,17,347,9
2020-04-16,Pakistan,7025,135,106,7,333,10
2020-04-17,Pakistan,7638,143,613,8,375,8
2020-04-18,Pakistan,8348,168,710,25,445,11
2020-04-19,Pakistan,8418,176,70,8,417,12
2020-04-20,Pakistan,9565,201,1147,25,533,15
2020-04-21,Pakistan,10076,212,511,11,528,14
2020-04-22,Pakistan,11155,237,1079,25,605,16
2020-04-23,Pakistan,11940,253,785,16,702,17
2020-04-24,Pakistan,12723,269,783,16,726,18
2020-04-25,Pakistan,13328,281,605,12,711,16
2020-04-26,Pakistan,13915,292,587,11,785,17
2020-04-27,Pakistan,14612,312,697,20,721,16
2020-04-28,Pakistan,15525,343,913,31,778,19
2020-04-29,Pakistan,16817,385,1292,42,809,21
2020-04-30,Pakistan,18114,417,1297,32,882,23
2020-05-01,Pakistan,19103,440,989,23,911,24
2020-05-02,Pakistan,20084,457,981,17,965,25
2020-05-03,Pakistan,20941,476,857,19,1004,26
2020-05-04,Pakistan,22049,514,1108,38,1062,29
2020-05-05,Pakistan,24073,564,2024,50,1221,32
2020-05-06,Pakistan,24644,585,571,21,1118,29
2020-05-07,Pakistan,26435,599,1791,14,1189,26
2020-05-08,Pakistan,28736,636,2301,37,1376,28
2020-05-09,Pakistan,30334,659,1598,23,1464,29
2020-05-10,Pakistan,32081,706,1747,47,1591,33
2020-05-11,Pakistan,34336,737,2255,31,1755,32
2020-05-12,Pakistan,35298,761,962,24,1604,28
2020-05-13,Pakistan,35788,770,490,9,1592,26
2020-05-14,Pakistan,38799,834,3011,64,1766,34
2020-05-15,Pakistan,38799,834,0,0,1438,28
2020-05-16,Pakistan,40151,873,1352,39,1402,31
2020-05-17,Pakistan,42125,903,1974,30,1435,28
2020-05-18,Pakistan,43966,939,1841,36,1376,29
2020-05-19,Pakistan,45898,985,1932,46,1514,32
2020-05-20,Pakistan,48091,1017,2193,32,1758,35
2020-05-21,Pakistan,50694,1067,2603,50,1699,33
2020-05-22,Pakistan,52437,1101,1743,34,1948,38
2020-05-23,Pakistan,54601,1133,2164,32,2064,37
2020-05-24,Pakistan,56349,1167,1748,34,2032,38
2020-05-25,Pakistan,57705,1197,1356,30,1963,37
2020-05-26,Pakistan,59151,1225,1446,28,1893,34
2020-05-27,Pakistan,61227,1260,2076,35,1877,35
2020-05-28,Pakistan,64028,1317,2801,57,1905,36
2020-05-29,Pakistan,66457,1395,2429,78,2003,42
2020-05-30,Pakistan,69496,1483,3039,88,2128,50
2020-05-31,Pakistan,72460,1543,2964,60,2302,54
2020-06-01,Pakistan,76398,1621,3938,78,2670,61
2020-06-02,Pakistan,80463,1688,4065,67,3045,66
2020-06-03,Pakistan,85264,1770,4801,82,3434,73
