Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Palau,0,0,0,0,0,0
2020-01-23,Palau,0,0,0,0,0,0
2020-01-24,Palau,0,0,0,0,0,0
2020-01-25,Palau,0,0,0,0,0,0
2020-01-26,Palau,0,0,0,0,0,0
2020-01-27,Palau,0,0,0,0,0,0
2020-01-28,Palau,0,0,0,0,0,0
2020-01-29,Palau,0,0,0,0,0,0
2020-01-30,Palau,0,0,0,0,0,0
2020-01-31,Palau,0,0,0,0,0,0
2020-02-01,Palau,0,0,0,0,0,0
2020-02-02,Palau,0,0,0,0,0,0
2020-02-03,Palau,0,0,0,0,0,0
2020-02-04,Palau,0,0,0,0,0,0
2020-02-05,Palau,0,0,0,0,0,0
2020-02-06,Palau,0,0,0,0,0,0
2020-02-07,Palau,0,0,0,0,0,0
2020-02-08,Palau,0,0,0,0,0,0
2020-02-09,Palau,0,0,0,0,0,0
2020-02-10,Palau,0,0,0,0,0,0
2020-02-11,Palau,0,0,0,0,0,0
2020-02-12,Palau,0,0,0,0,0,0
2020-02-13,Palau,0,0,0,0,0,0
2020-02-14,Palau,0,0,0,0,0,0
2020-02-15,Palau,0,0,0,0,0,0
2020-02-16,Palau,0,0,0,0,0,0
2020-02-17,Palau,0,0,0,0,0,0
2020-02-18,Palau,0,0,0,0,0,0
2020-02-19,Palau,0,0,0,0,0,0
2020-02-20,Palau,0,0,0,0,0,0
2020-02-21,Palau,0,0,0,0,0,0
2020-02-22,Palau,0,0,0,0,0,0
2020-02-23,Palau,0,0,0,0,0,0
2020-02-24,Palau,0,0,0,0,0,0
2020-02-25,Palau,0,0,0,0,0,0
2020-02-26,Palau,0,0,0,0,0,0
2020-02-27,Palau,0,0,0,0,0,0
2020-02-28,Palau,0,0,0,0,0,0
2020-02-29,Palau,0,0,0,0,0,0
2020-03-01,Palau,0,0,0,0,0,0
2020-03-02,Palau,0,0,0,0,0,0
2020-03-03,Palau,0,0,0,0,0,0
2020-03-04,Palau,0,0,0,0,0,0
2020-03-05,Palau,0,0,0,0,0,0
2020-03-06,Palau,0,0,0,0,0,0
2020-03-07,Palau,0,0,0,0,0,0
2020-03-08,Palau,0,0,0,0,0,0
2020-03-09,Palau,0,0,0,0,0,0
2020-03-10,Palau,0,0,0,0,0,0
2020-03-11,Palau,0,0,0,0,0,0
2020-03-12,Palau,0,0,0,0,0,0
2020-03-13,Palau,0,0,0,0,0,0
2020-03-14,Palau,0,0,0,0,0,0
2020-03-15,Palau,0,0,0,0,0,0
2020-03-16,Palau,0,0,0,0,0,0
2020-03-17,Palau,0,0,0,0,0,0
2020-03-18,Palau,0,0,0,0,0,0
2020-03-19,Palau,0,0,0,0,0,0
2020-03-20,Palau,0,0,0,0,0,0
2020-03-21,Palau,0,0,0,0,0,0
2020-03-22,Palau,0,0,0,0,0,0
2020-03-23,Palau,0,0,0,0,0,0
2020-03-24,Palau,0,0,0,0,0,0
2020-03-25,Palau,0,0,0,0,0,0
2020-03-26,Palau,0,0,0,0,0,0
2020-03-27,Palau,0,0,0,0,0,0
2020-03-28,Palau,0,0,0,0,0,0
2020-03-29,Palau,0,0,0,0,0,0
2020-03-30,Palau,0,0,0,0,0,0
2020-03-31,Palau,0,0,0,0,0,0
2020-04-01,Palau,0,0,0,0,0,0
2020-04-02,Palau,0,0,0,0,0,0
2020-04-03,Palau,0,0,0,0,0,0
2020-04-04,Palau,0,0,0,0,0,0
2020-04-05,Palau,0,0,0,0,0,0
2020-04-06,Palau,0,0,0,0,0,0
2020-04-07,Palau,0,0,0,0,0,0
2020-04-08,Palau,0,0,0,0,0,0
2020-04-09,Palau,0,0,0,0,0,0
2020-04-10,Palau,0,0,0,0,0,0
2020-04-11,Palau,0,0,0,0,0,0
2020-04-12,Palau,0,0,0,0,0,0
2020-04-13,Palau,0,0,0,0,0,0
2020-04-14,Palau,0,0,0,0,0,0
2020-04-15,Palau,0,0,0,0,0,0
2020-04-16,Palau,0,0,0,0,0,0
2020-04-17,Palau,0,0,0,0,0,0
2020-04-18,Palau,0,0,0,0,0,0
2020-04-19,Palau,0,0,0,0,0,0
2020-04-20,Palau,0,0,0,0,0,0
2020-04-21,Palau,0,0,0,0,0,0
2020-04-22,Palau,0,0,0,0,0,0
2020-04-23,Palau,0,0,0,0,0,0
2020-04-24,Palau,0,0,0,0,0,0
2020-04-25,Palau,0,0,0,0,0,0
2020-04-26,Palau,0,0,0,0,0,0
2020-04-27,Palau,0,0,0,0,0,0
2020-04-28,Palau,0,0,0,0,0,0
2020-04-29,Palau,0,0,0,0,0,0
2020-04-30,Palau,0,0,0,0,0,0
2020-05-01,Palau,0,0,0,0,0,0
2020-05-02,Palau,0,0,0,0,0,0
2020-05-03,Palau,0,0,0,0,0,0
2020-05-04,Palau,0,0,0,0,0,0
2020-05-05,Palau,0,0,0,0,0,0
2020-05-06,Palau,0,0,0,0,0,0
2020-05-07,Palau,0,0,0,0,0,0
2020-05-08,Palau,0,0,0,0,0,0
2020-05-09,Palau,0,0,0,0,0,0
2020-05-10,Palau,0,0,0,0,0,0
2020-05-11,Palau,0,0,0,0,0,0
2020-05-12,Palau,0,0,0,0,0,0
2020-05-13,Palau,0,0,0,0,0,0
2020-05-14,Palau,0,0,0,0,0,0
