Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Papua New Guinea,0,0,0,0,0,0
2020-01-23,Papua New Guinea,0,0,0,0,0,0
2020-01-24,Papua New Guinea,0,0,0,0,0,0
2020-01-25,Papua New Guinea,0,0,0,0,0,0
2020-01-26,Papua New Guinea,0,0,0,0,0,0
2020-01-27,Papua New Guinea,0,0,0,0,0,0
2020-01-28,Papua New Guinea,0,0,0,0,0,0
2020-01-29,Papua New Guinea,0,0,0,0,0,0
2020-01-30,Papua New Guinea,0,0,0,0,0,0
2020-01-31,Papua New Guinea,0,0,0,0,0,0
2020-02-01,Papua New Guinea,0,0,0,0,0,0
2020-02-02,Papua New Guinea,0,0,0,0,0,0
2020-02-03,Papua New Guinea,0,0,0,0,0,0
2020-02-04,Papua New Guinea,0,0,0,0,0,0
2020-02-05,Papua New Guinea,0,0,0,0,0,0
2020-02-06,Papua New Guinea,0,0,0,0,0,0
2020-02-07,Papua New Guinea,0,0,0,0,0,0
2020-02-08,Papua New Guinea,0,0,0,0,0,0
2020-02-09,Papua New Guinea,0,0,0,0,0,0
2020-02-10,Papua New Guinea,0,0,0,0,0,0
2020-02-11,Papua New Guinea,0,0,0,0,0,0
2020-02-12,Papua New Guinea,0,0,0,0,0,0
2020-02-13,Papua New Guinea,0,0,0,0,0,0
2020-02-14,Papua New Guinea,0,0,0,0,0,0
2020-02-15,Papua New Guinea,0,0,0,0,0,0
2020-02-16,Papua New Guinea,0,0,0,0,0,0
2020-02-17,Papua New Guinea,0,0,0,0,0,0
2020-02-18,Papua New Guinea,0,0,0,0,0,0
2020-02-19,Papua New Guinea,0,0,0,0,0,0
2020-02-20,Papua New Guinea,0,0,0,0,0,0
2020-02-21,Papua New Guinea,0,0,0,0,0,0
2020-02-22,Papua New Guinea,0,0,0,0,0,0
2020-02-23,Papua New Guinea,0,0,0,0,0,0
2020-02-24,Papua New Guinea,0,0,0,0,0,0
2020-02-25,Papua New Guinea,0,0,0,0,0,0
2020-02-26,Papua New Guinea,0,0,0,0,0,0
2020-02-27,Papua New Guinea,0,0,0,0,0,0
2020-02-28,Papua New Guinea,0,0,0,0,0,0
2020-02-29,Papua New Guinea,0,0,0,0,0,0
2020-03-01,Papua New Guinea,0,0,0,0,0,0
2020-03-02,Papua New Guinea,0,0,0,0,0,0
2020-03-03,Papua New Guinea,0,0,0,0,0,0
2020-03-04,Papua New Guinea,0,0,0,0,0,0
2020-03-05,Papua New Guinea,0,0,0,0,0,0
2020-03-06,Papua New Guinea,0,0,0,0,0,0
2020-03-07,Papua New Guinea,0,0,0,0,0,0
2020-03-08,Papua New Guinea,0,0,0,0,0,0
2020-03-09,Papua New Guinea,0,0,0,0,0,0
2020-03-10,Papua New Guinea,0,0,0,0,0,0
2020-03-11,Papua New Guinea,0,0,0,0,0,0
2020-03-12,Papua New Guinea,0,0,0,0,0,0
2020-03-13,Papua New Guinea,0,0,0,0,0,0
2020-03-14,Papua New Guinea,0,0,0,0,0,0
2020-03-15,Papua New Guinea,0,0,0,0,0,0
2020-03-16,Papua New Guinea,0,0,0,0,0,0
2020-03-17,Papua New Guinea,0,0,0,0,0,0
2020-03-18,Papua New Guinea,0,0,0,0,0,0
2020-03-19,Papua New Guinea,0,0,0,0,0,0
