Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Paraguay,0,0,0,0,0,0
2020-01-23,Paraguay,0,0,0,0,0,0
2020-01-24,Paraguay,0,0,0,0,0,0
2020-01-25,Paraguay,0,0,0,0,0,0
2020-01-26,Paraguay,0,0,0,0,0,0
2020-01-27,Paraguay,0,0,0,0,0,0
2020-01-28,Paraguay,0,0,0,0,0,0
2020-01-29,Paraguay,0,0,0,0,0,0
2020-01-30,Paraguay,0,0,0,0,0,0
2020-01-31,Paraguay,0,0,0,0,0,0
2020-02-01,Paraguay,0,0,0,0,0,0
2020-02-02,Paraguay,0,0,0,0,0,0
2020-02-03,Paraguay,0,0,0,0,0,0
2020-02-04,Paraguay,0,0,0,0,0,0
2020-02-05,Paraguay,0,0,0,0,0,0
2020-02-06,Paraguay,0,0,0,0,0,0
2020-02-07,Paraguay,0,0,0,0,0,0
2020-02-08,Paraguay,0,0,0,0,0,0
2020-02-09,Paraguay,0,0,0,0,0,0
2020-02-10,Paraguay,0,0,0,0,0,0
2020-02-11,Paraguay,0,0,0,0,0,0
2020-02-12,Paraguay,0,0,0,0,0,0
2020-02-13,Paraguay,0,0,0,0,0,0
2020-02-14,Paraguay,0,0,0,0,0,0
2020-02-15,Paraguay,0,0,0,0,0,0
2020-02-16,Paraguay,0,0,0,0,0,0
2020-02-17,Paraguay,0,0,0,0,0,0
2020-02-18,Paraguay,0,0,0,0,0,0
2020-02-19,Paraguay,0,0,0,0,0,0
2020-02-20,Paraguay,0,0,0,0,0,0
2020-02-21,Paraguay,0,0,0,0,0,0
2020-02-22,Paraguay,0,0,0,0,0,0
2020-02-23,Paraguay,0,0,0,0,0,0
2020-02-24,Paraguay,0,0,0,0,0,0
2020-02-25,Paraguay,0,0,0,0,0,0
2020-02-26,Paraguay,0,0,0,0,0,0
2020-02-27,Paraguay,0,0,0,0,0,0
2020-02-28,Paraguay,0,0,0,0,0,0
2020-02-29,Paraguay,0,0,0,0,0,0
2020-03-01,Paraguay,0,0,0,0,0,0
2020-03-02,Paraguay,0,0,0,0,0,0
2020-03-03,Paraguay,0,0,0,0,0,0
2020-03-04,Paraguay,0,0,0,0,0,0
2020-03-05,Paraguay,0,0,0,0,0,0
2020-03-06,Paraguay,0,0,0,0,0,0
2020-03-07,Paraguay,0,0,0,0,0,0
2020-03-08,Paraguay,1,0,1,0,0,0
2020-03-09,Paraguay,1,0,0,0,0,0
2020-03-10,Paraguay,5,0,4,0,1,0
2020-03-11,Paraguay,5,0,0,0,1,0
2020-03-12,Paraguay,6,0,1,0,1,0
2020-03-13,Paraguay,7,0,1,0,1,0
2020-03-14,Paraguay,7,0,0,0,1,0
2020-03-15,Paraguay,8,0,1,0,1,0
2020-03-16,Paraguay,9,0,1,0,1,0
2020-03-17,Paraguay,11,0,2,0,1,0
2020-03-18,Paraguay,11,0,0,0,1,0
2020-03-19,Paraguay,13,0,2,0,1,0
2020-03-20,Paraguay,18,1,5,1,2,0
2020-03-21,Paraguay,22,1,4,0,2,0
2020-03-22,Paraguay,22,1,0,0,2,0
2020-03-23,Paraguay,27,2,5,1,3,0
2020-03-24,Paraguay,37,3,10,1,4,0
2020-03-25,Paraguay,41,3,4,0,4,0
2020-03-26,Paraguay,52,3,11,0,6,0
2020-03-27,Paraguay,56,3,4,0,5,0
2020-03-28,Paraguay,59,3,3,0,5,0
2020-03-29,Paraguay,64,3,5,0,6,0
2020-03-30,Paraguay,65,3,1,0,5,0
2020-03-31,Paraguay,69,3,4,0,5,0
2020-04-01,Paraguay,77,3,8,0,5,0
2020-04-02,Paraguay,92,3,15,0,6,0
2020-04-03,Paraguay,96,3,4,0,6,0
2020-04-04,Paraguay,104,3,8,0,6,0
2020-04-05,Paraguay,113,5,9,2,7,0
2020-04-06,Paraguay,115,5,2,0,7,0
2020-04-07,Paraguay,119,5,4,0,7,0
2020-04-08,Paraguay,124,5,5,0,7,0
2020-04-09,Paraguay,129,6,5,1,5,0
2020-04-10,Paraguay,133,6,4,0,5,0
2020-04-11,Paraguay,134,6,1,0,4,0
2020-04-12,Paraguay,147,6,13,0,5,0
2020-04-13,Paraguay,159,7,12,1,6,0
2020-04-14,Paraguay,161,8,2,1,6,0
2020-04-15,Paraguay,174,8,13,0,7,0
2020-04-16,Paraguay,199,8,25,0,10,0
2020-04-17,Paraguay,202,8,3,0,10,0
2020-04-18,Paraguay,206,8,4,0,10,0
2020-04-19,Paraguay,208,8,2,0,9,0
2020-04-20,Paraguay,208,8,0,0,7,0
2020-04-21,Paraguay,213,9,5,1,7,0
