Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Peru,0,0,0,0,0,0
2020-01-23,Peru,0,0,0,0,0,0
2020-01-24,Peru,0,0,0,0,0,0
2020-01-25,Peru,0,0,0,0,0,0
2020-01-26,Peru,0,0,0,0,0,0
2020-01-27,Peru,0,0,0,0,0,0
2020-01-28,Peru,0,0,0,0,0,0
2020-01-29,Peru,0,0,0,0,0,0
2020-01-30,Peru,0,0,0,0,0,0
2020-01-31,Peru,0,0,0,0,0,0
2020-02-01,Peru,0,0,0,0,0,0
2020-02-02,Peru,0,0,0,0,0,0
2020-02-03,Peru,0,0,0,0,0,0
2020-02-04,Peru,0,0,0,0,0,0
2020-02-05,Peru,0,0,0,0,0,0
2020-02-06,Peru,0,0,0,0,0,0
2020-02-07,Peru,0,0,0,0,0,0
2020-02-08,Peru,0,0,0,0,0,0
2020-02-09,Peru,0,0,0,0,0,0
2020-02-10,Peru,0,0,0,0,0,0
2020-02-11,Peru,0,0,0,0,0,0
2020-02-12,Peru,0,0,0,0,0,0
2020-02-13,Peru,0,0,0,0,0,0
2020-02-14,Peru,0,0,0,0,0,0
2020-02-15,Peru,0,0,0,0,0,0
2020-02-16,Peru,0,0,0,0,0,0
2020-02-17,Peru,0,0,0,0,0,0
2020-02-18,Peru,0,0,0,0,0,0
2020-02-19,Peru,0,0,0,0,0,0
2020-02-20,Peru,0,0,0,0,0,0
2020-02-21,Peru,0,0,0,0,0,0
2020-02-22,Peru,0,0,0,0,0,0
2020-02-23,Peru,0,0,0,0,0,0
2020-02-24,Peru,0,0,0,0,0,0
2020-02-25,Peru,0,0,0,0,0,0
2020-02-26,Peru,0,0,0,0,0,0
2020-02-27,Peru,0,0,0,0,0,0
2020-02-28,Peru,0,0,0,0,0,0
2020-02-29,Peru,0,0,0,0,0,0
2020-03-01,Peru,0,0,0,0,0,0
2020-03-02,Peru,0,0,0,0,0,0
2020-03-03,Peru,0,0,0,0,0,0
2020-03-04,Peru,0,0,0,0,0,0
2020-03-05,Peru,0,0,0,0,0,0
2020-03-06,Peru,1,1,1,1,0,0
2020-03-07,Peru,1,1,0,0,0,0
2020-03-08,Peru,6,2,5,1,1,0
2020-03-09,Peru,7,2,1,0,1,0
2020-03-10,Peru,11,2,4,0,2,0
2020-03-11,Peru,11,2,0,0,2,0
2020-03-12,Peru,15,3,4,1,2,0
2020-03-13,Peru,28,3,13,0,4,0
2020-03-14,Peru,38,3,10,0,5,0
2020-03-15,Peru,43,5,5,2,5,0
2020-03-16,Peru,86,5,43,0,11,0
2020-03-17,Peru,117,9,31,4,15,1
2020-03-18,Peru,145,15,28,6,19,2
2020-03-19,Peru,234,20,89,5,31,2
2020-03-20,Peru,234,26,0,6,29,3
2020-03-21,Peru,318,30,84,4,40,4
2020-03-22,Peru,363,34,45,4,46,4
2020-03-23,Peru,395,39,32,5,44,5
2020-03-24,Peru,416,45,21,6,43,5
2020-03-25,Peru,480,57,64,12,48,6
2020-03-26,Peru,580,63,100,6,49,6
2020-03-27,Peru,635,71,55,8,57,6
2020-03-28,Peru,671,86,36,15,50,8
2020-03-29,Peru,852,95,181,9,70,9
2020-03-30,Peru,950,113,98,18,79,11
2020-03-31,Peru,1065,138,115,25,93,13
2020-04-01,Peru,1323,161,258,23,120,15
2020-04-02,Peru,1414,183,91,22,119,17
2020-04-03,Peru,1595,209,181,26,137,20
2020-04-04,Peru,1746,258,151,49,154,25
2020-04-05,Peru,2281,317,535,59,204,32
2020-04-06,Peru,2561,360,280,43,230,35
2020-04-07,Peru,2954,423,393,63,270,41
2020-04-08,Peru,4342,471,1388,48,431,44
2020-04-09,Peru,5256,569,914,98,549,55
2020-04-10,Peru,5897,650,641,81,615,63
2020-04-11,Peru,6848,753,951,103,729,71
2020-04-12,Peru,7519,846,671,93,748,76
2020-04-13,Peru,9784,952,2265,106,1032,85
2020-04-14,Peru,10303,1061,519,109,1050,91
2020-04-15,Peru,11475,1200,1172,139,1019,104
2020-04-16,Peru,12491,1333,1016,133,1034,109
