Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Philippines,0,0,0,0,0,0
2020-01-23,Philippines,0,0,0,0,0,0
2020-01-24,Philippines,0,0,0,0,0,0
2020-01-25,Philippines,0,0,0,0,0,0
2020-01-26,Philippines,0,0,0,0,0,0
2020-01-27,Philippines,0,0,0,0,0,0
2020-01-28,Philippines,0,0,0,0,0,0
2020-01-29,Philippines,0,0,0,0,0,0
2020-01-30,Philippines,1,0,1,0,0,0
2020-01-31,Philippines,1,0,0,0,0,0
2020-02-01,Philippines,1,0,0,0,0,0
2020-02-02,Philippines,2,1,1,1,0,0
2020-02-03,Philippines,2,1,0,0,0,0
2020-02-04,Philippines,2,1,0,0,0,0
2020-02-05,Philippines,2,1,0,0,0,0
2020-02-06,Philippines,2,1,0,0,0,0
2020-02-07,Philippines,3,1,1,0,0,0
2020-02-08,Philippines,3,1,0,0,0,0
2020-02-09,Philippines,3,1,0,0,0,0
2020-02-10,Philippines,3,1,0,0,0,0
2020-02-11,Philippines,3,1,0,0,0,0
2020-02-12,Philippines,3,1,0,0,0,0
2020-02-13,Philippines,3,1,0,0,0,0
2020-02-14,Philippines,3,1,0,0,0,0
2020-02-15,Philippines,3,1,0,0,0,0
2020-02-16,Philippines,3,1,0,0,0,0
2020-02-17,Philippines,3,1,0,0,0,0
2020-02-18,Philippines,3,1,0,0,0,0
2020-02-19,Philippines,3,1,0,0,0,0
2020-02-20,Philippines,3,1,0,0,0,0
2020-02-21,Philippines,3,1,0,0,0,0
2020-02-22,Philippines,3,1,0,0,0,0
2020-02-23,Philippines,3,1,0,0,0,0
2020-02-24,Philippines,3,1,0,0,0,0
2020-02-25,Philippines,3,1,0,0,0,0
2020-02-26,Philippines,3,1,0,0,0,0
2020-02-27,Philippines,3,1,0,0,0,0
2020-02-28,Philippines,3,1,0,0,0,0
2020-02-29,Philippines,3,1,0,0,0,0
2020-03-01,Philippines,3,1,0,0,0,0
2020-03-02,Philippines,3,1,0,0,0,0
2020-03-03,Philippines,3,1,0,0,0,0
2020-03-04,Philippines,3,1,0,0,0,0
2020-03-05,Philippines,3,1,0,0,0,0
2020-03-06,Philippines,5,1,2,0,0,0
2020-03-07,Philippines,6,1,1,0,0,0
2020-03-08,Philippines,10,1,4,0,1,0
2020-03-09,Philippines,20,1,10,0,2,0
2020-03-10,Philippines,33,1,13,0,4,0
2020-03-11,Philippines,49,1,16,0,7,0
2020-03-12,Philippines,52,2,3,1,7,0
2020-03-13,Philippines,64,5,12,3,8,1
2020-03-14,Philippines,111,8,47,3,15,1
2020-03-15,Philippines,140,11,29,3,19,1
2020-03-16,Philippines,142,12,2,1,17,2
2020-03-17,Philippines,187,12,45,0,22,2
2020-03-18,Philippines,202,19,15,7,22,3
2020-03-19,Philippines,217,17,15,-2,24,2
2020-03-20,Philippines,230,18,13,1,24,2
2020-03-21,Philippines,307,19,77,1,28,2
2020-03-22,Philippines,380,25,73,6,34,2
2020-03-23,Philippines,462,33,82,8,46,3
2020-03-24,Philippines,552,35,90,2,52,3
2020-03-25,Philippines,636,38,84,3,62,3
2020-03-26,Philippines,707,45,71,7,70,4
2020-03-27,Philippines,803,54,96,9,82,5
2020-03-28,Philippines,1075,68,272,14,110,7
2020-03-29,Philippines,1418,71,343,3,148,7
2020-03-30,Philippines,1546,78,128,7,155,6
2020-03-31,Philippines,2084,88,538,10,219,8
2020-04-01,Philippines,2311,96,227,8,239,8
2020-04-02,Philippines,2633,107,322,11,275,9
2020-04-03,Philippines,3018,136,385,29,316,12
2020-04-04,Philippines,3094,144,76,8,288,11
2020-04-05,Philippines,3246,152,152,8,261,12
2020-04-06,Philippines,3660,163,414,11,302,12
2020-04-07,Philippines,3764,177,104,14,240,13
2020-04-08,Philippines,3870,182,106,5,223,12
2020-04-09,Philippines,4076,203,206,21,206,14
2020-04-10,Philippines,4195,221,119,18,168,12
2020-04-11,Philippines,4428,247,233,26,191,15
2020-04-12,Philippines,4648,297,220,50,200,21
2020-04-13,Philippines,4932,315,284,18,182,22
2020-04-14,Philippines,5223,335,291,20,208,23
2020-04-15,Philippines,5453,349,230,14,226,24
2020-04-16,Philippines,5660,362,207,13,226,23
2020-04-17,Philippines,5878,387,218,25,240,24
2020-04-18,Philippines,6087,397,209,10,237,21
2020-04-19,Philippines,6259,409,172,12,230,16
2020-04-20,Philippines,6459,428,200,19,218,16
2020-04-21,Philippines,6599,437,140,9,197,15
2020-04-22,Philippines,6710,446,111,9,180,14
2020-04-23,Philippines,6981,462,271,16,189,14
2020-04-24,Philippines,7192,477,211,15,188,13
2020-04-25,Philippines,7294,494,102,17,172,14
2020-04-26,Philippines,7579,501,285,7,189,13
2020-04-27,Philippines,7777,511,198,10,188,12
2020-04-28,Philippines,7958,530,181,19,194,13
2020-04-29,Philippines,8212,558,254,28,215,16
2020-04-30,Philippines,8488,568,276,10,215,15
2020-05-01,Philippines,8772,579,284,11,226,15
2020-05-02,Philippines,8928,603,156,24,233,16
2020-05-03,Philippines,9223,607,295,4,235,15
2020-05-04,Philippines,9485,623,262,16,244,16
2020-05-05,Philippines,9684,637,199,14,247,15
2020-05-06,Philippines,10004,658,320,21,256,14
2020-05-07,Philippines,10343,685,339,27,265,17
2020-05-08,Philippines,10463,696,120,11,242,17
2020-05-09,Philippines,10610,704,147,8,240,14
2020-05-10,Philippines,10794,719,184,15,224,16
2020-05-11,Philippines,11086,726,292,7,229,15
2020-05-12,Philippines,11350,751,264,25,238,16
2020-05-13,Philippines,11618,772,268,21,231,16
2020-05-14,Philippines,11876,790,258,18,219,15
2020-05-15,Philippines,12091,806,215,16,233,16
2020-05-16,Philippines,12305,817,214,11,242,16
2020-05-17,Philippines,12513,824,208,7,246,15
2020-05-18,Philippines,12718,831,205,7,233,15
2020-05-19,Philippines,12942,837,224,6,227,12
2020-05-20,Philippines,13221,842,279,5,229,10
2020-05-21,Philippines,13434,846,213,4,223,8
2020-05-22,Philippines,13597,857,163,11,215,7
2020-05-23,Philippines,13777,863,180,6,210,7
2020-05-24,Philippines,14035,868,258,5,217,6
2020-05-25,Philippines,14319,873,284,5,229,6
2020-05-26,Philippines,14669,886,350,13,247,7
2020-05-27,Philippines,15049,904,380,18,261,9
2020-05-28,Philippines,15588,921,539,17,308,11
2020-05-29,Philippines,16634,942,1046,21,434,12
2020-05-30,Philippines,17224,950,590,8,492,12
2020-05-31,Philippines,18086,957,862,7,579,13
2020-06-01,Philippines,18638,960,552,3,617,12
2020-06-02,Philippines,18997,966,359,6,618,11
2020-06-03,Philippines,19748,974,751,8,671,10
2020-06-04,Philippines,20382,984,634,10,685,9
2020-06-05,Philippines,20626,987,244,3,570,6
2020-06-06,Philippines,21340,994,714,7,588,6
2020-06-07,Philippines,21895,1003,555,9,544,7
2020-06-08,Philippines,22474,1011,579,8,548,7
2020-06-09,Philippines,22992,1017,518,6,571,7
2020-06-10,Philippines,23732,1027,740,10,569,8
2020-06-11,Philippines,24175,1036,443,9,542,7
