Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Poland,0,0,0,0,0,0
2020-01-23,Poland,0,0,0,0,0,0
2020-01-24,Poland,0,0,0,0,0,0
2020-01-25,Poland,0,0,0,0,0,0
2020-01-26,Poland,0,0,0,0,0,0
2020-01-27,Poland,0,0,0,0,0,0
2020-01-28,Poland,0,0,0,0,0,0
2020-01-29,Poland,0,0,0,0,0,0
2020-01-30,Poland,0,0,0,0,0,0
2020-01-31,Poland,0,0,0,0,0,0
2020-02-01,Poland,0,0,0,0,0,0
2020-02-02,Poland,0,0,0,0,0,0
2020-02-03,Poland,0,0,0,0,0,0
2020-02-04,Poland,0,0,0,0,0,0
2020-02-05,Poland,0,0,0,0,0,0
2020-02-06,Poland,0,0,0,0,0,0
2020-02-07,Poland,0,0,0,0,0,0
2020-02-08,Poland,0,0,0,0,0,0
2020-02-09,Poland,0,0,0,0,0,0
2020-02-10,Poland,0,0,0,0,0,0
2020-02-11,Poland,0,0,0,0,0,0
2020-02-12,Poland,0,0,0,0,0,0
2020-02-13,Poland,0,0,0,0,0,0
2020-02-14,Poland,0,0,0,0,0,0
2020-02-15,Poland,0,0,0,0,0,0
2020-02-16,Poland,0,0,0,0,0,0
2020-02-17,Poland,0,0,0,0,0,0
2020-02-18,Poland,0,0,0,0,0,0
2020-02-19,Poland,0,0,0,0,0,0
2020-02-20,Poland,0,0,0,0,0,0
2020-02-21,Poland,0,0,0,0,0,0
2020-02-22,Poland,0,0,0,0,0,0
2020-02-23,Poland,0,0,0,0,0,0
2020-02-24,Poland,0,0,0,0,0,0
2020-02-25,Poland,0,0,0,0,0,0
2020-02-26,Poland,0,0,0,0,0,0
2020-02-27,Poland,0,0,0,0,0,0
2020-02-28,Poland,0,0,0,0,0,0
2020-02-29,Poland,0,0,0,0,0,0
2020-03-01,Poland,0,0,0,0,0,0
2020-03-02,Poland,0,0,0,0,0,0
2020-03-03,Poland,0,0,0,0,0,0
2020-03-04,Poland,1,0,1,0,0,0
2020-03-05,Poland,1,0,0,0,0,0
2020-03-06,Poland,5,0,4,0,1,0
2020-03-07,Poland,5,0,0,0,1,0
