Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Portugal,0,0,0,0,0,0
2020-01-23,Portugal,0,0,0,0,0,0
2020-01-24,Portugal,0,0,0,0,0,0
2020-01-25,Portugal,0,0,0,0,0,0
2020-01-26,Portugal,0,0,0,0,0,0
2020-01-27,Portugal,0,0,0,0,0,0
2020-01-28,Portugal,0,0,0,0,0,0
2020-01-29,Portugal,0,0,0,0,0,0
2020-01-30,Portugal,0,0,0,0,0,0
2020-01-31,Portugal,0,0,0,0,0,0
2020-02-01,Portugal,0,0,0,0,0,0
2020-02-02,Portugal,0,0,0,0,0,0
2020-02-03,Portugal,0,0,0,0,0,0
2020-02-04,Portugal,0,0,0,0,0,0
2020-02-05,Portugal,0,0,0,0,0,0
2020-02-06,Portugal,0,0,0,0,0,0
2020-02-07,Portugal,0,0,0,0,0,0
2020-02-08,Portugal,0,0,0,0,0,0
2020-02-09,Portugal,0,0,0,0,0,0
2020-02-10,Portugal,0,0,0,0,0,0
2020-02-11,Portugal,0,0,0,0,0,0
2020-02-12,Portugal,0,0,0,0,0,0
2020-02-13,Portugal,0,0,0,0,0,0
2020-02-14,Portugal,0,0,0,0,0,0
2020-02-15,Portugal,0,0,0,0,0,0
2020-02-16,Portugal,0,0,0,0,0,0
2020-02-17,Portugal,0,0,0,0,0,0
2020-02-18,Portugal,0,0,0,0,0,0
2020-02-19,Portugal,0,0,0,0,0,0
2020-02-20,Portugal,0,0,0,0,0,0
2020-02-21,Portugal,0,0,0,0,0,0
2020-02-22,Portugal,0,0,0,0,0,0
2020-02-23,Portugal,0,0,0,0,0,0
2020-02-24,Portugal,0,0,0,0,0,0
2020-02-25,Portugal,0,0,0,0,0,0
2020-02-26,Portugal,0,0,0,0,0,0
2020-02-27,Portugal,0,0,0,0,0,0
2020-02-28,Portugal,0,0,0,0,0,0
2020-02-29,Portugal,0,0,0,0,0,0
2020-03-01,Portugal,0,0,0,0,0,0
2020-03-02,Portugal,2,0,2,0,0,0
2020-03-03,Portugal,2,0,0,0,0,0
2020-03-04,Portugal,5,0,3,0,1,0
2020-03-05,Portugal,8,0,3,0,1,0
2020-03-06,Portugal,13,0,5,0,2,0
2020-03-07,Portugal,20,0,7,0,3,0
2020-03-08,Portugal,30,0,10,0,4,0
2020-03-09,Portugal,30,0,0,0,4,0
2020-03-10,Portugal,41,0,11,0,6,0
2020-03-11,Portugal,59,0,18,0,8,0
2020-03-12,Portugal,59,0,0,0,7,0
2020-03-13,Portugal,112,0,53,0,14,0
2020-03-14,Portugal,169,0,57,0,21,0
2020-03-15,Portugal,245,0,76,0,31,0
2020-03-16,Portugal,331,0,86,0,43,0
2020-03-17,Portugal,448,1,117,1,58,0
2020-03-18,Portugal,448,2,0,1,56,0
2020-03-19,Portugal,785,3,337,1,104,0
2020-03-20,Portugal,1020,6,235,3,130,1
2020-03-21,Portugal,1280,12,260,6,159,2
2020-03-22,Portugal,1600,14,320,2,194,2
2020-03-23,Portugal,2060,23,460,9,247,3
2020-03-24,Portugal,2362,33,302,10,273,5
2020-03-25,Portugal,2995,43,633,10,364,6
2020-03-26,Portugal,3544,60,549,17,394,8
2020-03-27,Portugal,4268,76,724,16,464,10
2020-03-28,Portugal,5170,100,902,24,556,13
2020-03-29,Portugal,5962,119,792,19,623,15
2020-03-30,Portugal,6408,140,446,21,621,17
2020-03-31,Portugal,7443,160,1035,20,726,18
2020-04-01,Portugal,8251,187,808,27,751,21
2020-04-02,Portugal,9034,209,783,22,784,21
2020-04-03,Portugal,9886,246,852,37,803,24
2020-04-04,Portugal,10524,266,638,20,765,24
2020-04-05,Portugal,11278,295,754,29,759,25
2020-04-06,Portugal,11730,311,452,16,760,24
2020-04-07,Portugal,12442,345,712,34,714,26
2020-04-08,Portugal,13141,380,699,35,699,28
2020-04-09,Portugal,13956,409,815,29,703,29
2020-04-10,Portugal,15472,435,1516,26,798,27
2020-04-11,Portugal,15987,470,515,35,780,29
2020-04-12,Portugal,16585,504,598,34,758,30
2020-04-13,Portugal,16934,535,349,31,743,32
2020-04-14,Portugal,17448,567,514,32,715,32
2020-04-15,Portugal,18091,599,643,32,707,31
2020-04-16,Portugal,18841,629,750,30,698,31
2020-04-17,Portugal,19022,657,181,28,507,32
2020-04-18,Portugal,19685,687,663,30,528,31
2020-04-19,Portugal,20206,714,521,27,517,30
2020-04-20,Portugal,20863,735,657,21,561,29
2020-04-21,Portugal,21379,762,516,27,562,28
2020-04-22,Portugal,21982,785,603,23,556,27
2020-04-23,Portugal,22353,820,371,35,502,27
2020-04-24,Portugal,22797,854,444,34,539,28
2020-04-25,Portugal,23392,880,595,26,530,28
2020-04-26,Portugal,23864,903,472,23,523,27
2020-04-27,Portugal,24027,928,163,25,452,28
2020-04-28,Portugal,24322,948,295,20,420,27
2020-04-29,Portugal,24505,973,183,25,360,27
2020-04-30,Portugal,25045,989,540,16,385,24
2020-05-01,Portugal,25351,1007,306,18,365,22
2020-05-02,Portugal,25190,1023,-161,16,257,20
2020-05-03,Portugal,25282,1043,92,20,203,20
2020-05-04,Portugal,25524,1063,242,20,214,19
2020-05-05,Portugal,25702,1074,178,11,197,18
2020-05-06,Portugal,26182,1089,480,15,240,17
2020-05-07,Portugal,26715,1105,533,16,239,17
2020-05-08,Portugal,27268,1114,553,9,274,15
2020-05-09,Portugal,27406,1126,138,12,317,15
2020-05-10,Portugal,27581,1135,175,9,328,13
2020-05-11,Portugal,27679,1144,98,9,308,12
2020-05-12,Portugal,27913,1163,234,19,316,13
2020-05-13,Portugal,28132,1175,219,12,279,12
2020-05-14,Portugal,28319,1184,187,9,229,11
2020-05-15,Portugal,28583,1190,264,6,188,11
2020-05-16,Portugal,28810,1203,227,13,201,11
2020-05-17,Portugal,29036,1218,226,15,208,12
2020-05-18,Portugal,29209,1231,173,13,219,12
2020-05-19,Portugal,29432,1247,223,16,217,12
2020-05-20,Portugal,29660,1263,228,16,218,13
2020-05-21,Portugal,29912,1277,252,14,228,13
