Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Qatar,0,0,0,0,0,0
2020-01-23,Qatar,0,0,0,0,0,0
2020-01-24,Qatar,0,0,0,0,0,0
2020-01-25,Qatar,0,0,0,0,0,0
2020-01-26,Qatar,0,0,0,0,0,0
2020-01-27,Qatar,0,0,0,0,0,0
2020-01-28,Qatar,0,0,0,0,0,0
2020-01-29,Qatar,0,0,0,0,0,0
2020-01-30,Qatar,0,0,0,0,0,0
2020-01-31,Qatar,0,0,0,0,0,0
2020-02-01,Qatar,0,0,0,0,0,0
2020-02-02,Qatar,0,0,0,0,0,0
2020-02-03,Qatar,0,0,0,0,0,0
2020-02-04,Qatar,0,0,0,0,0,0
2020-02-05,Qatar,0,0,0,0,0,0
2020-02-06,Qatar,0,0,0,0,0,0
2020-02-07,Qatar,0,0,0,0,0,0
2020-02-08,Qatar,0,0,0,0,0,0
2020-02-09,Qatar,0,0,0,0,0,0
2020-02-10,Qatar,0,0,0,0,0,0
2020-02-11,Qatar,0,0,0,0,0,0
2020-02-12,Qatar,0,0,0,0,0,0
2020-02-13,Qatar,0,0,0,0,0,0
2020-02-14,Qatar,0,0,0,0,0,0
2020-02-15,Qatar,0,0,0,0,0,0
2020-02-16,Qatar,0,0,0,0,0,0
2020-02-17,Qatar,0,0,0,0,0,0
2020-02-18,Qatar,0,0,0,0,0,0
2020-02-19,Qatar,0,0,0,0,0,0
2020-02-20,Qatar,0,0,0,0,0,0
2020-02-21,Qatar,0,0,0,0,0,0
2020-02-22,Qatar,0,0,0,0,0,0
2020-02-23,Qatar,0,0,0,0,0,0
2020-02-24,Qatar,0,0,0,0,0,0
2020-02-25,Qatar,0,0,0,0,0,0
2020-02-26,Qatar,0,0,0,0,0,0
2020-02-27,Qatar,0,0,0,0,0,0
2020-02-28,Qatar,0,0,0,0,0,0
2020-02-29,Qatar,1,0,1,0,0,0
2020-03-01,Qatar,3,0,2,0,0,0
2020-03-02,Qatar,3,0,0,0,0,0
2020-03-03,Qatar,7,0,4,0,1,0
2020-03-04,Qatar,8,0,1,0,1,0
2020-03-05,Qatar,8,0,0,0,1,0
2020-03-06,Qatar,8,0,0,0,1,0
2020-03-07,Qatar,8,0,0,0,1,0
2020-03-08,Qatar,15,0,7,0,2,0
2020-03-09,Qatar,18,0,3,0,2,0
2020-03-10,Qatar,24,0,6,0,2,0
2020-03-11,Qatar,262,0,238,0,36,0
2020-03-12,Qatar,262,0,0,0,36,0
2020-03-13,Qatar,320,0,58,0,45,0
2020-03-14,Qatar,337,0,17,0,47,0
2020-03-15,Qatar,401,0,64,0,55,0
2020-03-16,Qatar,439,0,38,0,60,0
2020-03-17,Qatar,439,0,0,0,59,0
2020-03-18,Qatar,452,0,13,0,27,0
2020-03-19,Qatar,460,0,8,0,28,0
2020-03-20,Qatar,470,0,10,0,21,0
2020-03-21,Qatar,481,0,11,0,21,0
