Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Romania,0,0,0,0,0,0
2020-01-23,Romania,0,0,0,0,0,0
2020-01-24,Romania,0,0,0,0,0,0
2020-01-25,Romania,0,0,0,0,0,0
2020-01-26,Romania,0,0,0,0,0,0
2020-01-27,Romania,0,0,0,0,0,0
2020-01-28,Romania,0,0,0,0,0,0
2020-01-29,Romania,0,0,0,0,0,0
2020-01-30,Romania,0,0,0,0,0,0
2020-01-31,Romania,0,0,0,0,0,0
2020-02-01,Romania,0,0,0,0,0,0
2020-02-02,Romania,0,0,0,0,0,0
2020-02-03,Romania,0,0,0,0,0,0
2020-02-04,Romania,0,0,0,0,0,0
2020-02-05,Romania,0,0,0,0,0,0
2020-02-06,Romania,0,0,0,0,0,0
2020-02-07,Romania,0,0,0,0,0,0
2020-02-08,Romania,0,0,0,0,0,0
2020-02-09,Romania,0,0,0,0,0,0
2020-02-10,Romania,0,0,0,0,0,0
2020-02-11,Romania,0,0,0,0,0,0
2020-02-12,Romania,0,0,0,0,0,0
2020-02-13,Romania,0,0,0,0,0,0
2020-02-14,Romania,0,0,0,0,0,0
2020-02-15,Romania,0,0,0,0,0,0
2020-02-16,Romania,0,0,0,0,0,0
2020-02-17,Romania,0,0,0,0,0,0
2020-02-18,Romania,0,0,0,0,0,0
2020-02-19,Romania,0,0,0,0,0,0
2020-02-20,Romania,0,0,0,0,0,0
2020-02-21,Romania,0,0,0,0,0,0
2020-02-22,Romania,0,0,0,0,0,0
2020-02-23,Romania,0,0,0,0,0,0
2020-02-24,Romania,0,0,0,0,0,0
2020-02-25,Romania,0,0,0,0,0,0
2020-02-26,Romania,1,0,1,0,0,0
2020-02-27,Romania,1,0,0,0,0,0
2020-02-28,Romania,3,0,2,0,0,0
2020-02-29,Romania,3,0,0,0,0,0
2020-03-01,Romania,3,0,0,0,0,0
2020-03-02,Romania,3,0,0,0,0,0
2020-03-03,Romania,3,0,0,0,0,0
2020-03-04,Romania,4,0,1,0,0,0
2020-03-05,Romania,6,0,2,0,1,0
2020-03-06,Romania,9,0,3,0,1,0
2020-03-07,Romania,9,0,0,0,1,0
2020-03-08,Romania,15,0,6,0,2,0
2020-03-09,Romania,15,0,0,0,2,0
2020-03-10,Romania,25,0,10,0,3,0
2020-03-11,Romania,45,0,20,0,6,0
2020-03-12,Romania,49,0,4,0,6,0
2020-03-13,Romania,89,0,40,0,11,0
2020-03-14,Romania,123,0,34,0,16,0
2020-03-15,Romania,131,0,8,0,17,0
2020-03-16,Romania,158,0,27,0,20,0
2020-03-17,Romania,184,0,26,0,23,0
2020-03-18,Romania,260,0,76,0,31,0
2020-03-19,Romania,277,0,17,0,33,0
2020-03-20,Romania,308,0,31,0,31,0
2020-03-21,Romania,367,0,59,0,35,0
2020-03-22,Romania,433,3,66,3,43,0
2020-03-23,Romania,576,7,143,4,60,1
2020-03-24,Romania,794,11,218,4,87,2
2020-03-25,Romania,906,17,112,6,92,2
2020-03-26,Romania,1029,23,123,6,107,3
2020-03-27,Romania,1292,26,263,3,141,4
2020-03-28,Romania,1452,37,160,11,155,5
2020-03-29,Romania,1815,43,363,6,197,6
2020-03-30,Romania,2109,65,294,22,219,8
2020-03-31,Romania,2245,82,136,17,207,10
2020-04-01,Romania,2460,92,215,10,222,11
2020-04-02,Romania,2738,115,278,23,244,13
2020-04-03,Romania,3183,133,445,18,270,15
2020-04-04,Romania,3613,146,430,13,309,16
2020-04-05,Romania,3864,151,251,5,293,15
2020-04-06,Romania,4057,176,193,25,278,16
2020-04-07,Romania,4417,197,360,21,310,16
2020-04-08,Romania,4761,220,344,23,329,18
2020-04-09,Romania,5202,248,441,28,352,19
2020-04-10,Romania,5467,270,265,22,326,20
2020-04-11,Romania,5990,291,523,21,340,21
2020-04-12,Romania,6300,316,310,25,348,24
