Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Russia,0,0,0,0,0,0
2020-01-23,Russia,0,0,0,0,0,0
2020-01-24,Russia,0,0,0,0,0,0
2020-01-25,Russia,0,0,0,0,0,0
2020-01-26,Russia,0,0,0,0,0,0
2020-01-27,Russia,0,0,0,0,0,0
2020-01-28,Russia,0,0,0,0,0,0
2020-01-29,Russia,0,0,0,0,0,0
2020-01-30,Russia,0,0,0,0,0,0
2020-01-31,Russia,2,0,2,0,0,0
2020-02-01,Russia,2,0,0,0,0,0
2020-02-02,Russia,2,0,0,0,0,0
2020-02-03,Russia,2,0,0,0,0,0
2020-02-04,Russia,2,0,0,0,0,0
2020-02-05,Russia,2,0,0,0,0,0
2020-02-06,Russia,2,0,0,0,0,0
2020-02-07,Russia,2,0,0,0,0,0
2020-02-08,Russia,2,0,0,0,0,0
2020-02-09,Russia,2,0,0,0,0,0
2020-02-10,Russia,2,0,0,0,0,0
2020-02-11,Russia,2,0,0,0,0,0
2020-02-12,Russia,2,0,0,0,0,0
2020-02-13,Russia,2,0,0,0,0,0
2020-02-14,Russia,2,0,0,0,0,0
2020-02-15,Russia,2,0,0,0,0,0
2020-02-16,Russia,2,0,0,0,0,0
2020-02-17,Russia,2,0,0,0,0,0
2020-02-18,Russia,2,0,0,0,0,0
2020-02-19,Russia,2,0,0,0,0,0
2020-02-20,Russia,2,0,0,0,0,0
2020-02-21,Russia,2,0,0,0,0,0
2020-02-22,Russia,2,0,0,0,0,0
2020-02-23,Russia,2,0,0,0,0,0
2020-02-24,Russia,2,0,0,0,0,0
2020-02-25,Russia,2,0,0,0,0,0
2020-02-26,Russia,2,0,0,0,0,0
2020-02-27,Russia,2,0,0,0,0,0
2020-02-28,Russia,2,0,0,0,0,0
2020-02-29,Russia,2,0,0,0,0,0
2020-03-01,Russia,2,0,0,0,0,0
2020-03-02,Russia,3,0,1,0,0,0
2020-03-03,Russia,3,0,0,0,0,0
2020-03-04,Russia,3,0,0,0,0,0
2020-03-05,Russia,4,0,1,0,0,0
2020-03-06,Russia,13,0,9,0,2,0
2020-03-07,Russia,13,0,0,0,2,0
2020-03-08,Russia,17,0,4,0,2,0
2020-03-09,Russia,17,0,0,0,2,0
2020-03-10,Russia,20,0,3,0,2,0
2020-03-11,Russia,20,0,0,0,2,0
2020-03-12,Russia,28,0,8,0,3,0
2020-03-13,Russia,45,0,17,0,5,0
2020-03-14,Russia,59,0,14,0,7,0
2020-03-15,Russia,63,0,4,0,7,0
2020-03-16,Russia,90,0,27,0,10,0
2020-03-17,Russia,114,0,24,0,13,0
2020-03-18,Russia,147,0,33,0,18,0
2020-03-19,Russia,199,1,52,1,24,0
2020-03-20,Russia,253,1,54,0,30,0
2020-03-21,Russia,306,1,53,0,35,0
2020-03-22,Russia,367,1,61,0,43,0
2020-03-23,Russia,438,1,71,0,50,0
2020-03-24,Russia,495,1,57,0,54,0
2020-03-25,Russia,658,3,163,2,73,0
2020-03-26,Russia,840,3,182,0,92,0
2020-03-27,Russia,1036,4,196,1,112,0
2020-03-28,Russia,1264,4,228,0,137,0
2020-03-29,Russia,1534,8,270,4,167,1
2020-03-30,Russia,1836,9,302,1,200,1
2020-03-31,Russia,2337,17,501,8,263,2
2020-04-01,Russia,2777,24,440,7,303,3
2020-04-02,Russia,3548,30,771,6,387,4
