Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Rwanda,0,0,0,0,0,0
2020-01-23,Rwanda,0,0,0,0,0,0
2020-01-24,Rwanda,0,0,0,0,0,0
2020-01-25,Rwanda,0,0,0,0,0,0
2020-01-26,Rwanda,0,0,0,0,0,0
2020-01-27,Rwanda,0,0,0,0,0,0
2020-01-28,Rwanda,0,0,0,0,0,0
2020-01-29,Rwanda,0,0,0,0,0,0
2020-01-30,Rwanda,0,0,0,0,0,0
2020-01-31,Rwanda,0,0,0,0,0,0
2020-02-01,Rwanda,0,0,0,0,0,0
2020-02-02,Rwanda,0,0,0,0,0,0
2020-02-03,Rwanda,0,0,0,0,0,0
2020-02-04,Rwanda,0,0,0,0,0,0
2020-02-05,Rwanda,0,0,0,0,0,0
2020-02-06,Rwanda,0,0,0,0,0,0
2020-02-07,Rwanda,0,0,0,0,0,0
2020-02-08,Rwanda,0,0,0,0,0,0
2020-02-09,Rwanda,0,0,0,0,0,0
2020-02-10,Rwanda,0,0,0,0,0,0
2020-02-11,Rwanda,0,0,0,0,0,0
2020-02-12,Rwanda,0,0,0,0,0,0
2020-02-13,Rwanda,0,0,0,0,0,0
2020-02-14,Rwanda,0,0,0,0,0,0
2020-02-15,Rwanda,0,0,0,0,0,0
2020-02-16,Rwanda,0,0,0,0,0,0
2020-02-17,Rwanda,0,0,0,0,0,0
2020-02-18,Rwanda,0,0,0,0,0,0
2020-02-19,Rwanda,0,0,0,0,0,0
2020-02-20,Rwanda,0,0,0,0,0,0
2020-02-21,Rwanda,0,0,0,0,0,0
2020-02-22,Rwanda,0,0,0,0,0,0
2020-02-23,Rwanda,0,0,0,0,0,0
2020-02-24,Rwanda,0,0,0,0,0,0
2020-02-25,Rwanda,0,0,0,0,0,0
2020-02-26,Rwanda,0,0,0,0,0,0
2020-02-27,Rwanda,0,0,0,0,0,0
2020-02-28,Rwanda,0,0,0,0,0,0
2020-02-29,Rwanda,0,0,0,0,0,0
2020-03-01,Rwanda,0,0,0,0,0,0
2020-03-02,Rwanda,0,0,0,0,0,0
2020-03-03,Rwanda,0,0,0,0,0,0
2020-03-04,Rwanda,0,0,0,0,0,0
2020-03-05,Rwanda,0,0,0,0,0,0
2020-03-06,Rwanda,0,0,0,0,0,0
2020-03-07,Rwanda,0,0,0,0,0,0
2020-03-08,Rwanda,0,0,0,0,0,0
2020-03-09,Rwanda,0,0,0,0,0,0
2020-03-10,Rwanda,0,0,0,0,0,0
2020-03-11,Rwanda,0,0,0,0,0,0
2020-03-12,Rwanda,0,0,0,0,0,0
2020-03-13,Rwanda,0,0,0,0,0,0
2020-03-14,Rwanda,1,0,1,0,0,0
2020-03-15,Rwanda,1,0,0,0,0,0
2020-03-16,Rwanda,5,0,4,0,1,0
2020-03-17,Rwanda,7,0,2,0,1,0
2020-03-18,Rwanda,8,0,1,0,1,0
2020-03-19,Rwanda,8,0,0,0,1,0
2020-03-20,Rwanda,17,0,9,0,2,0
2020-03-21,Rwanda,17,0,0,0,2,0
2020-03-22,Rwanda,19,0,2,0,3,0
2020-03-23,Rwanda,36,0,17,0,4,0
2020-03-24,Rwanda,40,0,4,0,5,0
2020-03-25,Rwanda,41,0,1,0,5,0
2020-03-26,Rwanda,50,0,9,0,6,0
2020-03-27,Rwanda,54,0,4,0,5,0
2020-03-28,Rwanda,60,0,6,0,6,0
2020-03-29,Rwanda,70,0,10,0,7,0
2020-03-30,Rwanda,70,0,0,0,5,0
2020-03-31,Rwanda,75,0,5,0,5,0
2020-04-01,Rwanda,82,0,7,0,6,0
2020-04-02,Rwanda,84,0,2,0,5,0
2020-04-03,Rwanda,89,0,5,0,5,0
2020-04-04,Rwanda,102,0,13,0,6,0
2020-04-05,Rwanda,104,0,2,0,5,0
2020-04-06,Rwanda,105,0,1,0,5,0
2020-04-07,Rwanda,105,0,0,0,4,0
2020-04-08,Rwanda,110,0,5,0,4,0
2020-04-09,Rwanda,110,0,0,0,4,0
2020-04-10,Rwanda,118,0,8,0,4,0
2020-04-11,Rwanda,120,0,2,0,3,0
2020-04-12,Rwanda,126,0,6,0,3,0
2020-04-13,Rwanda,127,0,1,0,3,0
2020-04-14,Rwanda,134,0,7,0,4,0
2020-04-15,Rwanda,136,0,2,0,4,0
2020-04-16,Rwanda,138,0,2,0,4,0
2020-04-17,Rwanda,143,0,5,0,4,0
2020-04-18,Rwanda,144,0,1,0,3,0
2020-04-19,Rwanda,147,0,3,0,3,0
2020-04-20,Rwanda,147,0,0,0,3,0
2020-04-21,Rwanda,150,0,3,0,2,0
2020-04-22,Rwanda,153,0,3,0,2,0
2020-04-23,Rwanda,154,0,1,0,2,0
2020-04-24,Rwanda,176,0,22,0,5,0
2020-04-25,Rwanda,183,0,7,0,6,0
2020-04-26,Rwanda,191,0,8,0,6,0
2020-04-27,Rwanda,207,0,16,0,9,0
2020-04-28,Rwanda,212,0,5,0,9,0
2020-04-29,Rwanda,225,0,13,0,10,0
2020-04-30,Rwanda,243,0,18,0,13,0
2020-05-01,Rwanda,249,0,6,0,10,0
2020-05-02,Rwanda,255,0,6,0,10,0
2020-05-03,Rwanda,259,0,4,0,10,0
2020-05-04,Rwanda,261,0,2,0,8,0
2020-05-05,Rwanda,261,0,0,0,7,0
2020-05-06,Rwanda,268,0,7,0,6,0
2020-05-07,Rwanda,271,0,3,0,4,0
2020-05-08,Rwanda,273,0,2,0,3,0
2020-05-09,Rwanda,280,0,7,0,4,0
2020-05-10,Rwanda,284,0,4,0,4,0
2020-05-11,Rwanda,285,0,1,0,3,0
2020-05-12,Rwanda,286,0,1,0,4,0
2020-05-13,Rwanda,287,0,1,0,3,0
2020-05-14,Rwanda,287,0,0,0,2,0
2020-05-15,Rwanda,287,0,0,0,2,0
2020-05-16,Rwanda,289,0,2,0,1,0
2020-05-17,Rwanda,292,0,3,0,1,0
2020-05-18,Rwanda,297,0,5,0,2,0
2020-05-19,Rwanda,308,0,11,0,3,0
2020-05-20,Rwanda,314,0,6,0,4,0
2020-05-21,Rwanda,320,0,6,0,5,0
2020-05-22,Rwanda,321,0,1,0,5,0
2020-05-23,Rwanda,325,0,4,0,5,0
2020-05-24,Rwanda,327,0,2,0,5,0
2020-05-25,Rwanda,336,0,9,0,6,0
2020-05-26,Rwanda,339,0,3,0,4,0
2020-05-27,Rwanda,346,0,7,0,5,0
2020-05-28,Rwanda,349,0,3,0,4,0
2020-05-29,Rwanda,355,0,6,0,5,0
2020-05-30,Rwanda,359,1,4,1,5,0
2020-05-31,Rwanda,370,1,11,0,6,0
2020-06-01,Rwanda,377,1,7,0,6,0
2020-06-02,Rwanda,384,2,7,1,6,0
2020-06-03,Rwanda,397,2,13,0,7,0
2020-06-04,Rwanda,410,2,13,0,9,0
2020-06-05,Rwanda,420,2,10,0,9,0
2020-06-06,Rwanda,431,2,11,0,10,0
2020-06-07,Rwanda,439,2,8,0,10,0
2020-06-08,Rwanda,451,2,12,0,11,0
2020-06-09,Rwanda,463,2,12,0,11,0
2020-06-10,Rwanda,476,2,13,0,11,0
2020-06-11,Rwanda,494,2,18,0,12,0
2020-06-12,Rwanda,510,2,16,0,13,0
2020-06-13,Rwanda,541,2,31,0,16,0
2020-06-14,Rwanda,582,2,41,0,20,0
2020-06-15,Rwanda,612,2,30,0,23,0
2020-06-16,Rwanda,636,2,24,0,25,0
2020-06-17,Rwanda,639,2,3,0,23,0
2020-06-18,Rwanda,646,2,7,0,22,0
2020-06-19,Rwanda,661,2,15,0,22,0
2020-06-20,Rwanda,702,2,41,0,23,0
2020-06-21,Rwanda,728,2,26,0,21,0
2020-06-22,Rwanda,787,2,59,0,25,0
2020-06-23,Rwanda,798,2,11,0,23,0
2020-06-24,Rwanda,830,2,32,0,27,0
2020-06-25,Rwanda,850,2,20,0,29,0
2020-06-26,Rwanda,858,2,8,0,28,0
2020-06-27,Rwanda,878,2,20,0,25,0
2020-06-28,Rwanda,900,2,22,0,25,0
2020-06-29,Rwanda,1001,2,101,0,31,0
2020-06-30,Rwanda,1025,2,24,0,32,0
2020-07-01,Rwanda,1042,3,17,1,30,0
2020-07-02,Rwanda,1063,3,21,0,30,0
2020-07-03,Rwanda,1081,3,18,0,32,0
2020-07-04,Rwanda,1092,3,11,0,31,0
2020-07-05,Rwanda,1105,3,13,0,29,0
2020-07-06,Rwanda,1113,3,8,0,16,0
2020-07-07,Rwanda,1172,3,59,0,21,0
2020-07-08,Rwanda,1194,3,22,0,22,0
2020-07-09,Rwanda,1210,3,16,0,21,0
2020-07-10,Rwanda,1252,3,42,0,24,0
