Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Saint Kitts and Nevis,0,0,0,0,0,0
2020-01-23,Saint Kitts and Nevis,0,0,0,0,0,0
2020-01-24,Saint Kitts and Nevis,0,0,0,0,0,0
2020-01-25,Saint Kitts and Nevis,0,0,0,0,0,0
2020-01-26,Saint Kitts and Nevis,0,0,0,0,0,0
2020-01-27,Saint Kitts and Nevis,0,0,0,0,0,0
2020-01-28,Saint Kitts and Nevis,0,0,0,0,0,0
2020-01-29,Saint Kitts and Nevis,0,0,0,0,0,0
2020-01-30,Saint Kitts and Nevis,0,0,0,0,0,0
2020-01-31,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-01,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-02,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-03,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-04,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-05,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-06,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-07,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-08,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-09,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-10,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-11,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-12,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-13,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-14,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-15,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-16,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-17,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-18,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-19,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-20,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-21,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-22,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-23,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-24,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-25,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-26,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-27,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-28,Saint Kitts and Nevis,0,0,0,0,0,0
2020-02-29,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-01,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-02,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-03,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-04,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-05,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-06,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-07,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-08,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-09,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-10,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-11,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-12,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-13,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-14,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-15,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-16,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-17,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-18,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-19,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-20,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-21,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-22,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-23,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-24,Saint Kitts and Nevis,0,0,0,0,0,0
2020-03-25,Saint Kitts and Nevis,2,0,2,0,0,0
