Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Saint Lucia,0,0,0,0,0,0
2020-01-23,Saint Lucia,0,0,0,0,0,0
2020-01-24,Saint Lucia,0,0,0,0,0,0
2020-01-25,Saint Lucia,0,0,0,0,0,0
2020-01-26,Saint Lucia,0,0,0,0,0,0
2020-01-27,Saint Lucia,0,0,0,0,0,0
2020-01-28,Saint Lucia,0,0,0,0,0,0
2020-01-29,Saint Lucia,0,0,0,0,0,0
2020-01-30,Saint Lucia,0,0,0,0,0,0
2020-01-31,Saint Lucia,0,0,0,0,0,0
2020-02-01,Saint Lucia,0,0,0,0,0,0
2020-02-02,Saint Lucia,0,0,0,0,0,0
2020-02-03,Saint Lucia,0,0,0,0,0,0
2020-02-04,Saint Lucia,0,0,0,0,0,0
2020-02-05,Saint Lucia,0,0,0,0,0,0
2020-02-06,Saint Lucia,0,0,0,0,0,0
2020-02-07,Saint Lucia,0,0,0,0,0,0
2020-02-08,Saint Lucia,0,0,0,0,0,0
2020-02-09,Saint Lucia,0,0,0,0,0,0
2020-02-10,Saint Lucia,0,0,0,0,0,0
2020-02-11,Saint Lucia,0,0,0,0,0,0
2020-02-12,Saint Lucia,0,0,0,0,0,0
2020-02-13,Saint Lucia,0,0,0,0,0,0
2020-02-14,Saint Lucia,0,0,0,0,0,0
2020-02-15,Saint Lucia,0,0,0,0,0,0
2020-02-16,Saint Lucia,0,0,0,0,0,0
2020-02-17,Saint Lucia,0,0,0,0,0,0
2020-02-18,Saint Lucia,0,0,0,0,0,0
2020-02-19,Saint Lucia,0,0,0,0,0,0
2020-02-20,Saint Lucia,0,0,0,0,0,0
2020-02-21,Saint Lucia,0,0,0,0,0,0
2020-02-22,Saint Lucia,0,0,0,0,0,0
2020-02-23,Saint Lucia,0,0,0,0,0,0
2020-02-24,Saint Lucia,0,0,0,0,0,0
2020-02-25,Saint Lucia,0,0,0,0,0,0
2020-02-26,Saint Lucia,0,0,0,0,0,0
2020-02-27,Saint Lucia,0,0,0,0,0,0
2020-02-28,Saint Lucia,0,0,0,0,0,0
2020-02-29,Saint Lucia,0,0,0,0,0,0
2020-03-01,Saint Lucia,0,0,0,0,0,0
2020-03-02,Saint Lucia,0,0,0,0,0,0
2020-03-03,Saint Lucia,0,0,0,0,0,0
2020-03-04,Saint Lucia,0,0,0,0,0,0
2020-03-05,Saint Lucia,0,0,0,0,0,0
2020-03-06,Saint Lucia,0,0,0,0,0,0
2020-03-07,Saint Lucia,0,0,0,0,0,0
2020-03-08,Saint Lucia,0,0,0,0,0,0
2020-03-09,Saint Lucia,0,0,0,0,0,0
2020-03-10,Saint Lucia,0,0,0,0,0,0
2020-03-11,Saint Lucia,0,0,0,0,0,0
2020-03-12,Saint Lucia,0,0,0,0,0,0
2020-03-13,Saint Lucia,0,0,0,0,0,0
2020-03-14,Saint Lucia,1,0,1,0,0,0
2020-03-15,Saint Lucia,2,0,1,0,0,0
2020-03-16,Saint Lucia,2,0,0,0,0,0
2020-03-17,Saint Lucia,2,0,0,0,0,0
2020-03-18,Saint Lucia,2,0,0,0,0,0
2020-03-19,Saint Lucia,2,0,0,0,0,0
2020-03-20,Saint Lucia,2,0,0,0,0,0
2020-03-21,Saint Lucia,2,0,0,0,0,0
2020-03-22,Saint Lucia,2,0,0,0,0,0
2020-03-23,Saint Lucia,3,0,1,0,0,0
2020-03-24,Saint Lucia,3,0,0,0,0,0
2020-03-25,Saint Lucia,3,0,0,0,0,0
2020-03-26,Saint Lucia,3,0,0,0,0,0
2020-03-27,Saint Lucia,3,0,0,0,0,0
2020-03-28,Saint Lucia,3,0,0,0,0,0
2020-03-29,Saint Lucia,9,0,6,0,1,0
2020-03-30,Saint Lucia,9,0,0,0,1,0
2020-03-31,Saint Lucia,13,0,4,0,1,0
2020-04-01,Saint Lucia,13,0,0,0,1,0
2020-04-02,Saint Lucia,13,0,0,0,1,0
2020-04-03,Saint Lucia,13,0,0,0,1,0
2020-04-04,Saint Lucia,14,0,1,0,2,0
2020-04-05,Saint Lucia,14,0,0,0,1,0
2020-04-06,Saint Lucia,14,0,0,0,1,0
2020-04-07,Saint Lucia,14,0,0,0,0,0
2020-04-08,Saint Lucia,14,0,0,0,0,0
2020-04-09,Saint Lucia,14,0,0,0,0,0
2020-04-10,Saint Lucia,15,0,1,0,0,0
2020-04-11,Saint Lucia,15,0,0,0,0,0
2020-04-12,Saint Lucia,15,0,0,0,0,0
2020-04-13,Saint Lucia,15,0,0,0,0,0
2020-04-14,Saint Lucia,15,0,0,0,0,0
2020-04-15,Saint Lucia,15,0,0,0,0,0
2020-04-16,Saint Lucia,15,0,0,0,0,0
2020-04-17,Saint Lucia,15,0,0,0,0,0
2020-04-18,Saint Lucia,15,0,0,0,0,0
