Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-01-23,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-01-24,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-01-25,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-01-26,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-01-27,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-01-28,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-01-29,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-01-30,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-01-31,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-01,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-02,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-03,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-04,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-05,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-06,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-07,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-08,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-09,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-10,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-11,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-12,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-13,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-14,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-15,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-16,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-17,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-18,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-19,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-20,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-21,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-22,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-23,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-24,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-25,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-26,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-27,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-28,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-02-29,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-01,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-02,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-03,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-04,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-05,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-06,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-07,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-08,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-09,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-10,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-11,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-12,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-13,Saint Vincent and the Grenadines,0,0,0,0,0,0
2020-03-14,Saint Vincent and the Grenadines,1,0,1,0,0,0
2020-03-15,Saint Vincent and the Grenadines,1,0,0,0,0,0
2020-03-16,Saint Vincent and the Grenadines,1,0,0,0,0,0
2020-03-17,Saint Vincent and the Grenadines,1,0,0,0,0,0
2020-03-18,Saint Vincent and the Grenadines,1,0,0,0,0,0
